label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
PartnershipPatient,PartnershipProvider,551,0.8482,0.8539,1.0,0.6015
PartnershipPatient,SDOH,159,0.6663,0.6537,0.8153,0.6014
PartnershipPatient,SharedDecisionPatient,120,0.6853,0.6643,0.8794,0.6001
PartnershipPatient,SocioEmotionalBehaviour,81,0.6672,0.6625,0.8187,0.6005
CareCoordinationPatient,PartnershipPatient,54,0.6683,0.659,0.8055,0.6032
CareCoordinationProvider,PartnershipPatient,45,0.6545,0.6539,0.7275,0.6008
CareCoordinationPatient,SharedDecisionPatient,41,0.6834,0.6714,0.7825,0.6015
CareCoordinationPatient,CareCoordinationProvider,33,0.6606,0.6498,0.7783,0.6009
SDOH,SharedDecisionPatient,21,0.6915,0.6659,0.8547,0.6146
CareCoordinationPatient,SDOH,19,0.6248,0.6232,0.6445,0.6015
CareCoordinationProvider,SharedDecisionPatient,17,0.6497,0.6373,0.7691,0.6018
CareCoordinationProvider,PartnershipProvider,10,0.6967,0.6857,0.8007,0.6558
CareCoordinationPatient,PartnershipProvider,9,0.6485,0.6491,0.684,0.6149
PartnershipProvider,SharedDecisionPatient,8,0.6476,0.6428,0.6723,0.6326
CareCoordinationProvider,SDOH,8,0.6512,0.6399,0.7231,0.6118
PartnershipProvider,SDOH,7,0.673,0.6818,0.7065,0.6387
SDOH,SocioEmotionalBehaviour,4,0.6186,0.6186,0.632,0.6052
PartnershipPatient,SharedDecisionProvider,4,0.6355,0.6355,0.6588,0.6122
CareCoordinationPatient,SocioEmotionalBehaviour,4,0.6536,0.6536,0.6877,0.6195
SharedDecisionPatient,SharedDecisionProvider,4,0.6713,0.6713,0.7259,0.6168
PartnershipProvider,SocioEmotionalBehaviour,2,0.7132,0.7132,0.7132,0.7132
SharedDecisionProvider,SocioEmotionalBehaviour,2,0.8002,0.8002,0.8002,0.8002
