label,neighbor_disagreement,neighbor_total,disagreement_rate
PartnershipPatient → signoff,193,540,0.3574
PartnershipPatient → Appreciation/Gratitude,121,330,0.3667
PartnershipPatient → activeParticipation/involvement,105,2390,0.0439
PartnershipPatient → Clinical care,103,4020,0.0256
PartnershipProvider → signoff,67,110,0.6091
PartnershipPatient → salutation,62,470,0.1319
PartnershipProvider → salutation,54,70,0.7714
SDOH → HealthCareAccessAndQuality,36,1650,0.0218
SocioEmotionalBehaviour,35,670,0.0522
SDOH → EconomicStability,33,1120,0.0295
PartnershipProvider → maintainCommunication,26,130,0.2
PartnershipPatient → expressOpinions,25,690,0.0362
PartnershipPatient → statePreferences,25,250,0.1
SDOH → SocialAndCommunityContext,24,280,0.0857
CareCoordinationPatient,19,670,0.0284
SharedDecisionPatient → SeekingApproval,15,330,0.0455
SDOH → NeighborhoodAndBuiltEnvironment,14,350,0.04
PartnershipProvider → Clinical Care,11,340,0.0324
PartnershipProvider → Appreciation/Gratitude,9,10,0.9
SharedDecisionPatient → ExploreOptions,7,140,0.05
CareCoordinationProvider,5,240,0.0208
PartnershipPatient → alignment,5,50,0.1
PartnershipPatient → connection,4,100,0.04
PartnershipProvider → checkingUnderstanding/clarification,4,70,0.0571
PartnershipProvider → inviteCollabration,4,80,0.05
PartnershipProvider → connection,3,40,0.075
SharedDecisionProvider → ShareOptions,3,40,0.075
PartnershipProvider → requestsForOpinion,2,40,0.05
PartnershipPatient → build trust,1,120,0.0083
PartnershipProvider → alignment,1,30,0.0333
SharedDecisionPatient → ApprovalofDecision/Reinforcement,1,20,0.05
SharedDecisionProvider → Approval/Reinforcement,1,10,0.1
PartnershipProvider → build trust,0,10,0.0
SDOH → EducationAccessAndQuality,0,40,0.0
SharedDecisionProvider → MakeDecision,0,20,0.0
