label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
Appreciation/Gratitude,signoff,217,0.9707,1.0,1.0,0.6
activeParticipation/involvement,maintainCommunication,30,0.8733,1.0,1.0,0.6
activeParticipation/involvement,expressOpinions,21,0.7095,0.6667,1.0,0.6
activeParticipation/involvement,statePreferences,10,0.7467,0.6667,1.0,0.6
Clinical care,activeParticipation/involvement,10,0.6267,0.6,0.6667,0.6
Clinical care,salutation,10,1.0,1.0,1.0,1.0
Clinical care,HealthCareAccessAndQuality,2,0.6,0.6,0.6,0.6
NeighborhoodAndBuiltEnvironment,SocialAndCommunityContext,2,0.6,0.6,0.6,0.6
Clinical care,connection,2,0.6667,0.6667,0.6667,0.6667
activeParticipation/involvement,connection,2,0.8571,0.8571,0.8571,0.8571
Clinical Care,Clinical care,2,0.6,0.6,0.6,0.6
expressOpinions,statePreferences,2,0.6,0.6,0.6,0.6
HealthCareAccessAndQuality,activeParticipation/involvement,2,0.6,0.6,0.6,0.6
Clinical care,SeekingApproval,2,0.6,0.6,0.6,0.6
EconomicStability,activeParticipation/involvement,2,0.6667,0.6667,0.6667,0.6667
Clinical care,checkingUnderstanding/clarification,1,1.0,1.0,1.0,1.0
