pair,src_label,src_text,nbr_label,nbr_text,similarity
Appreciation/Gratitude || signoff,signoff,Thank you for your time,Appreciation/Gratitude,thank you for your time and your assistance,0.7143
Appreciation/Gratitude || signoff,signoff,Thank you for your time,Appreciation/Gratitude,Thank you so much for your time,0.7143
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank You,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank You,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
activeParticipation/involvement || statePreferences,statePreferences,I want to change to,activeParticipation/involvement,I want to change,1.0
activeParticipation/involvement || statePreferences,statePreferences,I want to change to,activeParticipation/involvement,I want to change,1.0
activeParticipation/involvement || statePreferences,statePreferences,I want to change to,activeParticipation/involvement,I want to see,0.6
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thank you so much,signoff,Thank you very much,0.6
Clinical care || HealthCareAccessAndQuality,Clinical care,pain after I eat,HealthCareAccessAndQuality,after I eat anything,0.6
Clinical care || HealthCareAccessAndQuality,HealthCareAccessAndQuality,after I eat anything,Clinical care,pain after I eat,0.6
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank You,1.0
Appreciation/Gratitude || signoff,signoff,Thank you,Appreciation/Gratitude,Thank you,1.0
NeighborhoodAndBuiltEnvironment || SocialAndCommunityContext,SocialAndCommunityContext,husband out of town,NeighborhoodAndBuiltEnvironment,being out of town,0.6
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thanks!,signoff,Thanks!,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thanks!,signoff,Thanks!,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thanks!,signoff,Thanks!,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thanks!,signoff,Thanks!,1.0
Appreciation/Gratitude || signoff,signoff,Thanks!,Appreciation/Gratitude,Thanks!,1.0
Appreciation/Gratitude || signoff,signoff,Thanks!,Appreciation/Gratitude,Thanks!,1.0
Appreciation/Gratitude || signoff,signoff,Thank You,Appreciation/Gratitude,Thank you,1.0
Appreciation/Gratitude || signoff,signoff,Thank You,Appreciation/Gratitude,Thank You,1.0
Appreciation/Gratitude || signoff,signoff,Thank You,Appreciation/Gratitude,Thank you,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thank you,signoff,Thank you,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thank you,signoff,Thank you,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thank you,signoff,Thank you,1.0
Appreciation/Gratitude || signoff,Appreciation/Gratitude,Thank you,signoff,Thank you,1.0
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I have a question,Clinical care,I have a cavity,0.6
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,let me know,maintainCommunication,Please let me know,0.75
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,let me know,maintainCommunication,Please let me know,0.75
activeParticipation/involvement || maintainCommunication,maintainCommunication,I will call you back,activeParticipation/involvement,I will call you asap,0.6667
activeParticipation/involvement || maintainCommunication,maintainCommunication,I will call you back,activeParticipation/involvement,I  will  call,0.6
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,I  will  call,maintainCommunication,I will call you back,0.6
Clinical care || activeParticipation/involvement,Clinical care,have not been taking it,activeParticipation/involvement,have not been,0.6
Clinical care || connection,Clinical care,I had a visit las,connection,I had a wonderful visit,0.6667
NeighborhoodAndBuiltEnvironment || SocialAndCommunityContext,NeighborhoodAndBuiltEnvironment,being out of town,SocialAndCommunityContext,husband out of town,0.6
Clinical care || activeParticipation/involvement,Clinical care,I have been taking Benadryl,activeParticipation/involvement,I have been taking them,0.6667
Clinical care || activeParticipation/involvement,activeParticipation/involvement,I did not get it,Clinical care,I did not get hurt,0.6667
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,I just need,expressOpinions,I need,0.6667
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,please let me know,maintainCommunication,Please let me know,1.0
activeParticipation/involvement || maintainCommunication,activeParticipation/involvement,please let me know,maintainCommunication,Please let me know,1.0
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,I just need,expressOpinions,I need,0.6667
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I would like to see,statePreferences,I would like to have,0.6667
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,I would like to see,expressOpinions,I would like,0.6
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,I need to,expressOpinions,I need,0.6667
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,I need,expressOpinions,I need,1.0
activeParticipation/involvement || statePreferences,activeParticipation/involvement,I would like to,statePreferences,I would like to have,0.8
activeParticipation/involvement || expressOpinions,activeParticipation/involvement,I would like to,expressOpinions,I would like,0.75
activeParticipation/involvement || connection,connection,look forward to hearing from you,activeParticipation/involvement,I look forward to hearing from you,0.8571
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,Please let me know,1.0
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,Please let me know,1.0
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,please let me know,1.0
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,Please let me know,1.0
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,let me know,0.75
activeParticipation/involvement || maintainCommunication,maintainCommunication,Please let me know,activeParticipation/involvement,Could you please let me know,0.6667
