label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
Clinical care,activeParticipation/involvement,275,0.7083,0.6824,1.0,0.6006
Appreciation/Gratitude,signoff,248,0.9381,1.0,1.0,0.6021
Clinical care,EconomicStability,190,0.7257,0.6926,1.0,0.6008
Clinical care,HealthCareAccessAndQuality,188,0.7101,0.6951,1.0,0.6013
Clinical care,SocialAndCommunityContext,119,0.7266,0.6927,1.0,0.6008
HealthCareAccessAndQuality,activeParticipation/involvement,83,0.681,0.6579,0.8734,0.6014
activeParticipation/involvement,maintainCommunication,80,0.8168,0.8025,1.0,0.6122
Clinical Care,Clinical care,78,0.7707,0.7568,0.9815,0.6037
activeParticipation/involvement,statePreferences,72,0.7343,0.6981,0.9825,0.6155
Clinical care,NeighborhoodAndBuiltEnvironment,66,0.7131,0.7084,0.9198,0.6042
activeParticipation/involvement,expressOpinions,59,0.7319,0.6979,1.0,0.6075
EconomicStability,activeParticipation/involvement,58,0.7166,0.6782,0.9923,0.6029
Clinical care,expressOpinions,52,0.7104,0.7174,0.8268,0.613
Clinical care,SeekingApproval,49,0.7296,0.7369,0.9032,0.6015
SeekingApproval,activeParticipation/involvement,46,0.7116,0.7106,0.8661,0.6003
EconomicStability,HealthCareAccessAndQuality,44,0.7078,0.6905,0.9139,0.6079
HealthCareAccessAndQuality,NeighborhoodAndBuiltEnvironment,39,0.6862,0.682,0.8657,0.6022
HealthCareAccessAndQuality,expressOpinions,38,0.6625,0.6275,0.8918,0.6037
SocialAndCommunityContext,activeParticipation/involvement,33,0.7692,0.7364,1.0,0.6467
NeighborhoodAndBuiltEnvironment,activeParticipation/involvement,28,0.7037,0.6812,0.8614,0.6152
expressOpinions,statePreferences,28,0.7532,0.7504,1.0,0.6036
activeParticipation/involvement,inviteCollabration,25,0.7012,0.659,0.938,0.6007
EconomicStability,expressOpinions,22,0.7234,0.6934,0.9216,0.6229
Clinical care,statePreferences,21,0.7465,0.7396,1.0,0.6074
EconomicStability,NeighborhoodAndBuiltEnvironment,20,0.7315,0.7229,0.9878,0.6131
Appreciation/Gratitude,Clinical care,20,0.7048,0.687,0.8367,0.6052
Clinical care,ExploreOptions,18,0.714,0.7007,0.8791,0.6016
Clinical care,connection,18,0.7535,0.7105,0.9489,0.6266
activeParticipation/involvement,build trust,18,0.6891,0.694,0.8701,0.6096
EconomicStability,maintainCommunication,16,0.6802,0.6682,0.7634,0.6195
NeighborhoodAndBuiltEnvironment,expressOpinions,16,0.6625,0.6391,0.7238,0.6294
EconomicStability,SocialAndCommunityContext,16,0.6996,0.6884,0.8403,0.6009
Clinical care,checkingUnderstanding/clarification,15,0.7105,0.6854,1.0,0.6467
ExploreOptions,activeParticipation/involvement,15,0.6696,0.6504,0.8508,0.6002
HealthCareAccessAndQuality,SocialAndCommunityContext,15,0.6578,0.6392,0.7296,0.6036
EconomicStability,checkingUnderstanding/clarification,14,0.7333,0.7557,0.8177,0.6405
Clinical care,alignment,14,0.7311,0.7464,0.849,0.6075
HealthCareAccessAndQuality,connection,12,0.6617,0.6522,0.7328,0.6033
activeParticipation/involvement,requestsForOpinion,11,0.6865,0.6826,0.7976,0.6195
build trust,signoff,10,0.7536,0.7438,0.8013,0.7394
Clinical Care,activeParticipation/involvement,10,0.6917,0.6737,0.7531,0.6378
Clinical Care,HealthCareAccessAndQuality,10,0.7043,0.6699,0.8033,0.6072
NeighborhoodAndBuiltEnvironment,SocialAndCommunityContext,10,0.7685,0.7347,0.9281,0.6563
activeParticipation/involvement,checkingUnderstanding/clarification,10,0.7177,0.6466,0.9266,0.633
Clinical care,salutation,10,1.0,1.0,1.0,1.0
inviteCollabration,statePreferences,9,0.7037,0.6981,0.7468,0.6548
ExploreOptions,SeekingApproval,8,0.667,0.6639,0.6945,0.6458
HealthCareAccessAndQuality,ShareOptions,8,0.6846,0.6842,0.7479,0.6222
EconomicStability,build trust,8,0.7507,0.76,0.875,0.6077
Clinical care,signoff,8,0.7198,0.7205,0.8019,0.6363
HealthCareAccessAndQuality,requestsForOpinion,6,0.6902,0.7129,0.7387,0.619
HealthCareAccessAndQuality,statePreferences,6,0.6829,0.7084,0.7084,0.6317
EconomicStability,connection,6,0.6858,0.6283,0.8009,0.6283
ApprovalofDecision/Reinforcement,statePreferences,6,0.7193,0.696,0.8106,0.6513
SeekingApproval,expressOpinions,6,0.6806,0.6197,0.8025,0.6197
HealthCareAccessAndQuality,maintainCommunication,6,0.6186,0.6145,0.6349,0.6064
EconomicStability,statePreferences,4,0.7019,0.7019,0.7797,0.6241
alignment,requestsForOpinion,4,0.7018,0.7018,0.7589,0.6448
ExploreOptions,requestsForOpinion,4,0.6238,0.6238,0.6298,0.6179
Clinical care,build trust,4,0.7186,0.7186,0.7751,0.6621
expressOpinions,inviteCollabration,4,0.7344,0.7344,0.7468,0.722
SocialAndCommunityContext,maintainCommunication,4,0.7298,0.7298,0.7571,0.7025
Clinical care,maintainCommunication,4,0.6325,0.6325,0.6409,0.624
NeighborhoodAndBuiltEnvironment,alignment,4,0.6552,0.6552,0.6922,0.6181
EconomicStability,ExploreOptions,4,0.7062,0.7062,0.8038,0.6085
HealthCareAccessAndQuality,SeekingApproval,4,0.7198,0.7198,0.7708,0.6688
Clinical Care,SeekingApproval,4,0.7391,0.7391,0.7398,0.7385
build trust,inviteCollabration,4,0.6323,0.6323,0.6645,0.6001
Appreciation/Gratitude,expressOpinions,4,0.7701,0.7701,0.7752,0.7651
ExploreOptions,HealthCareAccessAndQuality,4,0.7314,0.7314,0.8062,0.6567
maintainCommunication,statePreferences,4,0.831,0.831,0.846,0.816
ApprovalofDecision/Reinforcement,inviteCollabration,4,0.7092,0.7092,0.7566,0.6619
ShareOptions,statePreferences,4,0.6397,0.6279,0.6845,0.6187
ShareOptions,expressOpinions,3,0.7268,0.7479,0.7479,0.6845
activeParticipation/involvement,connection,3,0.9558,0.9337,1.0,0.9337
Appreciation/Gratitude,build trust,3,0.7272,0.7824,0.7824,0.6167
ApprovalofDecision/Reinforcement,activeParticipation/involvement,3,0.6745,0.6308,0.7619,0.6308
ShareOptions,activeParticipation/involvement,3,0.7037,0.689,0.7331,0.689
EconomicStability,alignment,2,0.6936,0.6936,0.6936,0.6936
Clinical care,requestsForOpinion,2,0.9525,0.9525,0.9525,0.9525
expressOpinions,requestsForOpinion,2,0.7882,0.7882,0.7882,0.7882
SocialAndCommunityContext,alignment,2,0.7076,0.7076,0.7076,0.7076
SocialAndCommunityContext,connection,2,0.6753,0.6753,0.6753,0.6753
SocialAndCommunityContext,signoff,2,0.6402,0.6402,0.6402,0.6402
build trust,statePreferences,2,0.6047,0.6047,0.6047,0.6047
ExploreOptions,NeighborhoodAndBuiltEnvironment,2,0.6212,0.6212,0.6212,0.6212
EconomicStability,EducationAccessAndQuality,2,0.6639,0.6639,0.6639,0.6639
Appreciation/Gratitude,statePreferences,2,0.7868,0.7868,0.7868,0.7868
Clinical Care,alignment,2,0.6181,0.6181,0.6181,0.6181
checkingUnderstanding/clarification,maintainCommunication,2,0.7924,0.7924,0.7924,0.7924
HealthCareAccessAndQuality,checkingUnderstanding/clarification,2,0.6162,0.6162,0.6162,0.6162
alignment,build trust,2,0.6227,0.6227,0.6227,0.6227
HealthCareAccessAndQuality,build trust,2,0.6008,0.6008,0.6008,0.6008
checkingUnderstanding/clarification,statePreferences,2,0.7022,0.7022,0.7022,0.7022
alignment,expressOpinions,2,0.6537,0.6537,0.6537,0.6537
connection,expressOpinions,2,0.823,0.823,0.823,0.823
SocialAndCommunityContext,expressOpinions,2,0.7248,0.7248,0.7248,0.7248
SocialAndCommunityContext,statePreferences,2,0.6525,0.6525,0.6525,0.6525
NeighborhoodAndBuiltEnvironment,SeekingApproval,2,0.809,0.809,0.809,0.809
EconomicStability,inviteCollabration,2,0.6381,0.6381,0.6381,0.6381
HealthCareAccessAndQuality,inviteCollabration,2,0.6033,0.6033,0.6033,0.6033
SeekingApproval,SocialAndCommunityContext,2,0.8841,0.8841,0.8841,0.8841
Approval/Reinforcement,inviteCollabration,2,0.6129,0.6129,0.6129,0.6129
ShareOptions,inviteCollabration,2,0.9047,0.9047,0.9047,0.9047
HealthCareAccessAndQuality,alignment,2,0.9821,0.9821,0.9821,0.9821
activeParticipation/involvement,signoff,2,0.6586,0.6586,0.6586,0.6586
ExploreOptions,ShareOptions,2,0.8133,0.8133,0.8133,0.8133
Appreciation/Gratitude,HealthCareAccessAndQuality,2,0.841,0.841,0.841,0.841
ApprovalofDecision/Reinforcement,expressOpinions,1,0.7078,0.7078,0.7078,0.7078
Approval/Reinforcement,ApprovalofDecision/Reinforcement,1,0.624,0.624,0.624,0.624
