label,count
PartnershipPatient,474
Clinical care,224
SDOH,163
activeParticipation/involvement,125
HealthCareAccessAndQuality,82
PartnershipProvider,59
salutation,52
EconomicStability,48
CareCoordinationPatient,41
expressOpinions,40
SocioEmotionalBehaviour,38
Insurance,35
Health Access,32
SharedDecisionPatient,28
Clinical Care,27
Employment Status,23
SeekingApproval,23
CareCoordinationProvider,21
NeighborhoodAndBuiltEnvironment,20
Financial Insecurity,15
Appreciation/Gratitude,14
SocialAndCommunityContext,12
Social Support,11
Geographic Location,10
signoff,8
statePreferences,8
build trust,7
maintainCommunication,7
alignment,7
Work-related Challenges,5
Sleep,5
Diet,5
Transportation,5
checkingUnderstanding/clarification,5
Income,5
ExploreOptions,4
connection,4
SharedDecisionProvider,4
requestsForOpinion,3
Substance Use/Abuse,3
Weather,3
ShareOptions,3
inviteCollabration,2
Physical Activity,1
Social Environment,1
Environmental Factors,1
EducationAccessAndQuality,1
Level of Education,1
Lifestyle,1
Access to Services,1
Approval/Reinforcement,1
ApprovalofDecision/Reinforcement,1
