label,count
PartnershipPatient,896
Clinical care,402
SDOH,344
activeParticipation/involvement,239
HealthCareAccessAndQuality,165
EconomicStability,112
PartnershipProvider,93
Health Access,74
expressOpinions,69
SocioEmotionalBehaviour,67
CareCoordinationPatient,67
signoff,65
salutation,54
Employment Status,52
Insurance,51
SharedDecisionPatient,49
Financial Insecurity,35
NeighborhoodAndBuiltEnvironment,35
Appreciation/Gratitude,34
Clinical Care,34
SeekingApproval,33
SocialAndCommunityContext,28
statePreferences,25
CareCoordinationProvider,24
Social Support,23
Work-related Challenges,15
Sleep,15
connection,14
ExploreOptions,14
build trust,13
maintainCommunication,13
Transportation,12
Geographic Location,12
Income,10
Diet,9
Substance Use/Abuse,9
inviteCollabration,8
alignment,8
checkingUnderstanding/clarification,7
SharedDecisionProvider,7
Weather,5
Lifestyle,5
requestsForOpinion,4
EducationAccessAndQuality,4
Level of Education,4
ShareOptions,4
Physical Activity,2
Community Engagement,2
Neighborhood Safety,2
Social Isolation,2
ApprovalofDecision/Reinforcement,2
MakeDecision,2
Social Environment,1
Environmental Factors,1
Access to Services,1
Housing Quality,1
Walkability and GreenSpaces,1
Approval/Reinforcement,1
