label,count
salutation,333
signoff,249
Diagnostics,205
Care_Coordination,176
Drugs,174
General_information,162
Scheduling_appt,153
active_participation_/involvement,146
Appreciation/gratitude,121
Symptoms,115
Connection,105
Health_care_access_and_quality,100
Alignment,88
Maintain_communication,74
express_opinions,52
state_preferences,45
instruction,44
Seeking_Approval,29
Approval/Reinforcement,25
Express_concern/unease,25
Economic_stability,25
checking_understanding/clarification,20
Explore_options,18
Share_options,17
Acknowledge_Error,16
Reassurance,14
Making_decision_together,13
invite_collaboration,11
Sadness/fear,10
build_trust,9
Neighborhood_and_built_environment,7
Summarize_and_confirm_understanding,7
Prognosis,6
Positive_Remarks/Reward,6
Encourage_questions,2
