anchor_text,anchor_label,neighbor_text,neighbor_label,similarity
Hi there,PROVIDER_PARTNERSHIP,Hi,PATIENT_PARTNERSHIP,0.6449195559169048
Hi there,PROVIDER_PARTNERSHIP,Hi,PATIENT_PARTNERSHIP,0.6449195559169048
Hi there,PROVIDER_PARTNERSHIP,Hi,PATIENT_PARTNERSHIP,0.6449195559169048
In person or telemed?,PROVIDER_PARTNERSHIP,We can either schedule for in person or via telehealth,PROVIDER_Shared-Decision_Making,0.8247084349988897
In person or telemed?,PROVIDER_PARTNERSHIP,Your appointment is scheduled for in person,Information-Giving,0.6066086995449788
be happy to,PROVIDER_PARTNERSHIP,Happy Holidays,PATIENT_PARTNERSHIP,0.7938108379821986
be happy to,PROVIDER_PARTNERSHIP,If not our manager is Gean Brown and she'd be happy to assist,Information-Giving,0.712578162234185
if you need help,PROVIDER_PARTNERSHIP,Help!,PATIENT_PARTNERSHIP,0.5660999682606163
We need to make an office visit,Information-Giving_SDOH,Do I need to make an appointment,Information-Seeking,0.7533059043795038
We need to make an office visit,Information-Giving_SDOH,Or no need for an office visit?,PATIENT_SHARED-DECISION_MAKING,0.6334205849627007
Thank you,PROVIDER_PARTNERSHIP,Thank you,PATIENT_PARTNERSHIP,0.9999999999999998
Thank you,PROVIDER_PARTNERSHIP,thank you,PATIENT_PARTNERSHIP,0.9999999999999998
Thank you,PROVIDER_PARTNERSHIP,Thank you,PATIENT_PARTNERSHIP,0.9999999999999998
Thank you,PROVIDER_PARTNERSHIP,thank you,PATIENT_PARTNERSHIP,0.9999999999999998
Greetings,PROVIDER_PARTNERSHIP,Greetings,PATIENT_PARTNERSHIP,1.0
Please send to,Information-Giving,can you please send a picture through mychart?,PROVIDER_PARTNERSHIP,0.6631720008728366
Take care,PROVIDER_PARTNERSHIP,Take care,PATIENT_PARTNERSHIP,1.0000000000000002
sent an order for a new PET scan,Information-Giving_SDOH,I also think she put in an order for an ECHO,Information-Giving,0.5580609572280655
it is a-okay for Person2 to have it done,PATIENT_SHARED-DECISION_MAKING,considering how difficult it is for Person2 to travel,Information-Giving_SDOH,0.6712125213407162
considering how difficult it is for Person2 to travel,Information-Giving_SDOH,it is a-okay for Person2 to have it done,PATIENT_SHARED-DECISION_MAKING,0.6712125213407162
