anchor_text,anchor_label,neighbor_text,neighbor_label,similarity
Hi there,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,0.6449195559169048
Hi there,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,0.6449195559169048
Hi there,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,0.6449195559169048
He definitely needs/,Information-Giving||Scheduling_appt,He definitely looks puffier to me leg swelling some,Information-Giving||Symptoms,0.7681307044106175
He definitely needs/,Information-Giving||Scheduling_appt,he vomiting with dry heaves,Information-Giving||Symptoms,0.6047760554727766
He definitely needs/,Information-Giving||Scheduling_appt,He prescribed me Ketorolac (Toradol),Information-Giving||Drugs,0.5604169529690467
In person or telemed?,PROVIDER_PARTNERSHIP||invite_collaboration,We can either schedule for in person or via telehealth,PROVIDER_Shared-Decision_Making||Share_options,0.8247084349988897
In person or telemed?,PROVIDER_PARTNERSHIP||invite_collaboration,Glad I saw you in person and clarify treatment,PROVIDER_PARTNERSHIP||Alignment,0.7067156787659941
In person or telemed?,PROVIDER_PARTNERSHIP||invite_collaboration,I'd love to see you in person,PROVIDER_PARTNERSHIP||Connection,0.6474504946297064
In person or telemed?,PROVIDER_PARTNERSHIP||invite_collaboration,Your appointment is scheduled for in person,Information-Giving||Scheduling_appt,0.6066086995449788
be happy to,PROVIDER_PARTNERSHIP||Connection,Happy Holidays,PATIENT_PARTNERSHIP||Connection,0.7938108379821986
be happy to,PROVIDER_PARTNERSHIP||Connection,If not our manager is Gean Brown and she'd be happy to assist,Information-Giving||Care_Coordination,0.712578162234185
be happy to,PROVIDER_PARTNERSHIP||Connection,I was happy,PROVIDER_PARTNERSHIP||Alignment,0.6458970383851764
be happy to,PROVIDER_PARTNERSHIP||Connection,I was happy,PROVIDER_PARTNERSHIP||Alignment,0.6458970383851764
if you need help,PROVIDER_PARTNERSHIP||Connection,Help!,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5660999682606163
We need to make an office visit,Information-Giving_SDOH||Health_care_access_and_quality,Do I need to make an appointment,Information-Seeking||Scheduling_appt,0.7533059043795038
We need to make an office visit,Information-Giving_SDOH||Health_care_access_and_quality,Or no need for an office visit?,PATIENT_SHARED-DECISION_MAKING||Explore_options,0.6334205849627007
Thank you,PROVIDER_PARTNERSHIP||signoff,Thank you,PATIENT_PARTNERSHIP||Appreciation/gratitude,0.9999999999999998
Thank you,PROVIDER_PARTNERSHIP||signoff,thank you,PATIENT_PARTNERSHIP||Appreciation/gratitude,0.9999999999999998
Thank you,PROVIDER_PARTNERSHIP||signoff,Thank you,PATIENT_PARTNERSHIP||signoff,0.9999999999999998
Thank you,PROVIDER_PARTNERSHIP||signoff,thank you,PATIENT_PARTNERSHIP||signoff,0.9999999999999998
Greetings,PROVIDER_PARTNERSHIP||salutation,Greetings,PATIENT_PARTNERSHIP||salutation,1.0
Please send to,Information-Giving||instruction,can you please send a picture through mychart?,PROVIDER_PARTNERSHIP||invite_collaboration,0.6631720008728366
Please send to,Information-Giving||instruction,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Information-Giving||Care_Coordination,0.5772193783459467
Please send to,Information-Giving||instruction,please have them send it to us at,Information-Giving||Care_Coordination,0.5670389246538088
this was faxed,Information-Giving||Care_Coordination,This was either Dec. or Jan,Information-Giving||Diagnostics,0.7854871508067237
this was faxed,Information-Giving||Care_Coordination,this was trending down.,Information-Giving||Diagnostics,0.7542115216570809
this was faxed,Information-Giving||Care_Coordination,to see that this was trending down,Information-Giving||Diagnostics,0.6376006079256578
Take care,PROVIDER_PARTNERSHIP||Connection,Take care,PATIENT_PARTNERSHIP||signoff,1.0000000000000002
Take care,PROVIDER_PARTNERSHIP||Connection,Take care,PROVIDER_PARTNERSHIP||signoff,1.0000000000000002
Take care,PROVIDER_PARTNERSHIP||Connection,Take care,PROVIDER_PARTNERSHIP||signoff,1.0000000000000002
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,I also think she put in an order for an ECHO,Information-Giving||Diagnostics,0.5580609572280655
it is a-okay for Person2 to have it done,PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,considering how difficult it is for Person2 to travel,Information-Giving_SDOH||Neighborhood_and_built_environment,0.6712125213407162
considering how difficult it is for Person2 to travel,Information-Giving_SDOH||Neighborhood_and_built_environment,it is a-okay for Person2 to have it done,PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,0.6712125213407162
considering how difficult it is for Person2 to travel,Information-Giving_SDOH||Neighborhood_and_built_environment,Here it is,Information-Giving||General_information,0.6138604617176129
considering how difficult it is for Person2 to travel,Information-Giving_SDOH||Neighborhood_and_built_environment,it is elevated,Information-Giving||Diagnostics,0.5711439637048018
many thanks,PATIENT_PARTNERSHIP||signoff,Many thanks!,PATIENT_PARTNERSHIP||Appreciation/gratitude,1.0000000000000004
This should ok,PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,Ok,PROVIDER_PARTNERSHIP||Alignment,0.6988840429102259
This should ok,PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,Ok,PROVIDER_PARTNERSHIP||Alignment,0.6988840429102259
This should ok,PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,OK,PATIENT_PARTNERSHIP||Alignment,0.6988840429102259
This should ok,PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,Ok,PATIENT_PARTNERSHIP||Alignment,0.6988840429102259
This should ok,PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,Ok,PATIENT_PARTNERSHIP||Alignment,0.6988840429102259
please call,Information-Giving||General_information,Please expedite,PATIENT_PARTNERSHIP||state_preferences,0.6458059301366992
please call,Information-Giving||General_information,Can she call me please,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5759094698725573
please call,Information-Giving||General_information,Please call it into Org1 in Location,Information-Giving_SDOH||Health_care_access_and_quality,0.554900318512826
let them know that you have a prescription for a PET scan,Information-Giving||Scheduling_appt,I see that you have a prescription for Ativan,Information-Giving||Drugs,0.77712821501378
let them know that you have a prescription for a PET scan,Information-Giving||Scheduling_appt,I have a prescription for trazodone from Org2 oncology,Information-Giving||Drugs,0.6111565132775796
have it a LOCATION,Information-Giving_SDOH||Health_care_access_and_quality,If it is ok can I have those shots at LOCATION,Information-Seeking_SDOH||Health_care_access_and_quality,0.5863918648396703
had an appt w,Information-Giving||Scheduling_appt,He just had an Ocrevus infusion,Information-Giving||Drugs,0.6287286591218185
he would order blood tests,Information-Giving||Diagnostics,he would take over this RX,Information-Giving||Drugs,0.5672132411609436
