label,avg_cross_label_rate,n_items
Information-Giving_SDOH||Economic_stability,0.05555555555555555,18
Information-Giving_SDOH||Health_care_access_and_quality,0.07201646090534979,81
Information-Giving_SDOH||Neighborhood_and_built_environment,0.0,7
Information-Giving||Care_Coordination,0.07142857142857142,168
Information-Giving||Diagnostics,0.06289308176100629,159
Information-Giving||Drugs,0.07446808510638298,141
Information-Giving||General_information,0.0896551724137931,145
Information-Giving||Prognosis,0.16666666666666666,6
Information-Giving||Scheduling_appt,0.095,120
Information-Giving||Symptoms,0.08173076923076923,104
Information-Giving||instruction,0.06818181818181818,44
Information-Seeking_SDOH||Economic_stability,0.0,7
Information-Seeking_SDOH||Health_care_access_and_quality,0.05263157894736842,19
Information-Seeking||Care_Coordination,0.125,8
Information-Seeking||Diagnostics,0.16521739130434782,46
Information-Seeking||Drugs,0.18181818181818182,33
Information-Seeking||General_information,0.058823529411764705,17
Information-Seeking||Scheduling_appt,0.10606060606060606,33
Information-Seeking||Symptoms,0.18181818181818182,11
PATIENT_PARTNERSHIP||Alignment,0.4879432624113476,47
PATIENT_PARTNERSHIP||Appreciation/gratitude,0.5651515151515152,99
PATIENT_PARTNERSHIP||Connection,0.4097222222222222,60
PATIENT_PARTNERSHIP||active_participation_/involvement,0.1476027397260274,146
PATIENT_PARTNERSHIP||build_trust,0.2,5
PATIENT_PARTNERSHIP||express_opinions,0.09615384615384616,52
PATIENT_PARTNERSHIP||salutation,0.3553072625698324,179
PATIENT_PARTNERSHIP||signoff,0.5051282051282051,156
PATIENT_PARTNERSHIP||state_preferences,0.06666666666666667,45
PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,0.2857142857142857,7
PATIENT_SHARED-DECISION_MAKING||Explore_options,0.05555555555555555,18
PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,0.08620689655172414,29
PROVIDER_PARTNERSHIP||Alignment,0.3934959349593496,41
PROVIDER_PARTNERSHIP||Appreciation/gratitude,0.8454545454545456,22
PROVIDER_PARTNERSHIP||Connection,0.5948148148148149,45
PROVIDER_PARTNERSHIP||Maintain_communication,0.20202702702702702,74
PROVIDER_PARTNERSHIP||build_trust,0.25,4
PROVIDER_PARTNERSHIP||checking_understanding/clarification,0.05,20
PROVIDER_PARTNERSHIP||invite_collaboration,0.18181818181818182,11
PROVIDER_PARTNERSHIP||salutation,0.6636363636363636,154
PROVIDER_PARTNERSHIP||signoff,0.5412186379928315,93
PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0.16666666666666666,18
PROVIDER_Shared-Decision_Making||Encourage_questions,1.0,2
PROVIDER_Shared-Decision_Making||Making_decision_together,0.07692307692307693,13
PROVIDER_Shared-Decision_Making||Share_options,0.029411764705882353,17
PROVIDER_Shared-Decision_Making||Summarize_and_confirm_understanding,0.0,7
Socioemotional_/_Empathy||Acknowledge_Error,0.19791666666666666,16
Socioemotional_/_Empathy||Express_concern/unease,0.08,25
Socioemotional_/_Empathy||Positive_Remarks/Reward,0.5,6
Socioemotional_/_Empathy||Reassurance,0.2857142857142857,14
Socioemotional_/_Empathy||Sadness/fear,0.13333333333333333,10
