label_A,label_B,count_lsa,avg_sim_lsa,n_A_lsa,n_B_lsa,ratio_A_lsa,ratio_B_lsa,count_sbert,avg_sim_sbert,n_A_sbert,n_B_sbert,ratio_A_sbert,ratio_B_sbert,count_tfidf,avg_sim_tfidf,n_A_tfidf,n_B_tfidf,ratio_A_tfidf,ratio_B_tfidf,count_sum_all_methods
Information-Giving_SDOH||Economic_stability,Information-Giving_SDOH||Health_care_access_and_quality,4.0,0.7329,18.0,81.0,0.2222,0.0494,9.0,0.6666,18.0,81.0,0.5,0.1111,,,,,,,13.0
Information-Giving_SDOH||Economic_stability,Information-Giving||Care_Coordination,4.0,0.5978,18.0,168.0,0.2222,0.0238,4.0,0.6674,18.0,168.0,0.2222,0.0238,,,,,,,8.0
Information-Giving_SDOH||Economic_stability,Information-Giving||Diagnostics,8.0,0.7107,18.0,159.0,0.4444,0.0503,,,,,,,,,,,,,8.0
Information-Giving_SDOH||Economic_stability,Information-Giving||Drugs,6.0,0.6723,18.0,141.0,0.3333,0.0426,4.0,0.6173,18.0,141.0,0.2222,0.0284,,,,,,,10.0
Information-Giving_SDOH||Economic_stability,Information-Giving||General_information,10.0,0.6846,18.0,145.0,0.5556,0.069,7.0,0.6322,18.0,145.0,0.3889,0.0483,,,,,,,17.0
Information-Giving_SDOH||Economic_stability,Information-Giving||Scheduling_appt,2.0,0.6975,18.0,120.0,0.1111,0.0167,7.0,0.5831,18.0,120.0,0.3889,0.0583,,,,,,,9.0
Information-Giving_SDOH||Economic_stability,Information-Giving||Symptoms,,,,,,,3.0,0.6227,18.0,104.0,0.1667,0.0288,,,,,,,3.0
Information-Giving_SDOH||Economic_stability,Information-Giving||instruction,2.0,0.6321,18.0,44.0,0.1111,0.0455,4.0,0.6361,18.0,44.0,0.2222,0.0909,,,,,,,6.0
Information-Giving_SDOH||Economic_stability,Information-Seeking_SDOH||Economic_stability,2.0,0.5815,18.0,7.0,0.1111,0.2857,7.0,0.6399,18.0,7.0,0.3889,1.0,,,,,,,9.0
Information-Giving_SDOH||Economic_stability,Information-Seeking_SDOH||Health_care_access_and_quality,2.0,0.7422,18.0,19.0,0.1111,0.1053,1.0,0.5917,18.0,19.0,0.0556,0.0526,,,,,,,3.0
Information-Giving_SDOH||Economic_stability,Information-Seeking||Diagnostics,2.0,0.5986,18.0,46.0,0.1111,0.0435,2.0,0.6261,18.0,46.0,0.1111,0.0435,,,,,,,4.0
Information-Giving_SDOH||Economic_stability,Information-Seeking||Scheduling_appt,7.0,0.6484,18.0,33.0,0.3889,0.2121,2.0,0.7622,18.0,33.0,0.1111,0.0606,,,,,,,9.0
Information-Giving_SDOH||Economic_stability,Information-Seeking||Symptoms,2.0,0.5535,18.0,11.0,0.1111,0.1818,,,,,,,,,,,,,2.0
Information-Giving_SDOH||Economic_stability,PATIENT_PARTNERSHIP||Alignment,,,,,,,1.0,0.7085,18.0,47.0,0.0556,0.0213,,,,,,,1.0
Information-Giving_SDOH||Economic_stability,PATIENT_PARTNERSHIP||Connection,,,,,,,,,,,,,1.0,0.5662,18.0,60.0,0.0556,0.0167,1.0
Information-Giving_SDOH||Economic_stability,PATIENT_PARTNERSHIP||active_participation_/involvement,3.0,0.5656,18.0,146.0,0.1667,0.0205,5.0,0.6095,18.0,146.0,0.2778,0.0342,,,,,,,8.0
Information-Giving_SDOH||Economic_stability,PATIENT_PARTNERSHIP||express_opinions,1.0,0.5663,18.0,52.0,0.0556,0.0192,,,,,,,,,,,,,1.0
Information-Giving_SDOH||Economic_stability,PATIENT_PARTNERSHIP||state_preferences,3.0,0.7125,18.0,45.0,0.1667,0.0667,1.0,0.5608,18.0,45.0,0.0556,0.0222,2.0,0.5762,18.0,45.0,0.1111,0.0444,6.0
Information-Giving_SDOH||Economic_stability,PROVIDER_PARTNERSHIP||Maintain_communication,,,,,,,1.0,0.5872,18.0,74.0,0.0556,0.0135,,,,,,,1.0
Information-Giving_SDOH||Economic_stability,PROVIDER_PARTNERSHIP||invite_collaboration,,,,,,,3.0,0.6614,18.0,11.0,0.1667,0.2727,,,,,,,3.0
Information-Giving_SDOH||Economic_stability,PROVIDER_Shared-Decision_Making||Approval/Reinforcement,,,,,,,1.0,0.7096,18.0,18.0,0.0556,0.0556,,,,,,,1.0
Information-Giving_SDOH||Economic_stability,Socioemotional_/_Empathy||Acknowledge_Error,,,,,,,1.0,0.6545,18.0,16.0,0.0556,0.0625,,,,,,,1.0
Information-Giving_SDOH||Economic_stability,Socioemotional_/_Empathy||Express_concern/unease,2.0,0.6289,18.0,25.0,0.1111,0.08,,,,,,,,,,,,,2.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving_SDOH||Neighborhood_and_built_environment,4.0,0.5833,81.0,7.0,0.0494,0.5714,,,,,,,,,,,,,4.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||Care_Coordination,18.0,0.6488,81.0,168.0,0.2222,0.1071,37.0,0.6467,81.0,168.0,0.4568,0.2202,2.0,0.6174,81.0,168.0,0.0247,0.0119,57.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||Diagnostics,27.0,0.6519,81.0,159.0,0.3333,0.1698,31.0,0.69,81.0,159.0,0.3827,0.195,2.0,0.738,81.0,159.0,0.0247,0.0126,60.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||Drugs,12.0,0.652,81.0,141.0,0.1481,0.0851,43.0,0.64,81.0,141.0,0.5309,0.305,,,,,,,55.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||General_information,17.0,0.6036,81.0,145.0,0.2099,0.1172,38.0,0.6305,81.0,145.0,0.4691,0.2621,,,,,,,55.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||Prognosis,,,,,,,4.0,0.5704,81.0,6.0,0.0494,0.6667,,,,,,,4.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||Scheduling_appt,27.0,0.6212,81.0,120.0,0.3333,0.225,40.0,0.6728,81.0,120.0,0.4938,0.3333,,,,,,,67.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||Symptoms,10.0,0.7295,81.0,104.0,0.1235,0.0962,4.0,0.621,81.0,104.0,0.0494,0.0385,4.0,0.6286,81.0,104.0,0.0494,0.0385,18.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||instruction,2.0,0.7935,81.0,44.0,0.0247,0.0455,18.0,0.659,81.0,44.0,0.2222,0.4091,2.0,0.6113,81.0,44.0,0.0247,0.0455,22.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Seeking_SDOH||Economic_stability,,,,,,,1.0,0.5687,81.0,7.0,0.0123,0.1429,,,,,,,1.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Seeking_SDOH||Health_care_access_and_quality,14.0,0.6473,81.0,19.0,0.1728,0.7368,33.0,0.6292,81.0,19.0,0.4074,1.7368,2.0,0.6228,81.0,19.0,0.0247,0.1053,49.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Seeking||Diagnostics,3.0,0.6022,81.0,46.0,0.037,0.0652,2.0,0.6926,81.0,46.0,0.0247,0.0435,,,,,,,5.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Seeking||Drugs,2.0,0.7845,81.0,33.0,0.0247,0.0606,19.0,0.6568,81.0,33.0,0.2346,0.5758,2.0,0.557,81.0,33.0,0.0247,0.0606,23.0
Information-Giving_SDOH||Health_care_access_and_quality,Information-Seeking||Scheduling_appt,3.0,0.7189,81.0,33.0,0.037,0.0909,4.0,0.684,81.0,33.0,0.0494,0.1212,,,,,,,7.0
Information-Giving_SDOH||Health_care_access_and_quality,PATIENT_PARTNERSHIP||Alignment,4.0,0.6055,81.0,47.0,0.0494,0.0851,,,,,,,,,,,,,4.0
Information-Giving_SDOH||Health_care_access_and_quality,PATIENT_PARTNERSHIP||Connection,1.0,0.6302,81.0,60.0,0.0123,0.0167,,,,,,,,,,,,,1.0
Information-Giving_SDOH||Health_care_access_and_quality,PATIENT_PARTNERSHIP||active_participation_/involvement,2.0,0.5626,81.0,146.0,0.0247,0.0137,26.0,0.6297,81.0,146.0,0.321,0.1781,,,,,,,28.0
Information-Giving_SDOH||Health_care_access_and_quality,PATIENT_PARTNERSHIP||express_opinions,4.0,0.6116,81.0,52.0,0.0494,0.0769,1.0,0.6138,81.0,52.0,0.0123,0.0192,,,,,,,5.0
Information-Giving_SDOH||Health_care_access_and_quality,PATIENT_PARTNERSHIP||state_preferences,4.0,0.6228,81.0,45.0,0.0494,0.0889,13.0,0.6382,81.0,45.0,0.1605,0.2889,,,,,,,17.0
Information-Giving_SDOH||Health_care_access_and_quality,PATIENT_SHARED-DECISION_MAKING||Explore_options,5.0,0.5935,81.0,18.0,0.0617,0.2778,5.0,0.6542,81.0,18.0,0.0617,0.2778,,,,,,,10.0
Information-Giving_SDOH||Health_care_access_and_quality,PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,,,,,,,1.0,0.5957,81.0,29.0,0.0123,0.0345,,,,,,,1.0
Information-Giving_SDOH||Health_care_access_and_quality,PROVIDER_PARTNERSHIP||Alignment,6.0,0.6487,81.0,41.0,0.0741,0.1463,2.0,0.7662,81.0,41.0,0.0247,0.0488,,,,,,,8.0
Information-Giving_SDOH||Health_care_access_and_quality,PROVIDER_PARTNERSHIP||Maintain_communication,4.0,0.7584,81.0,74.0,0.0494,0.0541,7.0,0.662,81.0,74.0,0.0864,0.0946,,,,,,,11.0
Information-Giving_SDOH||Health_care_access_and_quality,PROVIDER_PARTNERSHIP||checking_understanding/clarification,,,,,,,6.0,0.6901,81.0,20.0,0.0741,0.3,,,,,,,6.0
Information-Giving_SDOH||Health_care_access_and_quality,PROVIDER_Shared-Decision_Making||Approval/Reinforcement,2.0,0.6599,81.0,18.0,0.0247,0.1111,2.0,0.6494,81.0,18.0,0.0247,0.1111,,,,,,,4.0
