anchor_text,anchor_label,neighbor_text,neighbor_label,similarity,method,level,pair_key,example_hash
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,sbert,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,sbert,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
Hi,PROVIDER_PARTNERSHIP||salutation,Hi,PATIENT_PARTNERSHIP||salutation,1.0,tfidf,combined,PROVIDER_PARTNERSHIP||salutation :: PATIENT_PARTNERSHIP||salutation,0197f44d11b4c7dddf24b6fb6023825569bc220a
