label_A,label_B,count_lsa,avg_sim_lsa,n_A_lsa,n_B_lsa,ratio_A_lsa,ratio_B_lsa,count_sbert,avg_sim_sbert,n_A_sbert,n_B_sbert,ratio_A_sbert,ratio_B_sbert,count_tdidf,avg_sim_tdidf,n_A_tdidf,n_B_tdidf,ratio_A_tdidf,ratio_B_tdidf,count_sum_all_methods
Acknowledge_Error,Alignment,,,,,,,1.0,0.5878,16.0,88.0,0.0625,0.0114,,,,,,,1.0
Acknowledge_Error,Approval/Reinforcement,2.0,0.688,16.0,25.0,0.125,0.08,1.0,0.5801,16.0,25.0,0.0625,0.04,,,,,,,3.0
Acknowledge_Error,Care_Coordination,,,,,,,2.0,0.5648,16.0,176.0,0.125,0.0114,,,,,,,2.0
Acknowledge_Error,Connection,19.0,0.7597,16.0,105.0,1.1875,0.181,5.0,0.5958,16.0,105.0,0.3125,0.0476,6.0,0.7611,16.0,105.0,0.375,0.0571,30.0
Acknowledge_Error,Diagnostics,5.0,0.6156,16.0,205.0,0.3125,0.0244,,,,,,,2.0,0.5926,16.0,205.0,0.125,0.0098,7.0
Acknowledge_Error,Drugs,2.0,0.6407,16.0,174.0,0.125,0.0115,,,,,,,,,,,,,2.0
Acknowledge_Error,Economic_stability,,,,,,,1.0,0.6545,16.0,25.0,0.0625,0.04,,,,,,,1.0
Acknowledge_Error,Express_concern/unease,4.0,0.6312,16.0,25.0,0.25,0.16,10.0,0.6801,16.0,25.0,0.625,0.4,,,,,,,14.0
Acknowledge_Error,General_information,4.0,0.603,16.0,162.0,0.25,0.0247,2.0,0.6067,16.0,162.0,0.125,0.0123,,,,,,,6.0
Acknowledge_Error,Maintain_communication,4.0,0.6111,16.0,74.0,0.25,0.0541,,,,,,,,,,,,,4.0
Acknowledge_Error,Reassurance,,,,,,,2.0,0.5764,16.0,14.0,0.125,0.1429,,,,,,,2.0
Acknowledge_Error,Sadness/fear,11.0,0.7256,16.0,10.0,0.6875,1.1,8.0,0.6846,16.0,10.0,0.5,0.8,6.0,0.787,16.0,10.0,0.375,0.6,25.0
Acknowledge_Error,Scheduling_appt,,,,,,,1.0,0.5815,16.0,153.0,0.0625,0.0065,,,,,,,1.0
Acknowledge_Error,active_participation_/involvement,,,,,,,3.0,0.5756,16.0,146.0,0.1875,0.0205,,,,,,,3.0
Acknowledge_Error,build_trust,2.0,0.558,16.0,9.0,0.125,0.2222,,,,,,,,,,,,,2.0
Acknowledge_Error,express_opinions,2.0,0.5834,16.0,52.0,0.125,0.0385,,,,,,,,,,,,,2.0
Acknowledge_Error,instruction,,,,,,,2.0,0.585,16.0,44.0,0.125,0.0455,,,,,,,2.0
Acknowledge_Error,state_preferences,1.0,0.61,16.0,45.0,0.0625,0.0222,,,,,,,,,,,,,1.0
Alignment,Appreciation/gratitude,,,,,,,1.0,0.5923,88.0,121.0,0.0114,0.0083,,,,,,,1.0
Alignment,Approval/Reinforcement,19.0,0.7305,88.0,25.0,0.2159,0.76,9.0,0.6868,88.0,25.0,0.1023,0.36,7.0,0.7412,88.0,25.0,0.0795,0.28,35.0
Alignment,Care_Coordination,7.0,0.6285,88.0,176.0,0.0795,0.0398,10.0,0.7439,88.0,176.0,0.1136,0.0568,,,,,,,17.0
Alignment,Connection,51.0,0.836,88.0,105.0,0.5795,0.4857,45.0,0.7583,88.0,105.0,0.5114,0.4286,32.0,0.9322,88.0,105.0,0.3636,0.3048,128.0
Alignment,Diagnostics,19.0,0.6519,88.0,205.0,0.2159,0.0927,4.0,0.6317,88.0,205.0,0.0455,0.0195,2.0,0.5825,88.0,205.0,0.0227,0.0098,25.0
Alignment,Drugs,11.0,0.7201,88.0,174.0,0.125,0.0632,2.0,0.6213,88.0,174.0,0.0227,0.0115,4.0,0.5842,88.0,174.0,0.0455,0.023,17.0
Alignment,Economic_stability,,,,,,,1.0,0.7085,88.0,25.0,0.0114,0.04,,,,,,,1.0
Alignment,Express_concern/unease,8.0,0.6583,88.0,25.0,0.0909,0.32,,,,,,,,,,,,,8.0
