label_A,label_B,count,avg_similarity,n_A,n_B,ratio_A=count/n_A,ratio_B=count/n_B
Appreciation/gratitude,signoff,552,0.9851,121,249,4.562,2.2169
Connection,signoff,80,0.8529,105,249,0.7619,0.3213
Diagnostics,Drugs,69,0.6487,205,174,0.3366,0.3966
Maintain_communication,active_participation_/involvement,64,0.7329,74,146,0.8649,0.4384
Diagnostics,General_information,53,0.6795,205,162,0.2585,0.3272
Diagnostics,active_participation_/involvement,53,0.6848,205,146,0.2585,0.363
Alignment,Connection,51,0.836,88,105,0.5795,0.4857
Care_Coordination,Scheduling_appt,51,0.6241,176,153,0.2898,0.3333
Drugs,General_information,50,0.6462,174,162,0.2874,0.3086
Diagnostics,Scheduling_appt,49,0.6403,205,153,0.239,0.3203
General_information,active_participation_/involvement,48,0.6893,162,146,0.2963,0.3288
General_information,Symptoms,44,0.6251,162,115,0.2716,0.3826
Care_Coordination,Drugs,42,0.6459,176,174,0.2386,0.2414
General_information,Scheduling_appt,42,0.6586,162,153,0.2593,0.2745
Diagnostics,Health_care_access_and_quality,40,0.6473,205,100,0.1951,0.4
Care_Coordination,General_information,39,0.6347,176,162,0.2216,0.2407
Drugs,Scheduling_appt,37,0.65,174,153,0.2126,0.2418
Drugs,active_participation_/involvement,34,0.6435,174,146,0.1954,0.2329
Diagnostics,Symptoms,33,0.6325,205,115,0.161,0.287
Health_care_access_and_quality,Scheduling_appt,32,0.6289,100,153,0.32,0.2092
Care_Coordination,active_participation_/involvement,31,0.625,176,146,0.1761,0.2123
Scheduling_appt,active_participation_/involvement,26,0.6294,153,146,0.1699,0.1781
Scheduling_appt,instruction,23,0.732,153,44,0.1503,0.5227
Drugs,Symptoms,22,0.6404,174,115,0.1264,0.1913
Care_Coordination,Diagnostics,21,0.6853,176,205,0.1193,0.1024
Alignment,Approval/Reinforcement,19,0.7305,88,25,0.2159,0.76
Acknowledge_Error,Connection,19,0.7597,16,105,1.1875,0.181
Alignment,Diagnostics,19,0.6519,88,205,0.2159,0.0927
General_information,state_preferences,18,0.6785,162,45,0.1111,0.4
Care_Coordination,Health_care_access_and_quality,18,0.6488,176,100,0.1023,0.18
Approval/Reinforcement,Drugs,18,0.6867,25,174,0.72,0.1034
General_information,Health_care_access_and_quality,17,0.6036,162,100,0.1049,0.17
Drugs,Health_care_access_and_quality,16,0.657,174,100,0.092,0.16
Connection,Reassurance,16,0.7658,105,14,0.1524,1.1429
General_information,Maintain_communication,16,0.6095,162,74,0.0988,0.2162
Connection,salutation,16,0.7346,105,333,0.1524,0.048
Symptoms,active_participation_/involvement,16,0.6034,115,146,0.1391,0.1096
Connection,Sadness/fear,15,0.6971,105,10,0.1429,1.5
Drugs,Maintain_communication,14,0.6791,174,74,0.0805,0.1892
Scheduling_appt,state_preferences,14,0.6547,153,45,0.0915,0.3111
Encourage_questions,Maintain_communication,14,0.7999,2,74,7.0,0.1892
General_information,express_opinions,14,0.6157,162,52,0.0864,0.2692
General_information,instruction,14,0.647,162,44,0.0864,0.3182
Care_Coordination,Maintain_communication,14,0.6715,176,74,0.0795,0.1892
Care_Coordination,Connection,13,0.6584,176,105,0.0739,0.1238
Drugs,state_preferences,13,0.6295,174,45,0.0747,0.2889
Connection,Scheduling_appt,13,0.6647,105,153,0.1238,0.085
Drugs,Seeking_Approval,13,0.5888,174,29,0.0747,0.4483
Maintain_communication,Scheduling_appt,13,0.6415,74,153,0.1757,0.085
Economic_stability,General_information,12,0.6875,25,162,0.48,0.0741
Express_concern/unease,General_information,12,0.6678,25,162,0.48,0.0741
Alignment,General_information,12,0.7473,88,162,0.1364,0.0741
Diagnostics,Economic_stability,12,0.6791,205,25,0.0585,0.48
Care_Coordination,instruction,11,0.623,176,44,0.0625,0.25
Acknowledge_Error,Sadness/fear,11,0.7256,16,10,0.6875,1.1
Alignment,Drugs,11,0.7201,88,174,0.125,0.0632
Maintain_communication,instruction,11,0.5867,74,44,0.1486,0.25
Connection,Drugs,10,0.6821,105,174,0.0952,0.0575
Symptoms,express_opinions,10,0.7938,115,52,0.087,0.1923
Express_concern/unease,Symptoms,10,0.6461,25,115,0.4,0.087
active_participation_/involvement,instruction,10,0.6288,146,44,0.0685,0.2273
Connection,General_information,10,0.6653,105,162,0.0952,0.0617
Diagnostics,state_preferences,10,0.6178,205,45,0.0488,0.2222
Approval/Reinforcement,Diagnostics,10,0.6645,25,205,0.4,0.0488
Connection,Diagnostics,10,0.6617,105,205,0.0952,0.0488
Health_care_access_and_quality,Symptoms,10,0.7295,100,115,0.1,0.087
Alignment,Health_care_access_and_quality,10,0.6314,88,100,0.1136,0.1
Care_Coordination,Symptoms,10,0.596,176,115,0.0568,0.087
Reassurance,Symptoms,10,0.6875,14,115,0.7143,0.087
Scheduling_appt,Symptoms,9,0.6693,153,115,0.0588,0.0783
Alignment,active_participation_/involvement,9,0.7896,88,146,0.1023,0.0616
Connection,state_preferences,9,0.6324,105,45,0.0857,0.2
salutation,signoff,9,0.8642,333,249,0.027,0.0361
Economic_stability,Scheduling_appt,9,0.6593,25,153,0.36,0.0588
Connection,Symptoms,8,0.6364,105,115,0.0762,0.0696
Alignment,Positive_Remarks/Reward,8,0.628,88,6,0.0909,1.3333
Alignment,Express_concern/unease,8,0.6583,88,25,0.0909,0.32
Diagnostics,Maintain_communication,8,0.6434,205,74,0.039,0.1081
Scheduling_appt,express_opinions,8,0.7145,153,52,0.0523,0.1538
Drugs,signoff,7,0.7132,174,249,0.0402,0.0281
Drugs,express_opinions,7,0.6914,174,52,0.0402,0.1346
Scheduling_appt,Seeking_Approval,7,0.7139,153,29,0.0458,0.2414
General_information,Making_decision_together,7,0.633,162,13,0.0432,0.5385
Appreciation/gratitude,salutation,7,0.6744,121,333,0.0579,0.021
Alignment,Symptoms,7,0.8153,88,115,0.0795,0.0609
Alignment,Care_Coordination,7,0.6285,88,176,0.0795,0.0398
Appreciation/gratitude,Maintain_communication,7,0.5616,121,74,0.0579,0.0946
Alignment,invite_collaboration,6,0.7558,88,11,0.0682,0.5455
Connection,active_participation_/involvement,6,0.7673,105,146,0.0571,0.0411
Drugs,Economic_stability,6,0.6723,174,25,0.0345,0.24
Express_concern/unease,active_participation_/involvement,6,0.6365,25,146,0.24,0.0411
Diagnostics,express_opinions,6,0.6321,205,52,0.0293,0.1154
Diagnostics,Making_decision_together,6,0.6266,205,13,0.0293,0.4615
Health_care_access_and_quality,active_participation_/involvement,6,0.5824,100,146,0.06,0.0411
Making_decision_together,Symptoms,6,0.6542,13,115,0.4615,0.0522
Connection,express_opinions,6,0.6643,105,52,0.0571,0.1154
active_participation_/involvement,state_preferences,6,0.76,146,45,0.0411,0.1333
Care_Coordination,Share_options,6,0.6788,176,17,0.0341,0.3529
Diagnostics,Explore_options,6,0.6175,205,18,0.0293,0.3333
General_information,Seeking_Approval,6,0.5984,162,29,0.037,0.2069
Economic_stability,Health_care_access_and_quality,6,0.736,25,100,0.24,0.06
Alignment,Seeking_Approval,6,0.708,88,29,0.0682,0.2069
Explore_options,Health_care_access_and_quality,5,0.5935,18,100,0.2778,0.05
express_opinions,state_preferences,5,0.6792,52,45,0.0962,0.1111
Approval/Reinforcement,Reassurance,5,0.7549,25,14,0.2,0.3571
Appreciation/gratitude,Connection,5,0.8535,121,105,0.0413,0.0476
Care_Coordination,state_preferences,5,0.6184,176,45,0.0284,0.1111
Acknowledge_Error,Diagnostics,5,0.6156,16,205,0.3125,0.0244
Approval/Reinforcement,General_information,5,0.6314,25,162,0.2,0.0309
Economic_stability,active_participation_/involvement,5,0.5841,25,146,0.2,0.0342
Connection,invite_collaboration,4,0.6702,105,11,0.0381,0.3636
Scheduling_appt,invite_collaboration,4,0.5839,153,11,0.0261,0.3636
Appreciation/gratitude,Drugs,4,0.654,121,174,0.0331,0.023
Health_care_access_and_quality,Maintain_communication,4,0.7584,100,74,0.04,0.0541
Drugs,Express_concern/unease,4,0.6451,174,25,0.023,0.16
Scheduling_appt,Share_options,4,0.6447,153,17,0.0261,0.2353
Diagnostics,Express_concern/unease,4,0.6188,205,25,0.0195,0.16
Acknowledge_Error,General_information,4,0.603,16,162,0.25,0.0247
signoff,state_preferences,4,0.5568,249,45,0.0161,0.0889
Health_care_access_and_quality,express_opinions,4,0.6116,100,52,0.04,0.0769
Diagnostics,Seeking_Approval,4,0.61,205,29,0.0195,0.1379
Positive_Remarks/Reward,Symptoms,4,0.7079,6,115,0.6667,0.0348
Approval/Reinforcement,Connection,4,0.6656,25,105,0.16,0.0381
Approval/Reinforcement,Seeking_Approval,4,0.6184,25,29,0.16,0.1379
Care_Coordination,Economic_stability,4,0.5978,176,25,0.0227,0.16
Health_care_access_and_quality,Neighborhood_and_built_environment,4,0.5833,100,7,0.04,0.5714
General_information,build_trust,4,0.706,162,9,0.0247,0.4444
Maintain_communication,Seeking_Approval,4,0.6045,74,29,0.0541,0.1379
Acknowledge_Error,Express_concern/unease,4,0.6312,16,25,0.25,0.16
active_participation_/involvement,invite_collaboration,4,0.5883,146,11,0.0274,0.3636
Prognosis,active_participation_/involvement,4,0.7242,6,146,0.6667,0.0274
Reassurance,active_participation_/involvement,4,0.6815,14,146,0.2857,0.0274
Care_Coordination,express_opinions,4,0.5807,176,52,0.0227,0.0769
Drugs,Making_decision_together,4,0.6882,174,13,0.023,0.3077
Neighborhood_and_built_environment,active_participation_/involvement,4,0.5891,7,146,0.5714,0.0274
Health_care_access_and_quality,state_preferences,4,0.6228,100,45,0.04,0.0889
Connection,Maintain_communication,4,0.8861,105,74,0.0381,0.0541
Maintain_communication,signoff,4,0.6071,74,249,0.0541,0.0161
Economic_stability,Symptoms,4,0.603,25,115,0.16,0.0348
Making_decision_together,Scheduling_appt,4,0.6989,13,153,0.3077,0.0261
active_participation_/involvement,express_opinions,4,0.6721,146,52,0.0274,0.0769
General_information,Reassurance,4,0.7961,162,14,0.0247,0.2857
Alignment,salutation,4,1.0,88,333,0.0455,0.012
Seeking_Approval,active_participation_/involvement,4,0.5571,29,146,0.1379,0.0274
Acknowledge_Error,Maintain_communication,4,0.6111,16,74,0.25,0.0541
Drugs,invite_collaboration,3,0.5938,174,11,0.0172,0.2727
Connection,Positive_Remarks/Reward,3,0.8522,105,6,0.0286,0.5
Economic_stability,state_preferences,3,0.7125,25,45,0.12,0.0667
Scheduling_appt,signoff,3,0.5837,153,249,0.0196,0.012
General_information,invite_collaboration,3,0.5962,162,11,0.0185,0.2727
Share_options,invite_collaboration,2,0.8247,17,11,0.1176,0.1818
instruction,invite_collaboration,2,0.6632,44,11,0.0455,0.1818
Approval/Reinforcement,Neighborhood_and_built_environment,2,0.6712,25,7,0.08,0.2857
General_information,Neighborhood_and_built_environment,2,0.6139,162,7,0.0123,0.2857
Diagnostics,Neighborhood_and_built_environment,2,0.5711,205,7,0.0098,0.2857
Symptoms,state_preferences,2,0.6535,115,45,0.0174,0.0444
Reassurance,Scheduling_appt,2,0.5523,14,153,0.1429,0.0131
Diagnostics,Summarize_and_confirm_understanding,2,0.6946,205,7,0.0098,0.2857
Express_concern/unease,express_opinions,2,0.5609,25,52,0.08,0.0385
Approval/Reinforcement,Maintain_communication,2,0.5555,25,74,0.08,0.027
Drugs,Reassurance,2,0.5584,174,14,0.0115,0.1429
Alignment,Maintain_communication,2,0.6415,88,74,0.0227,0.027
Encourage_questions,active_participation_/involvement,2,0.7775,2,146,1.0,0.0137
Drugs,Encourage_questions,2,0.637,174,2,0.0115,1.0
Alignment,Reassurance,2,0.5849,88,14,0.0227,0.1429
Appreciation/gratitude,Positive_Remarks/Reward,2,0.7831,121,6,0.0165,0.3333
Express_concern/unease,Seeking_Approval,2,0.7366,25,29,0.08,0.069
Share_options,Symptoms,2,0.6113,17,115,0.1176,0.0174
Connection,Seeking_Approval,2,0.638,105,29,0.019,0.069
Health_care_access_and_quality,build_trust,2,0.6419,100,9,0.02,0.2222
Diagnostics,Reassurance,2,0.6594,205,14,0.0098,0.1429
active_participation_/involvement,checking_understanding/clarification,2,0.7042,146,20,0.0137,0.1
Acknowledge_Error,build_trust,2,0.558,16,9,0.125,0.2222
Approval/Reinforcement,Health_care_access_and_quality,2,0.6599,25,100,0.08,0.02
Maintain_communication,Positive_Remarks/Reward,2,0.7018,74,6,0.027,0.3333
Maintain_communication,state_preferences,2,0.5894,74,45,0.027,0.0444
Maintain_communication,Symptoms,2,0.5761,74,115,0.027,0.0174
Acknowledge_Error,Approval/Reinforcement,2,0.688,16,25,0.125,0.08
active_participation_/involvement,build_trust,2,0.8781,146,9,0.0137,0.2222
Drugs,checking_understanding/clarification,2,1.0,174,20,0.0115,0.1
Scheduling_appt,checking_understanding/clarification,2,0.6086,153,20,0.0131,0.1
Appreciation/gratitude,active_participation_/involvement,2,0.553,121,146,0.0165,0.0137
Alignment,build_trust,2,0.6324,88,9,0.0227,0.2222
Positive_Remarks/Reward,build_trust,2,0.6135,6,9,0.3333,0.2222
Share_options,state_preferences,2,0.5821,17,45,0.1176,0.0444
Express_concern/unease,state_preferences,2,0.5545,25,45,0.08,0.0444
Approval/Reinforcement,invite_collaboration,2,0.8323,25,11,0.08,0.1818
Diagnostics,Prognosis,2,0.5515,205,6,0.0098,0.3333
Reassurance,instruction,2,0.5513,14,44,0.1429,0.0455
Appreciation/gratitude,build_trust,2,0.5736,121,9,0.0165,0.2222
Connection,Share_options,2,0.6637,105,17,0.019,0.1176
Explore_options,Seeking_Approval,2,0.5673,18,29,0.1111,0.069
Explore_options,active_participation_/involvement,2,0.563,18,146,0.1111,0.0137
Explore_options,Express_concern/unease,2,0.5573,18,25,0.1111,0.08
Care_Coordination,invite_collaboration,2,0.5662,176,11,0.0114,0.1818
Sadness/fear,signoff,2,0.5892,10,249,0.2,0.008
Connection,build_trust,2,0.5531,105,9,0.019,0.2222
Economic_stability,instruction,2,0.6321,25,44,0.08,0.0455
Health_care_access_and_quality,Making_decision_together,2,0.6008,100,13,0.02,0.1538
Diagnostics,instruction,2,0.781,205,44,0.0098,0.0455
Connection,instruction,2,0.6277,105,44,0.019,0.0455
Making_decision_together,Positive_Remarks/Reward,2,0.5713,13,6,0.1538,0.3333
