label_A,label_B,count,avg_similarity,n_A,n_B,ratio_A=count/n_A,ratio_B=count/n_B
PATIENT_PARTNERSHIP,PROVIDER_PARTNERSHIP,1616,0.9697,789,464,2.0482,3.4828
Information-Giving,PATIENT_PARTNERSHIP,52,0.6673,887,789,0.0586,0.0659
Information-Giving,PROVIDER_PARTNERSHIP,37,0.6911,887,464,0.0417,0.0797
Information-Seeking,PATIENT_PARTNERSHIP,22,0.6727,148,789,0.1486,0.0279
Information-Giving,Information-Seeking,18,0.6057,887,148,0.0203,0.1216
PROVIDER_PARTNERSHIP,Socioemotional_/_Empathy,14,0.8404,464,71,0.0302,0.1972
Information-Giving,Information-Giving_SDOH,10,0.6448,887,106,0.0113,0.0943
Information-Giving,Socioemotional_/_Empathy,10,0.7621,887,71,0.0113,0.1408
PATIENT_PARTNERSHIP,PATIENT_SHARED-DECISION_MAKING,9,0.6278,789,54,0.0114,0.1667
PROVIDER_PARTNERSHIP,PROVIDER_Shared-Decision_Making,8,0.7408,464,57,0.0172,0.1404
PATIENT_PARTNERSHIP,Socioemotional_/_Empathy,6,0.6122,789,71,0.0076,0.0845
Information-Giving,PROVIDER_Shared-Decision_Making,6,0.7738,887,57,0.0068,0.1053
Information-Giving,PATIENT_SHARED-DECISION_MAKING,4,0.596,887,54,0.0045,0.0741
PATIENT_SHARED-DECISION_MAKING,PROVIDER_PARTNERSHIP,4,0.6276,54,464,0.0741,0.0086
Information-Giving_SDOH,PATIENT_PARTNERSHIP,3,0.5729,106,789,0.0283,0.0038
PATIENT_SHARED-DECISION_MAKING,Socioemotional_/_Empathy,2,1.0,54,71,0.037,0.0282
PATIENT_PARTNERSHIP,PROVIDER_Shared-Decision_Making,2,1.0,789,57,0.0025,0.0351
Information-Giving_SDOH,Information-Seeking,2,0.557,106,148,0.0189,0.0135
Information-Seeking,Socioemotional_/_Empathy,2,0.6308,148,71,0.0135,0.0282
Information-Giving_SDOH,Information-Seeking_SDOH,2,0.6228,106,26,0.0189,0.0769
Information-Seeking,PROVIDER_Shared-Decision_Making,2,0.7847,148,57,0.0135,0.0351
Information-Seeking,PROVIDER_PARTNERSHIP,2,0.5564,148,464,0.0135,0.0043
