label,count
PATIENT_PARTNERSHIP_salutation,179
PATIENT_PARTNERSHIP_signoff,156
PROVIDER_PARTNERSHIP_salutation,154
PATIENT_PARTNERSHIP_active_participation_/involvement,146
PATIENT_PARTNERSHIP_Appreciation/gratitude,99
PROVIDER_PARTNERSHIP_signoff,93
PROVIDER_PARTNERSHIP_Maintain_communication,74
PATIENT_PARTNERSHIP_Connection,60
PATIENT_PARTNERSHIP_express_opinions,52
PATIENT_PARTNERSHIP_Alignment,47
PROVIDER_PARTNERSHIP_Connection,45
PATIENT_PARTNERSHIP_state_preferences,45
Information-Giving_instruction,44
PROVIDER_PARTNERSHIP_Alignment,41
PATIENT_SHARED-DECISION_MAKING_Seeking_Approval,29
Socioemotional_/_Empathy_Express_concern/unease,25
PROVIDER_PARTNERSHIP_Appreciation/gratitude,22
PROVIDER_PARTNERSHIP_checking_understanding/clarification,20
PROVIDER_Shared-Decision_Making_Approval/Reinforcement,18
PATIENT_SHARED-DECISION_MAKING_Explore_options,18
PROVIDER_Shared-Decision_Making_Share_options,17
Socioemotional_/_Empathy_Acknowledge_Error,16
Socioemotional_/_Empathy_Reassurance,14
PROVIDER_Shared-Decision_Making_Making_decision_together,13
PROVIDER_PARTNERSHIP_invite_collaboration,11
Socioemotional_/_Empathy_Sadness/fear,10
PATIENT_SHARED-DECISION_MAKING_Approval/Reinforcement,7
PROVIDER_Shared-Decision_Making_Summarize_and_confirm_understanding,7
Socioemotional_/_Empathy_Positive_Remarks/Reward,6
PATIENT_PARTNERSHIP_build_trust,5
PROVIDER_PARTNERSHIP_build_trust,4
PROVIDER_Shared-Decision_Making_Encourage_questions,2
