pair,src_label,src_text,nbr_label,nbr_text,similarity
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.6584
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.6584
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.6584
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.6584
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.6584
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.6584
InfoGive → Drugs || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,He definitely needs/,InfoGive → Drugs,He prescribed me Ketorolac (Toradol),0.7589
InfoGive → SchedulingAppt || InfoGive → Symptoms,InfoGive → SchedulingAppt,He definitely needs/,InfoGive → Symptoms,he vomiting with dry heaves,0.741
InfoGive → SchedulingAppt || InfoGive → Symptoms,InfoGive → SchedulingAppt,He definitely needs/,InfoGive → Symptoms,He definitely looks puffier to me leg swelling some,0.7104
InfoGive → Generalinformation || InfoGive → SchedulingAppt,InfoGive → SchedulingAppt,He definitely needs/,InfoGive → Generalinformation,He my doctor,0.6813
InfoGive → SchedulingAppt || InfoSeek → Drugs,InfoGive → SchedulingAppt,He definitely needs/,InfoSeek → Drugs,Does he have a recommended dosage?,0.6185
InfoGive → SchedulingAppt || InfoGive → Symptoms,InfoGive → SchedulingAppt,He definitely needs/,InfoGive → Symptoms,he's not in shape,0.6029
PartnershipProvider → inviteCollaboration || SharedDecisionProvider → ShareOptions,PartnershipProvider → inviteCollaboration,In person or telemed?,SharedDecisionProvider → ShareOptions,We can either schedule for in person or via telehealth,0.7984
PartnershipProvider → Alignment || PartnershipProvider → inviteCollaboration,PartnershipProvider → inviteCollaboration,In person or telemed?,PartnershipProvider → Alignment,Glad I saw you in person and clarify treatment,0.7101
