Class,Support,Precision,Recall,F1 Score
signoff,23,0.92,1.0,0.9583333333333334
salutation,12,1.0,0.8333333333333334,0.9090909090909091
ExpressConcern/unease,2,1.0,0.5,0.6666666666666666
SchedulingAppt,3,0.5,1.0,0.6666666666666666
Symptoms,5,0.5,0.8,0.6153846153846154
ExploreOptions,3,0.5,0.6666666666666666,0.5714285714285714
Generalinformation,8,0.5714285714285714,0.5,0.5333333333333333
Alignment,8,0.6,0.375,0.46153846153846156
Appreciation/Gratitude,6,0.6666666666666666,0.3333333333333333,0.4444444444444444
maintainCommunication,5,0.5,0.4,0.4444444444444444
Diagnostics,9,0.5,0.3333333333333333,0.4
activeParticipation/involvement,7,0.4,0.2857142857142857,0.3333333333333333
carecoordination,3,0.25,0.3333333333333333,0.2857142857142857
connection,4,0.16666666666666666,0.5,0.25
expressOpinions,4,0.2,0.25,0.2222222222222222
Drugs,6,0.0,0.0,0.0
Approval/Reinforcement,0,0.0,0.0,0.0
AcknowledgeError,0,0.0,0.0,0.0
EconomicStability,1,0.0,0.0,0.0
Reassurance,1,0.0,0.0,0.0
SeekingApproval,1,0.0,0.0,0.0
PositiveRemarks,1,0.0,0.0,0.0
Instruction,1,0.0,0.0,0.0
HealthCareAccessAndQuality,2,0.0,0.0,0.0
MakeDecision,2,0.0,0.0,0.0
statePreferences,0,0.0,0.0,0.0
