Class,Support,Precision,Recall,F1 Score
Prognosis,1,1.0,1.0,1.0
salutation,19,1.0,1.0,1.0
signoff,50,0.9019607843137255,0.92,0.9108910891089109
AcknowledgeError,2,1.0,0.5,0.6666666666666666
Alignment,12,0.6153846153846154,0.6666666666666666,0.64
Appreciation/Gratitude,11,0.5714285714285714,0.7272727272727273,0.64
statePreferences,8,0.5555555555555556,0.625,0.5882352941176471
Diagnostics,42,0.5681818181818182,0.5952380952380952,0.5813953488372093
connection,23,0.5909090909090909,0.5652173913043478,0.5777777777777777
Symptoms,28,0.6363636363636364,0.5,0.56
Instruction,10,0.625,0.5,0.5555555555555556
Drugs,30,0.4864864864864865,0.6,0.5373134328358209
carecoordination,28,0.43333333333333335,0.4642857142857143,0.4482758620689655
SchedulingAppt,15,0.3125,0.6666666666666666,0.425531914893617
ExploreOptions,3,0.5,0.3333333333333333,0.4
maintainCommunication,8,0.3333333333333333,0.375,0.35294117647058826
Generalinformation,36,0.35294117647058826,0.3333333333333333,0.34285714285714286
activeParticipation/involvement,28,0.2894736842105263,0.39285714285714285,0.3333333333333333
HealthCareAccessAndQuality,23,0.3125,0.21739130434782608,0.2564102564102564
MakeDecision,0,0.0,0.0,0.0
PositiveRemarks,2,0.0,0.0,0.0
EconomicStability,4,0.0,0.0,0.0
Approval/Reinforcement,4,0.0,0.0,0.0
EncourageQuestions,1,0.0,0.0,0.0
ExpressConcern/unease,4,0.0,0.0,0.0
Reassurance,2,0.0,0.0,0.0
Sadness/fear,2,0.0,0.0,0.0
SeekingApproval,6,0.0,0.0,0.0
ShareOptions,1,0.0,0.0,0.0
SummarizeConfirmUnderstanding,0,0.0,0.0,0.0
inviteCollaboration,1,0.0,0.0,0.0
checkingUnderstanding/clarification,4,0.0,0.0,0.0
expressOpinions,9,0.0,0.0,0.0
