method,label,neighbor_disagreement,neighbor_total,disagreement_rate
sbert,PartnershipPatient,470,8960,0.0525
sbert,PartnershipProvider,289,930,0.3108
sbert,SharedDecisionPatient,118,490,0.2408
sbert,SDOH,115,3440,0.0334
sbert,CareCoordinationPatient,88,670,0.1313
sbert,CareCoordinationProvider,65,240,0.2708
sbert,SocioEmotionalBehaviour,53,670,0.0791
sbert,SharedDecisionProvider,5,70,0.0714
tfidf,PartnershipPatient,336,8960,0.0375
tfidf,PartnershipProvider,177,930,0.1903
tfidf,SDOH,79,3440,0.023
tfidf,SocioEmotionalBehaviour,35,670,0.0522
tfidf,SharedDecisionPatient,23,490,0.0469
tfidf,CareCoordinationPatient,19,670,0.0284
tfidf,CareCoordinationProvider,5,240,0.0208
tfidf,SharedDecisionProvider,4,70,0.0571
lsa,PartnershipPatient,1139,8960,0.1271
lsa,SDOH,609,3440,0.177
lsa,PartnershipProvider,348,930,0.3742
lsa,SocioEmotionalBehaviour,201,670,0.3
lsa,CareCoordinationPatient,135,670,0.2015
lsa,SharedDecisionPatient,104,490,0.2122
lsa,CareCoordinationProvider,55,240,0.2292
lsa,SharedDecisionProvider,19,70,0.2714
jaccard,PartnershipPatient,144,8960,0.0161
jaccard,PartnershipProvider,115,930,0.1237
jaccard,CareCoordinationPatient,4,670,0.006
jaccard,SDOH,3,3440,0.0009
jaccard,CareCoordinationProvider,2,240,0.0083
jaccard,SharedDecisionPatient,1,490,0.002
jaccard,SharedDecisionProvider,0,70,0.0
jaccard,SocioEmotionalBehaviour,0,670,0.0
