pair,src_label,src_text,nbr_label,nbr_text,similarity
PartnershipPatient || SDOH,PartnershipPatient,I have an ingrown hair right on top of my vaginal area,SDOH,recent passing of my brother,0.6262
PartnershipPatient || SDOH,PartnershipPatient,is draining,SDOH,my occupation is,0.7791
PartnershipPatient || SocioEmotionalBehaviour,PartnershipPatient,is draining,SocioEmotionalBehaviour,my fear is that it is,0.7176
PartnershipPatient || PartnershipProvider,PartnershipPatient,is draining,PartnershipProvider,hydroxyzine is not habit forming,0.7003
PartnershipPatient || SDOH,PartnershipPatient,is draining,SDOH,your copay is 20.00,0.6177
PartnershipPatient || PartnershipProvider,PartnershipPatient,is draining,PartnershipProvider,is that ok,0.6172
PartnershipPatient || SDOH,PartnershipPatient,is draining,SDOH,he is my support,0.6039
PartnershipPatient || SDOH,PartnershipPatient,a knot behind the skin,SDOH,avoid the high pricing,0.836
PartnershipPatient || SDOH,PartnershipPatient,a knot behind the skin,SDOH,doesn't cost the earth,0.8133
PartnershipPatient || PartnershipProvider,PartnershipPatient,a knot behind the skin,PartnershipProvider,The $427 is the whole price,0.761
PartnershipPatient || SDOH,PartnershipPatient,a knot behind the skin,SDOH,I woke up in the middle of the night,0.6285
PartnershipPatient || SDOH,PartnershipPatient,a knot behind the skin,SDOH,The building I work,0.6079
PartnershipPatient || SDOH,PartnershipPatient,it is very tender to touch,SDOH,it is a assistance program,0.6989
PartnershipPatient || SocioEmotionalBehaviour,PartnershipPatient,it is very tender to touch,SocioEmotionalBehaviour,my fear is that it is,0.6337
PartnershipPatient || SDOH,PartnershipPatient,it is very tender to touch,SDOH,It is a program from the government,0.6125
PartnershipProvider || SDOH,SDOH,I can not get off work,PartnershipProvider,i can not guarantee,0.7716
PartnershipPatient || SDOH,SDOH,I can not get off work,PartnershipPatient,I can not monitor my sugar,0.7124
PartnershipPatient || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipPatient,It is my understanding,0.83
PartnershipPatient || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipPatient,it is impossible,0.8281
PartnershipProvider || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipProvider,is that ok,0.7702
