pair,src_label,src_text,nbr_label,nbr_text,similarity
PartnershipPatient || SDOH,PartnershipPatient,is draining,SDOH,my occupation is,0.7801
PartnershipProvider || SDOH,SDOH,I can not get off work,PartnershipProvider,i can not guarantee,0.6032
PartnershipPatient || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipPatient,it is impossible,0.7234
PartnershipProvider || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipProvider,is that ok,0.6201
PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Is there any way that you could all in Bactrim DS,PartnershipPatient,is there any possible way,0.6138
PartnershipPatient || PartnershipProvider,PartnershipPatient,Thank you,PartnershipProvider,Thank you,1.0
PartnershipPatient || PartnershipProvider,PartnershipPatient,Thank you,PartnershipProvider,Thank you!,1.0
SDOH || SocioEmotionalBehaviour,SDOH,doing my duties,SocioEmotionalBehaviour,I am doing my best,0.675
PartnershipPatient || SocioEmotionalBehaviour,PartnershipPatient,I am in pain everyday,SocioEmotionalBehaviour,I am in desperate need,0.6348
PartnershipPatient || SDOH,PartnershipPatient,I have a huge lump in my cheek,SDOH,in my family,0.7231
PartnershipPatient || SDOH,PartnershipPatient,to go over labs,SDOH,to go work,0.6423
PartnershipPatient || SocioEmotionalBehaviour,PartnershipPatient,my Lisinopril and my Metoprolol,SocioEmotionalBehaviour,My apoligies,0.7978
PartnershipPatient || SDOH,PartnershipPatient,my Lisinopril and my Metoprolol,SDOH,excuse my absences,0.7978
PartnershipPatient || SDOH,PartnershipPatient,my Lisinopril and my Metoprolol,SDOH,eating scrambled eggs and soup,0.6029
CareCoordinationPatient || PartnershipPatient,CareCoordinationPatient,with the Endocrinologist to make sure,PartnershipPatient,want to make sure,0.6807
CareCoordinationPatient || PartnershipPatient,CareCoordinationPatient,with the Endocrinologist to make sure,PartnershipPatient,make sure I do get,0.602
SDOH || SocioEmotionalBehaviour,SocioEmotionalBehaviour,I won't have to worry about,SDOH,I have 2 Easter lunch banquets I have to attend,0.6939
PartnershipPatient || PartnershipProvider,PartnershipPatient,Thank you,PartnershipProvider,Thank you,1.0
PartnershipPatient || PartnershipProvider,PartnershipPatient,Thank you,PartnershipProvider,Thank you!,1.0
PartnershipProvider || SocioEmotionalBehaviour,PartnershipProvider,is that ok,SocioEmotionalBehaviour,my fear is that it is,0.6201
PartnershipPatient || PartnershipProvider,PartnershipProvider,is that ok,PartnershipPatient,Ok,0.6158
PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank you,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank you,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank you,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank you,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank you,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,thank you,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank you,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank You,1.0
PartnershipPatient || SDOH,SDOH,I have voluntarily quarantined,PartnershipPatient,I have a cavity,1.0
PartnershipPatient || SDOH,SDOH,I have voluntarily quarantined,PartnershipPatient,I have difficulty focusing,1.0
PartnershipPatient || SDOH,SDOH,I have voluntarily quarantined,PartnershipPatient,I have discovered,1.0
PartnershipPatient || SDOH,SDOH,I have voluntarily quarantined,PartnershipPatient,I have a recheck appointment,0.6264
PartnershipPatient || SDOH,PartnershipPatient,I will never get there!,SDOH,canâ€™t get there,0.6561
PartnershipPatient || SDOH,SDOH,I have been crazy busy,PartnershipPatient,I have been recieving,0.7834
PartnershipPatient || SDOH,SDOH,I have been crazy busy,PartnershipPatient,I have been trying,0.6304
PartnershipPatient || SDOH,SDOH,eating scrambled eggs and soup,PartnershipPatient,vertigo and dizziness,1.0
PartnershipPatient || SDOH,SDOH,eating scrambled eggs and soup,PartnershipPatient,Adderall and zofran,0.6272
PartnershipPatient || SDOH,SDOH,eating scrambled eggs and soup,PartnershipPatient,those results and reports,0.6212
PartnershipPatient || SDOH,SDOH,eating scrambled eggs and soup,PartnershipPatient,my Lisinopril and my Metoprolol,0.6029
PartnershipPatient || SharedDecisionPatient,PartnershipPatient,I can tolerate,SharedDecisionPatient,Can I switch to,0.8294
PartnershipPatient || SDOH,PartnershipPatient,pain after I eat,SDOH,after I eat anything,0.6999
PartnershipPatient || SDOH,SDOH,after I eat anything,PartnershipPatient,pain after I eat,0.6999
PartnershipPatient || SDOH,PartnershipPatient,due to the discomfort,SDOH,due to car wreck,0.6507
PartnershipPatient || PartnershipProvider,PartnershipPatient,Thank you,PartnershipProvider,Thank you,1.0
PartnershipPatient || PartnershipProvider,PartnershipPatient,Thank you,PartnershipProvider,Thank you!,1.0
PartnershipPatient || PartnershipProvider,PartnershipPatient,Good Morning,PartnershipProvider,Good morning,1.0
PartnershipPatient || SharedDecisionProvider,PartnershipPatient,I would like to give them documentation,SharedDecisionProvider,if you would like to give it try,0.6788
SDOH || SocioEmotionalBehaviour,SocioEmotionalBehaviour,I am doing my best,SDOH,doing my duties,0.675
CareCoordinationPatient || PartnershipPatient,CareCoordinationPatient,waiting for my rheumatologist appointment,PartnershipPatient,I am waiting for,0.6326
SDOH || SocioEmotionalBehaviour,SDOH,for the Org4 team,SocioEmotionalBehaviour,apologies for the misspelling,0.7193
PartnershipPatient || PartnershipProvider,PartnershipProvider,Hi,PartnershipPatient,Hi,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Hi,PartnershipPatient,Hi,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Hi,PartnershipPatient,Hi,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Hi,PartnershipPatient,Hi,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Hi,PartnershipPatient,Hi,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Hi,PartnershipPatient,Hi,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Hi,PartnershipPatient,Hi,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Hi,PartnershipPatient,Hi!,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Hi,PartnershipPatient,Hi,1.0
PartnershipPatient || SocioEmotionalBehaviour,PartnershipPatient,it's a controlled substance,SocioEmotionalBehaviour,it exhausts me,0.6905
CareCoordinationProvider || PartnershipPatient,PartnershipPatient,it's a controlled substance,CareCoordinationProvider,they didnt recieve it,0.6062
CareCoordinationPatient || PartnershipPatient,PartnershipPatient,I suppose,CareCoordinationPatient,Kroger was suppose to submit request,0.689
CareCoordinationPatient || PartnershipPatient,CareCoordinationPatient,Kroger was suppose to submit request,PartnershipPatient,I suppose,0.689
SDOH || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my stress level is super high right now,SDOH,I know the pollen is high right now,0.7712
PartnershipPatient || SocioEmotionalBehaviour,SocioEmotionalBehaviour,I am super embarrassed,PartnershipPatient,getting super winded,0.657
SDOH || SocioEmotionalBehaviour,SDOH,I know the pollen is high right now,SocioEmotionalBehaviour,my stress level is super high right now,0.7712
PartnershipPatient || SDOH,PartnershipPatient,injured my shoulder,SDOH,excuse my absences,1.0
PartnershipPatient || SDOH,PartnershipPatient,injured my shoulder,SDOH,my occupation is,0.6257
CareCoordinationPatient || PartnershipPatient,PartnershipPatient,have bruised ribs they said,CareCoordinationPatient,they said my Dr Person1,0.6283
CareCoordinationPatient || PartnershipPatient,PartnershipPatient,would like a recommendation,CareCoordinationPatient,I would like my neurologist,0.6363
