method,label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
sbert,PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → signoff,211,0.9108,1.0,1.0,0.604
sbert,PartnershipPatient → Clinical care,PartnershipPatient → activeParticipation/involvement,192,0.7117,0.7157,0.8658,0.6008
sbert,PartnershipPatient → Clinical care,PartnershipProvider → Clinical Care,147,0.7404,0.7147,0.9516,0.6015
sbert,PartnershipPatient → salutation,PartnershipProvider → salutation,137,0.977,1.0,1.0,0.6499
sbert,PartnershipPatient → signoff,PartnershipProvider → signoff,93,0.9292,1.0,1.0,0.6416
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipProvider → maintainCommunication,82,0.8011,0.7857,1.0,0.6031
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → expressOpinions,81,0.72,0.7039,1.0,0.6002
sbert,PartnershipPatient → Clinical care,SDOH → HealthCareAccessAndQuality,80,0.6689,0.6637,0.8153,0.605
sbert,PartnershipPatient → activeParticipation/involvement,PartnershipPatient → statePreferences,66,0.7128,0.6726,0.8878,0.6001
sbert,PartnershipPatient → Clinical care,SharedDecisionPatient → SeekingApproval,54,0.7039,0.6918,0.8794,0.6001
sbert,PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → SeekingApproval,40,0.6631,0.6482,0.7457,0.6039
sbert,PartnershipPatient → activeParticipation/involvement,SocioEmotionalBehaviour,37,0.6842,0.6865,0.8187,0.6148
sbert,PartnershipPatient → expressOpinions,SocioEmotionalBehaviour,36,0.6579,0.6612,0.7014,0.6005
sbert,CareCoordinationPatient,CareCoordinationProvider,33,0.6606,0.6498,0.7783,0.6009
sbert,PartnershipPatient → Clinical care,PartnershipPatient → statePreferences,29,0.6773,0.684,0.7423,0.6006
sbert,CareCoordinationPatient,SharedDecisionPatient → SeekingApproval,28,0.6902,0.7053,0.7731,0.6015
sbert,CareCoordinationPatient,PartnershipPatient → activeParticipation/involvement,28,0.6627,0.6508,0.7201,0.6127
sbert,PartnershipPatient → activeParticipation/involvement,SDOH → HealthCareAccessAndQuality,27,0.6762,0.6537,0.7803,0.6132
sbert,PartnershipPatient → Clinical care,SDOH → EconomicStability,26,0.6539,0.6323,0.7233,0.6067
