label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → signoff,211,0.9108,1.0,1.0,0.604
PartnershipPatient → Clinical care,PartnershipPatient → activeParticipation/involvement,192,0.7117,0.7157,0.8658,0.6008
PartnershipPatient → Clinical care,PartnershipProvider → Clinical Care,147,0.7404,0.7147,0.9516,0.6015
PartnershipPatient → salutation,PartnershipProvider → salutation,137,0.977,1.0,1.0,0.6499
PartnershipPatient → signoff,PartnershipProvider → signoff,93,0.9292,1.0,1.0,0.6416
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → maintainCommunication,82,0.8011,0.7857,1.0,0.6031
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → expressOpinions,81,0.72,0.7039,1.0,0.6002
PartnershipPatient → Clinical care,SDOH → HealthCareAccessAndQuality,80,0.6689,0.6637,0.8153,0.605
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → statePreferences,66,0.7128,0.6726,0.8878,0.6001
PartnershipPatient → Clinical care,SharedDecisionPatient → SeekingApproval,54,0.7039,0.6918,0.8794,0.6001
PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → SeekingApproval,40,0.6631,0.6482,0.7457,0.6039
PartnershipPatient → activeParticipation/involvement,SocioEmotionalBehaviour,37,0.6842,0.6865,0.8187,0.6148
PartnershipPatient → expressOpinions,SocioEmotionalBehaviour,36,0.6579,0.6612,0.7014,0.6005
CareCoordinationPatient,CareCoordinationProvider,33,0.6606,0.6498,0.7783,0.6009
PartnershipPatient → Clinical care,PartnershipPatient → statePreferences,29,0.6773,0.684,0.7423,0.6006
CareCoordinationPatient,SharedDecisionPatient → SeekingApproval,28,0.6902,0.7053,0.7731,0.6015
CareCoordinationPatient,PartnershipPatient → activeParticipation/involvement,28,0.6627,0.6508,0.7201,0.6127
PartnershipPatient → activeParticipation/involvement,SDOH → HealthCareAccessAndQuality,27,0.6762,0.6537,0.7803,0.6132
PartnershipPatient → Clinical care,SDOH → EconomicStability,26,0.6539,0.6323,0.7233,0.6067
CareCoordinationProvider,PartnershipPatient → activeParticipation/involvement,23,0.6442,0.6337,0.6996,0.6008
SDOH → EconomicStability,SDOH → HealthCareAccessAndQuality,22,0.6505,0.6408,0.7245,0.608
CareCoordinationPatient,PartnershipPatient → Clinical care,22,0.6758,0.6626,0.8055,0.6032
CareCoordinationProvider,PartnershipPatient → Clinical care,20,0.6676,0.666,0.7275,0.6117
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → inviteCollabration,19,0.7066,0.7537,0.8087,0.6074
CareCoordinationPatient,SDOH → HealthCareAccessAndQuality,17,0.6246,0.6232,0.6445,0.6015
SDOH → HealthCareAccessAndQuality,SharedDecisionPatient → SeekingApproval,17,0.7095,0.6722,0.8547,0.6449
PartnershipPatient → signoff,PartnershipProvider → Appreciation/Gratitude,14,0.9165,0.8539,1.0,0.8539
PartnershipPatient → connection,PartnershipProvider → connection,13,0.7387,0.7185,1.0,0.6417
CareCoordinationPatient,SharedDecisionPatient → ExploreOptions,13,0.6686,0.6524,0.7825,0.6085
CareCoordinationProvider,SharedDecisionPatient → SeekingApproval,13,0.659,0.6422,0.7691,0.6159
PartnershipPatient → Clinical care,SharedDecisionPatient → ExploreOptions,13,0.7067,0.6691,0.8068,0.6074
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → signoff,12,0.9476,1.0,1.0,0.8314
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → Clinical Care,10,0.6724,0.6351,0.7546,0.618
PartnershipPatient → Clinical care,PartnershipPatient → salutation,9,1.0,1.0,1.0,1.0
SDOH → EconomicStability,SDOH → NeighborhoodAndBuiltEnvironment,8,0.6515,0.6542,0.6844,0.6134
CareCoordinationProvider,SDOH → HealthCareAccessAndQuality,8,0.6512,0.6399,0.7231,0.6118
CareCoordinationProvider,PartnershipProvider → Clinical Care,8,0.6707,0.6707,0.6857,0.6558
PartnershipProvider → Clinical Care,SDOH → HealthCareAccessAndQuality,7,0.673,0.6818,0.7065,0.6387
PartnershipPatient → Clinical care,PartnershipPatient → expressOpinions,6,0.6925,0.6451,0.804,0.6285
PartnershipPatient → Clinical care,SocioEmotionalBehaviour,6,0.6374,0.6292,0.6625,0.6205
PartnershipPatient → expressOpinions,SDOH → NeighborhoodAndBuiltEnvironment,6,0.6557,0.6306,0.7249,0.6116
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → activeParticipation/involvement,6,0.6309,0.6424,0.6424,0.6078
PartnershipPatient → activeParticipation/involvement,SDOH → EconomicStability,6,0.6517,0.6329,0.6986,0.6237
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → connection,6,0.6459,0.6576,0.6608,0.6193
PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → ExploreOptions,6,0.6561,0.6274,0.7334,0.6009
PartnershipPatient → Clinical care,PartnershipPatient → connection,6,0.6353,0.6388,0.6429,0.624
SharedDecisionPatient → ExploreOptions,SharedDecisionPatient → SeekingApproval,5,0.6213,0.616,0.6404,0.6049
PartnershipPatient → statePreferences,SharedDecisionPatient → SeekingApproval,5,0.6533,0.6353,0.6997,0.6159
PartnershipPatient → expressOpinions,PartnershipPatient → statePreferences,5,0.6603,0.6424,0.7025,0.6118
CareCoordinationProvider,SharedDecisionPatient → ExploreOptions,4,0.6196,0.6196,0.6373,0.6018
SDOH → EconomicStability,SocioEmotionalBehaviour,4,0.6186,0.6186,0.632,0.6052
PartnershipProvider → Clinical Care,SharedDecisionPatient → SeekingApproval,4,0.6359,0.6359,0.6392,0.6326
PartnershipPatient → expressOpinions,SDOH → EconomicStability,4,0.7156,0.7156,0.755,0.6761
PartnershipPatient → Clinical care,PartnershipProvider → inviteCollabration,4,0.7264,0.7264,0.7356,0.7171
CareCoordinationPatient,SocioEmotionalBehaviour,4,0.6536,0.6536,0.6877,0.6195
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → checkingUnderstanding/clarification,4,0.7248,0.7248,0.7314,0.7182
CareCoordinationPatient,PartnershipProvider → maintainCommunication,4,0.6329,0.6329,0.6509,0.6149
PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → signoff,4,1.0,1.0,1.0,1.0
CareCoordinationPatient,PartnershipProvider → Clinical Care,3,0.6456,0.6491,0.6491,0.6388
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,3,0.9026,0.8539,1.0,0.8539
PartnershipPatient → alignment,PartnershipProvider → alignment,3,1.0,1.0,1.0,1.0
PartnershipPatient → expressOpinions,SDOH → HealthCareAccessAndQuality,2,0.6483,0.6483,0.6483,0.6483
PartnershipPatient → Clinical care,SDOH → SocialAndCommunityContext,2,0.6806,0.6806,0.6806,0.6806
PartnershipPatient → connection,SDOH → SocialAndCommunityContext,2,0.6591,0.6591,0.6591,0.6591
PartnershipPatient → Appreciation/Gratitude,SocioEmotionalBehaviour,2,0.6103,0.6103,0.6103,0.6103
CareCoordinationProvider,PartnershipPatient → statePreferences,2,0.6412,0.6412,0.6658,0.6167
SDOH → NeighborhoodAndBuiltEnvironment,SDOH → SocialAndCommunityContext,2,0.695,0.695,0.695,0.695
PartnershipProvider → inviteCollabration,SharedDecisionPatient → SeekingApproval,2,0.6463,0.6463,0.6463,0.6463
PartnershipProvider → maintainCommunication,SocioEmotionalBehaviour,2,0.7132,0.7132,0.7132,0.7132
PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,0.6588,0.6588,0.6588,0.6588
PartnershipPatient → statePreferences,SDOH → HealthCareAccessAndQuality,2,0.6393,0.6393,0.6772,0.6014
PartnershipPatient → Clinical care,PartnershipPatient → build trust,2,0.6176,0.6176,0.6176,0.6176
SDOH → EconomicStability,SharedDecisionPatient → ExploreOptions,2,0.6146,0.6146,0.6146,0.6146
PartnershipPatient → activeParticipation/involvement,SharedDecisionProvider → Approval/Reinforcement,2,0.6122,0.6122,0.6122,0.6122
CareCoordinationPatient,SDOH → EconomicStability,2,0.6267,0.6267,0.6267,0.6267
PartnershipPatient → activeParticipation/involvement,SDOH → SocialAndCommunityContext,2,0.6091,0.6091,0.6091,0.6091
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → connection,2,0.9472,0.9472,0.9472,0.9472
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → expressOpinions,2,0.6268,0.6268,0.6268,0.6268
SDOH → EconomicStability,SharedDecisionPatient → SeekingApproval,2,0.6161,0.6161,0.6161,0.6161
SharedDecisionProvider → Approval/Reinforcement,SocioEmotionalBehaviour,2,0.8002,0.8002,0.8002,0.8002
SharedDecisionPatient → ApprovalofDecision/Reinforcement,SharedDecisionProvider → Approval/Reinforcement,2,0.7259,0.7259,0.7259,0.7259
PartnershipProvider → Clinical Care,PartnershipProvider → inviteCollabration,2,0.6366,0.6366,0.6366,0.6366
PartnershipPatient → activeParticipation/involvement,SharedDecisionProvider → ShareOptions,2,0.6588,0.6588,0.6588,0.6588
CareCoordinationPatient,PartnershipProvider → inviteCollabration,2,0.684,0.684,0.684,0.684
SharedDecisionPatient → ExploreOptions,SharedDecisionProvider → ShareOptions,2,0.6168,0.6168,0.6168,0.6168
CareCoordinationPatient,PartnershipPatient → statePreferences,2,0.6867,0.6867,0.6867,0.6867
