method,label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
sbert,Appreciation/Gratitude,signoff,296,0.9236,1.0,1.0,0.604
sbert,Clinical care,activeParticipation/involvement,192,0.7117,0.7157,0.8658,0.6008
sbert,Clinical Care,Clinical care,147,0.7404,0.7147,0.9516,0.6015
sbert,activeParticipation/involvement,expressOpinions,88,0.7119,0.7039,1.0,0.6002
sbert,activeParticipation/involvement,maintainCommunication,83,0.7987,0.7857,1.0,0.6031
sbert,Clinical care,HealthCareAccessAndQuality,80,0.6689,0.6637,0.8153,0.605
sbert,activeParticipation/involvement,statePreferences,66,0.7128,0.6726,0.8878,0.6001
sbert,Clinical care,SeekingApproval,55,0.7024,0.6918,0.8794,0.6001
sbert,SeekingApproval,activeParticipation/involvement,40,0.6631,0.6482,0.7457,0.6039
sbert,Clinical care,statePreferences,29,0.6773,0.684,0.7423,0.6006
sbert,HealthCareAccessAndQuality,activeParticipation/involvement,29,0.6712,0.652,0.7803,0.6047
sbert,Clinical care,EconomicStability,26,0.6539,0.6323,0.7233,0.6067
sbert,Clinical care,salutation,23,0.9872,1.0,1.0,0.7045
sbert,EconomicStability,HealthCareAccessAndQuality,22,0.6505,0.6408,0.7245,0.608
sbert,activeParticipation/involvement,inviteCollabration,19,0.7066,0.7537,0.8087,0.6074
sbert,HealthCareAccessAndQuality,SeekingApproval,18,0.7049,0.6722,0.8547,0.6273
sbert,Clinical care,ExploreOptions,13,0.7067,0.6691,0.8068,0.6074
sbert,Clinical Care,activeParticipation/involvement,10,0.6724,0.6351,0.7546,0.618
sbert,EconomicStability,NeighborhoodAndBuiltEnvironment,8,0.6515,0.6542,0.6844,0.6134
sbert,activeParticipation/involvement,connection,8,0.7212,0.6592,0.9472,0.6193
sbert,Clinical Care,HealthCareAccessAndQuality,7,0.673,0.6818,0.7065,0.6387
sbert,Clinical care,expressOpinions,6,0.6925,0.6451,0.804,0.6285
sbert,NeighborhoodAndBuiltEnvironment,expressOpinions,6,0.6557,0.6306,0.7249,0.6116
sbert,Appreciation/Gratitude,activeParticipation/involvement,6,0.6309,0.6424,0.6424,0.6078
sbert,EconomicStability,activeParticipation/involvement,6,0.6517,0.6329,0.6986,0.6237
sbert,ExploreOptions,activeParticipation/involvement,6,0.6561,0.6274,0.7334,0.6009
sbert,Clinical care,connection,6,0.6353,0.6388,0.6429,0.624
sbert,ExploreOptions,SeekingApproval,5,0.6213,0.616,0.6404,0.6049
sbert,SeekingApproval,statePreferences,5,0.6533,0.6353,0.6997,0.6159
sbert,expressOpinions,statePreferences,5,0.6603,0.6424,0.7025,0.6118
sbert,Clinical Care,SeekingApproval,4,0.6359,0.6359,0.6392,0.6326
sbert,EconomicStability,expressOpinions,4,0.7156,0.7156,0.755,0.6761
sbert,Clinical care,inviteCollabration,4,0.7264,0.7264,0.7356,0.7171
sbert,activeParticipation/involvement,checkingUnderstanding/clarification,4,0.7248,0.7248,0.7314,0.7182
sbert,HealthCareAccessAndQuality,expressOpinions,2,0.6483,0.6483,0.6483,0.6483
sbert,Clinical care,SocialAndCommunityContext,2,0.6806,0.6806,0.6806,0.6806
sbert,SocialAndCommunityContext,connection,2,0.6591,0.6591,0.6591,0.6591
sbert,NeighborhoodAndBuiltEnvironment,SocialAndCommunityContext,2,0.695,0.695,0.695,0.695
sbert,SeekingApproval,inviteCollabration,2,0.6463,0.6463,0.6463,0.6463
sbert,ApprovalofDecision/Reinforcement,activeParticipation/involvement,2,0.6588,0.6588,0.6588,0.6588
sbert,HealthCareAccessAndQuality,statePreferences,2,0.6393,0.6393,0.6772,0.6014
sbert,Clinical care,build trust,2,0.6176,0.6176,0.6176,0.6176
sbert,EconomicStability,ExploreOptions,2,0.6146,0.6146,0.6146,0.6146
sbert,Approval/Reinforcement,activeParticipation/involvement,2,0.6122,0.6122,0.6122,0.6122
sbert,SocialAndCommunityContext,activeParticipation/involvement,2,0.6091,0.6091,0.6091,0.6091
sbert,Appreciation/Gratitude,expressOpinions,2,0.6268,0.6268,0.6268,0.6268
sbert,EconomicStability,SeekingApproval,2,0.6161,0.6161,0.6161,0.6161
sbert,Approval/Reinforcement,ApprovalofDecision/Reinforcement,2,0.7259,0.7259,0.7259,0.7259
sbert,Clinical Care,inviteCollabration,2,0.6366,0.6366,0.6366,0.6366
sbert,ShareOptions,activeParticipation/involvement,2,0.6588,0.6588,0.6588,0.6588
sbert,ExploreOptions,ShareOptions,2,0.6168,0.6168,0.6168,0.6168
sbert,ExploreOptions,maintainCommunication,2,0.6723,0.6723,0.6723,0.6723
sbert,Clinical Care,statePreferences,1,0.6457,0.6457,0.6457,0.6457
sbert,activeParticipation/involvement,requestsForOpinion,1,0.6049,0.6049,0.6049,0.6049
sbert,Clinical care,checkingUnderstanding/clarification,1,1.0,1.0,1.0,1.0
tfidf,Appreciation/Gratitude,signoff,274,0.9652,1.0,1.0,0.6052
tfidf,activeParticipation/involvement,maintainCommunication,52,0.8144,0.7724,1.0,0.6149
tfidf,Clinical care,activeParticipation/involvement,41,0.7035,0.7004,1.0,0.6001
tfidf,activeParticipation/involvement,statePreferences,32,0.7266,0.6837,0.9792,0.6007
tfidf,Clinical care,EconomicStability,24,0.7809,0.7655,1.0,0.6195
tfidf,Clinical care,HealthCareAccessAndQuality,21,0.701,0.6911,1.0,0.616
tfidf,Clinical care,SocialAndCommunityContext,20,0.7811,0.7347,1.0,0.6142
tfidf,Clinical Care,Clinical care,20,0.7068,0.6859,0.8236,0.626
tfidf,activeParticipation/involvement,expressOpinions,17,0.7556,0.7071,1.0,0.6487
tfidf,Clinical care,SeekingApproval,16,0.6948,0.6762,0.8273,0.6225
tfidf,EconomicStability,HealthCareAccessAndQuality,12,0.7026,0.7103,0.7709,0.6167
tfidf,SocialAndCommunityContext,activeParticipation/involvement,12,0.7912,0.7323,1.0,0.6278
tfidf,Clinical care,expressOpinions,10,0.7037,0.674,0.8229,0.6012
tfidf,Clinical care,salutation,10,1.0,1.0,1.0,1.0
tfidf,EconomicStability,activeParticipation/involvement,8,0.715,0.7174,0.7967,0.6286
tfidf,HealthCareAccessAndQuality,activeParticipation/involvement,8,0.6678,0.6461,0.7731,0.6059
tfidf,expressOpinions,statePreferences,7,0.7253,0.6934,1.0,0.6231
tfidf,SeekingApproval,activeParticipation/involvement,6,0.6754,0.6725,0.7412,0.6125
