label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
Appreciation/Gratitude,signoff,274,0.9652,1.0,1.0,0.6052
activeParticipation/involvement,maintainCommunication,52,0.8144,0.7724,1.0,0.6149
Clinical care,activeParticipation/involvement,41,0.7035,0.7004,1.0,0.6001
activeParticipation/involvement,statePreferences,32,0.7266,0.6837,0.9792,0.6007
Clinical care,EconomicStability,24,0.7809,0.7655,1.0,0.6195
Clinical care,HealthCareAccessAndQuality,21,0.701,0.6911,1.0,0.616
Clinical care,SocialAndCommunityContext,20,0.7811,0.7347,1.0,0.6142
Clinical Care,Clinical care,20,0.7068,0.6859,0.8236,0.626
activeParticipation/involvement,expressOpinions,17,0.7556,0.7071,1.0,0.6487
Clinical care,SeekingApproval,16,0.6948,0.6762,0.8273,0.6225
EconomicStability,HealthCareAccessAndQuality,12,0.7026,0.7103,0.7709,0.6167
SocialAndCommunityContext,activeParticipation/involvement,12,0.7912,0.7323,1.0,0.6278
Clinical care,expressOpinions,10,0.7037,0.674,0.8229,0.6012
Clinical care,salutation,10,1.0,1.0,1.0,1.0
EconomicStability,activeParticipation/involvement,8,0.715,0.7174,0.7967,0.6286
HealthCareAccessAndQuality,activeParticipation/involvement,8,0.6678,0.6461,0.7731,0.6059
expressOpinions,statePreferences,7,0.7253,0.6934,1.0,0.6231
SeekingApproval,activeParticipation/involvement,6,0.6754,0.6725,0.7412,0.6125
Clinical care,NeighborhoodAndBuiltEnvironment,6,0.6966,0.666,0.7779,0.6458
NeighborhoodAndBuiltEnvironment,SocialAndCommunityContext,6,0.6829,0.6362,0.7971,0.6154
HealthCareAccessAndQuality,NeighborhoodAndBuiltEnvironment,6,0.6312,0.622,0.6648,0.6069
Clinical care,statePreferences,5,0.7101,0.6421,1.0,0.6332
EconomicStability,checkingUnderstanding/clarification,4,0.6572,0.6572,0.6996,0.6148
EconomicStability,SocialAndCommunityContext,4,0.6468,0.6468,0.6468,0.6468
activeParticipation/involvement,inviteCollabration,4,0.7937,0.7937,0.9375,0.6499
Clinical care,ExploreOptions,4,0.6776,0.6776,0.702,0.6532
HealthCareAccessAndQuality,expressOpinions,4,0.6646,0.6646,0.6646,0.6645
activeParticipation/involvement,connection,3,0.7467,0.6201,1.0,0.6201
EconomicStability,NeighborhoodAndBuiltEnvironment,2,0.6585,0.6585,0.6585,0.6585
alignment,requestsForOpinion,2,0.6041,0.6041,0.6041,0.6041
SocialAndCommunityContext,signoff,2,0.6005,0.6005,0.6005,0.6005
NeighborhoodAndBuiltEnvironment,expressOpinions,2,0.644,0.644,0.644,0.644
Clinical care,alignment,2,0.6723,0.6723,0.6723,0.6723
ShareOptions,expressOpinions,2,0.6814,0.6814,0.6814,0.6814
activeParticipation/involvement,build trust,2,0.6029,0.6029,0.6029,0.6029
NeighborhoodAndBuiltEnvironment,activeParticipation/involvement,2,0.7003,0.7003,0.7003,0.7003
Appreciation/Gratitude,statePreferences,2,0.6278,0.6278,0.6278,0.6278
EconomicStability,connection,2,0.6859,0.6859,0.6859,0.6859
SocialAndCommunityContext,maintainCommunication,2,0.6104,0.6104,0.6104,0.6104
HealthCareAccessAndQuality,SeekingApproval,2,0.6971,0.6971,0.6971,0.6971
Appreciation/Gratitude,build trust,2,0.6085,0.6085,0.6085,0.6085
Clinical Care,SeekingApproval,2,0.7691,0.7691,0.7691,0.7691
alignment,expressOpinions,2,0.6031,0.6031,0.6031,0.6031
Appreciation/Gratitude,expressOpinions,2,0.6115,0.6115,0.6115,0.6115
ExploreOptions,HealthCareAccessAndQuality,2,0.7795,0.7795,0.7795,0.7795
EconomicStability,ExploreOptions,2,0.7406,0.7406,0.7406,0.7406
ExploreOptions,activeParticipation/involvement,2,0.6151,0.6151,0.6151,0.6151
connection,expressOpinions,2,0.6148,0.6148,0.6148,0.6148
NeighborhoodAndBuiltEnvironment,SeekingApproval,2,0.6825,0.6825,0.6825,0.6825
EconomicStability,statePreferences,2,0.7785,0.7785,0.7785,0.7785
activeParticipation/involvement,requestsForOpinion,2,0.6044,0.6044,0.6044,0.6044
maintainCommunication,statePreferences,2,0.648,0.648,0.648,0.648
SeekingApproval,SocialAndCommunityContext,2,0.741,0.741,0.741,0.741
activeParticipation/involvement,checkingUnderstanding/clarification,2,0.9396,0.9396,0.9396,0.9396
ApprovalofDecision/Reinforcement,inviteCollabration,2,0.7713,0.7713,0.7713,0.7713
Approval/Reinforcement,ApprovalofDecision/Reinforcement,2,0.6648,0.6648,0.6648,0.6648
Approval/Reinforcement,inviteCollabration,2,0.602,0.602,0.602,0.602
ShareOptions,inviteCollabration,2,0.7213,0.7213,0.7213,0.7213
NeighborhoodAndBuiltEnvironment,alignment,2,0.6675,0.6675,0.6675,0.6675
ExploreOptions,ShareOptions,2,0.6579,0.6579,0.6579,0.6579
Appreciation/Gratitude,HealthCareAccessAndQuality,2,0.6968,0.6968,0.6968,0.6968
Clinical care,checkingUnderstanding/clarification,1,1.0,1.0,1.0,1.0
