label,count
PartnershipPatient,660
Clinical care,317
SDOH,268
activeParticipation/involvement,183
HealthCareAccessAndQuality,123
EconomicStability,100
PartnershipProvider,61
Health Access,56
SocioEmotionalBehaviour,52
expressOpinions,52
CareCoordinationPatient,51
Employment Status,46
signoff,46
Insurance,40
SharedDecisionPatient,39
Appreciation/Gratitude,30
Financial Insecurity,29
Clinical Care,29
SeekingApproval,27
NeighborhoodAndBuiltEnvironment,26
CareCoordinationProvider,20
SocialAndCommunityContext,19
statePreferences,18
Work-related Challenges,15
Sleep,14
Social Support,14
build trust,12
ExploreOptions,11
Transportation,10
Income,10
connection,8
maintainCommunication,8
Geographic Location,8
inviteCollabration,6
SharedDecisionProvider,6
Diet,5
Substance Use/Abuse,4
checkingUnderstanding/clarification,4
ShareOptions,4
Weather,3
requestsForOpinion,3
salutation,3
Physical Activity,2
Lifestyle,2
Community Engagement,2
Neighborhood Safety,2
Social Isolation,2
alignment,2
Social Environment,1
Environmental Factors,1
Access to Services,1
Walkability and GreenSpaces,1
MakeDecision,1
Approval/Reinforcement,1
ApprovalofDecision/Reinforcement,1
