label,count
PartnershipPatient,249
Clinical care,91
activeParticipation/involvement,72
SDOH,67
signoff,41
HealthCareAccessAndQuality,29
EconomicStability,26
PartnershipProvider,23
Appreciation/Gratitude,20
SocioEmotionalBehaviour,17
Health Access,16
SharedDecisionPatient,16
SeekingApproval,11
Employment Status,11
Financial Insecurity,9
expressOpinions,8
statePreferences,8
connection,8
CareCoordinationPatient,8
Clinical Care,8
SocialAndCommunityContext,6
CareCoordinationProvider,6
NeighborhoodAndBuiltEnvironment,6
Work-related Challenges,5
ExploreOptions,5
build trust,5
maintainCommunication,5
Social Support,4
Substance Use/Abuse,4
Insurance,4
Geographic Location,4
Sleep,3
inviteCollabration,2
Physical Activity,1
Social Environment,1
Diet,1
Income,1
Access to Services,1
Transportation,1
salutation,1
Social Isolation,1
requestsForOpinion,1
SharedDecisionProvider,1
Approval/Reinforcement,1
checkingUnderstanding/clarification,1
alignment,1
