ID,Male,Female,Other_Gender,Female2,Hispanic,White,Black,Asian,Indian,Islander,Other_race,Other_race_TXT,Other_race_combined,White_monoracial,NonWhite,Marital,Single,Married,Div_Widow,Job,Job_34_TEXT,Job_codes,job_codes_condensed,Job_codes_condensed2,Specialty,Specialty_codes,Specialty_low,Specialty_moderate,Specialty_high,Specialty_other,Frontline_cat,Frontline_none,Frontline_indirect,Frontline_direct,Hospital_State,OE_upsetting,OE_positive,OE_other,Wave,State_num,Hosp_Cases
10001.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,26.0,,7.0,7.0,7.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,,A healthy man received elective surgery because of his connections with higher ups at the hospital. He later died a horrific death in the CTICU next to covid patients. It made me upset knowing had he just stayed home he would have still been alive.,More appreciation and recognition of the importance of anesthesia.,"I injured my hand and could not get surgery due to cancellations. Although surgeries are opening backup, I am scared to get surgery because I fear that the machines and or personnel are infected.",1.0,3.0,
10002.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,1.0,0.0,37.0,,7.0,7.0,7.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,,Hearing about all of the residents and physicians dying. Felt despair.,My family staying healthy in NYC. Relieved.,,1.0,3.0,4.0
10003.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,1.0,0.0,26.0,,7.0,7.0,7.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,,Communists and police state taking over and destroying my freedom and rights,Protests against the socialists trying to take over America,"Most of what we’re doing is stupid and is going to lead to massive problems when we open up soon. Second wave is inevitable, only people trying to assume dictatorial powers are trying to deny that",1.0,3.0,4.0
10004.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,,2.0,2.0,2.0,11.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,,"lack of effective, specific treatment for COVID-19, feeling helpless because of that","being able to apply my professional skills to make progress in designing ways to combat the disease, and work with enormously skillful and collaborative colleagues and staff",,1.0,3.0,4.0
10006.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,,2.0,2.0,2.0,11.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,,Children.not going to school,"More with my family, eat lot at home",No,1.0,3.0,4.0
10007.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,,2.0,2.0,2.0,11.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,,seeing residents feel abandoned and not cared for when we ran low /out of PPE,"feeling of teamwork, unity, purpose",i am glad you are studying the experience- mine as an ID person working more remotely likely very different than nursing and primary teams going in to rooms every day!,1.0,3.0,4.0
10008.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,1.0,0.0,26.0,,7.0,7.0,7.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,,"A code blue in the CCU where the patient was hemorrhaging from his mouth and nose. My attending and I weren’t able to intubate him because of the blood. The code team refused to stop chest compressions so we could have a better view. My shield and surgical mask fell into the field (I was still wearing an N95). ENT or trauma surgery is not currently responding to emergent surgical airway calls. After the code was called and the patient was pronounced dead I was covered in his blood. I had to rush back down to the OR because I got paged that a stroke code was coming in. The OR was busy the entire evening. I showered in the anesthesia showers (no soap, so I used chlorhexidine in my hair and on my body). No clean towels so I used paper towels. Shower is covered in grime and I didn’t have shower shoes - so I wore my home shoes in the shower. The following day I came home and cried. I then receive a phone call from a different attending in my department saying he would have done things differently, asked me why I didn’t attempt a surgical airway, and pimped me about the indications for a surgical airway. My first feeling was incompetence. I felt inadequate, ill equipped, unintelligent, and small. The best part was this attending didn’t call the attending I was with during the code to discuss management - he just called me. Not a single superior called me to make sure I was emotionally okay.","Appreciation for fresh air. My husband and I are both Anesthesia residents. We spend 12 hours straight under an N95 mask for six days straight. By the sixth day, when your body is sick of being hypercarbic, you just take tons of  NSAIDs to get through the day while battling the worst migraine of your life. The feeling of breathing fresh air is indescribable. Appreciation my family is safe and my husband is safe.",All anesthesia residents and attendings should be given a p100 mask. Wearing an old N95 every single day all day long is not healthy.,1.0,3.0,4.0
10009.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,,2.0,2.0,2.0,32.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,,"Overall I've seen a lot of resilience and people really being creative and motivated for change. Seeing the ED physician in NYC take her life was upsetting and makes me feel less secure about the future with colleagues having PTSD or resulting emotional challenges to work through. I worry we're not prepared as a country or health care system to be kind and care for these people who have been traumatized. The way NYC was pretty much left to fend for itself in such an under resourced fashion is also upsetting. 
The most upsetting things to me have been the US government response for our own preparedness but also our country's dismissive response to the global response of collaboration to the pandemic. Friends from around the world in large and small and low income/high income countries have been concerned about us. We should be leading and be an example. 
I also sense a tension in the academic sphere of people rushing to publish and study everything COVID which is important, but many of these people aren't front line workers. It seems exploitative or predatory, even within Yale. I'm also aware of some significant bullying of the academic side toward the front line clinicians at this time.",Seeing the creativity and team effort in so many spheres in the clinical setting and others in the community developing ways to help others.,,1.0,3.0,4.0
10010.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,,2.0,2.0,2.0,33.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,,,"young adult children home
I feel more secure having them in one place",,1.0,3.0,4.0
10011.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,,2.0,2.0,2.0,11.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,,reviewing written statements from people who are currently incarcerated about the conditions in prisons and jails during the COVID pandemic- and trying to respond with policy recommendations for the facility.,watching our section leadership rise to the challenge of the pandemic and demonstrate true creativity and compassion to problem-solve,I feel very proud to be part of this community.,1.0,3.0,4.0
