label,avg_cross_label_rate,n_items
Information-Giving_SDOH||Economic_stability,0.5833333333333334,18
Information-Giving_SDOH||Health_care_access_and_quality,0.5051440329218106,81
Information-Giving_SDOH||Neighborhood_and_built_environment,0.7142857142857143,7
Information-Giving||Care_Coordination,0.32589285714285715,168
Information-Giving||Diagnostics,0.4455974842767295,159
Information-Giving||Drugs,0.5222222222222221,141
Information-Giving||General_information,0.4864367816091954,145
Information-Giving||Prognosis,0.5,6
Information-Giving||Scheduling_appt,0.49027777777777776,120
Information-Giving||Symptoms,0.41955128205128206,104
Information-Giving||instruction,0.375,44
Information-Seeking_SDOH||Economic_stability,0.5714285714285714,7
Information-Seeking_SDOH||Health_care_access_and_quality,0.42105263157894735,19
Information-Seeking||Care_Coordination,0.5,8
Information-Seeking||Diagnostics,0.5695652173913043,46
Information-Seeking||Drugs,0.5494949494949495,33
Information-Seeking||General_information,0.5,17
Information-Seeking||Scheduling_appt,0.6727272727272727,33
Information-Seeking||Symptoms,0.6363636363636364,11
PATIENT_PARTNERSHIP||Alignment,0.4326241134751774,47
PATIENT_PARTNERSHIP||Appreciation/gratitude,0.6471380471380471,99
PATIENT_PARTNERSHIP||Connection,0.61,60
PATIENT_PARTNERSHIP||active_participation_/involvement,0.48675799086757987,146
PATIENT_PARTNERSHIP||build_trust,0.2,5
PATIENT_PARTNERSHIP||express_opinions,0.4807692307692308,52
PATIENT_PARTNERSHIP||salutation,0.6446927374301676,179
PATIENT_PARTNERSHIP||signoff,0.45897435897435895,156
PATIENT_PARTNERSHIP||state_preferences,0.46740740740740744,45
PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,0.8571428571428571,7
PATIENT_SHARED-DECISION_MAKING||Explore_options,0.2777777777777778,18
PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,0.4040229885057471,29
PROVIDER_PARTNERSHIP||Alignment,0.6995934959349593,41
PROVIDER_PARTNERSHIP||Appreciation/gratitude,0.8977272727272729,22
PROVIDER_PARTNERSHIP||Connection,0.6844444444444445,45
PROVIDER_PARTNERSHIP||Maintain_communication,0.44662162162162156,74
PROVIDER_PARTNERSHIP||build_trust,1.0,4
PROVIDER_PARTNERSHIP||checking_understanding/clarification,0.15,20
PROVIDER_PARTNERSHIP||invite_collaboration,0.6181818181818182,11
PROVIDER_PARTNERSHIP||salutation,0.23246753246753246,154
PROVIDER_PARTNERSHIP||signoff,0.5580645161290322,93
PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0.6296296296296295,18
PROVIDER_Shared-Decision_Making||Encourage_questions,1.0,2
PROVIDER_Shared-Decision_Making||Making_decision_together,0.46153846153846156,13
PROVIDER_Shared-Decision_Making||Share_options,0.38235294117647056,17
PROVIDER_Shared-Decision_Making||Summarize_and_confirm_understanding,0.07142857142857142,7
Socioemotional_/_Empathy||Acknowledge_Error,0.6635416666666667,16
Socioemotional_/_Empathy||Express_concern/unease,0.6266666666666666,25
Socioemotional_/_Empathy||Positive_Remarks/Reward,0.8333333333333334,6
Socioemotional_/_Empathy||Reassurance,0.6904761904761905,14
Socioemotional_/_Empathy||Sadness/fear,0.24000000000000005,10
