label,avg_cross_label_rate,n_items
Information-Giving_SDOH||Economic_stability,0.5148148148148147,18
Information-Giving_SDOH||Health_care_access_and_quality,0.5683127572016461,81
Information-Giving_SDOH||Neighborhood_and_built_environment,0.2857142857142857,7
Information-Giving||Care_Coordination,0.48035714285714287,168
Information-Giving||Diagnostics,0.4287211740041928,159
Information-Giving||Drugs,0.4612293144208038,141
Information-Giving||General_information,0.43540229885057474,145
Information-Giving||Prognosis,0.8194444444444443,6
Information-Giving||Scheduling_appt,0.5259722222222222,120
Information-Giving||Symptoms,0.2850961538461539,104
Information-Giving||instruction,0.6454545454545454,44
Information-Seeking_SDOH||Economic_stability,0.5714285714285714,7
Information-Seeking_SDOH||Health_care_access_and_quality,0.7368421052631579,19
Information-Seeking||Care_Coordination,0.875,8
Information-Seeking||Diagnostics,0.6554347826086957,46
Information-Seeking||Drugs,0.6212121212121212,33
Information-Seeking||General_information,0.7529411764705882,17
Information-Seeking||Scheduling_appt,0.609090909090909,33
Information-Seeking||Symptoms,0.6515151515151515,11
PATIENT_PARTNERSHIP||Alignment,0.4397163120567376,47
PATIENT_PARTNERSHIP||Appreciation/gratitude,0.6338383838383839,99
PATIENT_PARTNERSHIP||Connection,0.445,60
PATIENT_PARTNERSHIP||active_participation_/involvement,0.6639269406392694,146
PATIENT_PARTNERSHIP||build_trust,0.6,5
PATIENT_PARTNERSHIP||express_opinions,0.5830128205128206,52
PATIENT_PARTNERSHIP||salutation,0.6681564245810057,179
PATIENT_PARTNERSHIP||signoff,0.5282051282051282,156
PATIENT_PARTNERSHIP||state_preferences,0.6148148148148148,45
PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,0.5714285714285714,7
PATIENT_SHARED-DECISION_MAKING||Explore_options,0.7777777777777778,18
PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,0.743103448275862,29
PROVIDER_PARTNERSHIP||Alignment,0.45691056910569106,41
PROVIDER_PARTNERSHIP||Appreciation/gratitude,0.7696969696969697,22
PROVIDER_PARTNERSHIP||Connection,0.6111111111111112,45
PROVIDER_PARTNERSHIP||Maintain_communication,0.5421171171171171,74
PROVIDER_PARTNERSHIP||build_trust,0.0,4
PROVIDER_PARTNERSHIP||checking_understanding/clarification,0.7233333333333334,20
PROVIDER_PARTNERSHIP||invite_collaboration,0.7272727272727273,11
PROVIDER_PARTNERSHIP||salutation,0.2545454545454546,154
PROVIDER_PARTNERSHIP||signoff,0.46666666666666673,93
PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0.6555555555555556,18
PROVIDER_Shared-Decision_Making||Encourage_questions,1.0,2
PROVIDER_Shared-Decision_Making||Making_decision_together,0.6153846153846154,13
PROVIDER_Shared-Decision_Making||Share_options,0.7254901960784313,17
PROVIDER_Shared-Decision_Making||Summarize_and_confirm_understanding,0.3523809523809524,7
Socioemotional_/_Empathy||Acknowledge_Error,0.31666666666666665,16
Socioemotional_/_Empathy||Express_concern/unease,0.4453333333333333,25
Socioemotional_/_Empathy||Positive_Remarks/Reward,0.41111111111111115,6
Socioemotional_/_Empathy||Reassurance,0.6904761904761905,14
Socioemotional_/_Empathy||Sadness/fear,0.37166666666666665,10
