anchor_text,anchor_label,neighbor_text,neighbor_label,similarity
be happy to,Connection,If not our manager is Gean Brown and she'd be happy to assist,Care_Coordination,0.5779799013598403
Thank you,signoff,Thank you,Appreciation/gratitude,1.0000000000000002
this was faxed,Care_Coordination,This was either Dec. or Jan,Diagnostics,0.5871786512620115
Take care,Connection,Take care,signoff,1.0
Take care,Connection,Take care,signoff,1.0
Take care,Connection,Take care,signoff,1.0
This should ok,Approval/Reinforcement,OK,Alignment,0.6377375564891694
This should ok,Approval/Reinforcement,Ok,Alignment,0.6377375564891694
This should ok,Approval/Reinforcement,Ok,Alignment,0.6377375564891694
This should ok,Approval/Reinforcement,Ok,Alignment,0.6377375564891694
This should ok,Approval/Reinforcement,OK,Alignment,0.6377375564891694
Thank you,Appreciation/gratitude,Thank You,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
"OOPS , sorry - my typo",Acknowledge_Error,Sorry,Connection,0.8665291005028808
"OOPS , sorry - my typo",Acknowledge_Error,I'm sorry,Sadness/fear,0.8665291005028808
take care of these prescriptions,Drugs,Take care,Connection,0.6254304276223819
take care of these prescriptions,Drugs,Take care,Connection,0.6254304276223819
take care of these prescriptions,Drugs,Take care,signoff,0.6254304276223819
take care of these prescriptions,Drugs,Take care,signoff,0.6254304276223819
take care of these prescriptions,Drugs,Take care,signoff,0.6254304276223819
I'll let you know as soon as that is completed,active_participation_/involvement,I will let you know as soon as he answers me,Maintain_communication,0.6604406105991842
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Drugs,MM/DD/YYYY after 230pm,state_preferences,0.5870041812594937
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Drugs,Happy MM/DD/YYYY!,Connection,0.5767740468566072
"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Drugs,I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,Diagnostics,0.5524894870095117
Thanks a ton,Appreciation/gratitude,Thanks,signoff,1.0
Thanks a ton,Appreciation/gratitude,Thanks,signoff,1.0
Thank you,Appreciation/gratitude,thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,thank you,signoff,1.0000000000000002
Thank you very much,signoff,Thank you very much,Appreciation/gratitude,1.0
I see Dr  Person1 on,Scheduling_appt,Do i need blood work before I see dr Person1 on MM/DD/YYYY?,Diagnostics,0.5676394118884264
I hope that helps,Connection,Hope this helps,Reassurance,0.5991916930726237
", let me know if you have any other questions or concerns",Encourage_questions,Let me know if you have any other questions,Maintain_communication,0.845278195727146
", let me know if you have any other questions or concerns",Encourage_questions,let me know if you have any issues !,Maintain_communication,0.5825137106060169
Thanks,Appreciation/gratitude,Thanks,signoff,1.0
Thanks,Appreciation/gratitude,Thanks,signoff,1.0
I am all set,General_information,All set for MM/DD/YYYY,Scheduling_appt,0.5647279495939816
have a good day,Connection,Have a good day.,signoff,1.0000000000000002
I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,Diagnostics,MM/DD/YYYY after 230pm,state_preferences,0.6079430855950206
I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,Diagnostics,Happy MM/DD/YYYY!,Connection,0.5973480341907899
I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,Diagnostics,Can i change my MM/DD/YYYY appointment to the MM/DD/YYYY,Scheduling_appt,0.5555609131926138
I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,Diagnostics,"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Drugs,0.5524894870095117
", I am checking with Dr. Person2 on the vaccine",Health_care_access_and_quality,The schedulers were checking with Dr Person2 on MM/DD/YYYY,Care_Coordination,0.6173776573234404
Thank you,Appreciation/gratitude,thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,thank you,signoff,1.0000000000000002
am a little nervous now,Express_concern/unease,I am a little bruised,Symptoms,0.9132881934087349
My youngest son has MS,General_information,My pleasure!,Connection,0.5728796168344003
My youngest son has MS,General_information,my friends,Connection,0.5728796168344003
Thanks,signoff,Thanks,Appreciation/gratitude,1.0
Thanks,signoff,Thanks,Appreciation/gratitude,1.0
Thanks,signoff,thanks,Appreciation/gratitude,1.0
"It should be safe, hospital is taking every precaution to keep the environment safe,",Reassurance,Be safe,Connection,0.587418723022154
Thank you!,Appreciation/gratitude,thank you,signoff,1.0000000000000002
Thank you!,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you!,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you!,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you!,Appreciation/gratitude,thank you,signoff,1.0000000000000002
agree that the CA27.29 has been a very good marker for you,Approval/Reinforcement,agree that the CA27.29 has been a very good marker for you,Diagnostics,1.0000000000000004
Take care,Connection,Take care,signoff,1.0
Take care,Connection,Take care,signoff,1.0
Take care,Connection,Take care,signoff,1.0
I thought we were doing the CA 27 Dash 29 that I have always had done but no results have come in for that,General_information,I thought we were doing the CA 27 Dash 29 that I have always had done but no results have come in for that,Diagnostics,1.0000000000000002
Thank you,Appreciation/gratitude,thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002
Thank you,Appreciation/gratitude,thank you,signoff,1.0000000000000002
agree that the CA27.29 has been a very good marker for you,Diagnostics,agree that the CA27.29 has been a very good marker for you,Approval/Reinforcement,1.0000000000000004
Take care,Connection,Take care,signoff,1.0
Take care,Connection,Take care,signoff,1.0
Take care,Connection,Take care,signoff,1.0
I thought we were doing the CA 27 Dash 29 that I have always had done but no results have come in for that,Diagnostics,I thought we were doing the CA 27 Dash 29 that I have always had done but no results have come in for that,General_information,1.0000000000000002
Thanks,signoff,Thanks,Appreciation/gratitude,1.0
Thanks,signoff,Thanks,Appreciation/gratitude,1.0
Thanks,signoff,thanks,Appreciation/gratitude,1.0
Thanks,signoff,Thanks,Appreciation/gratitude,1.0
Thanks,signoff,Thanks,Appreciation/gratitude,1.0
Thanks,signoff,thanks,Appreciation/gratitude,1.0
I believe it should be 9am,Scheduling_appt,Should I be?,Seeking_Approval,0.6165250772401576
Best to you,signoff,Best to you,Connection,1.0000000000000002
"I hope so because I feel great; sleeping well, eating (too) well",Symptoms,i Eating and sleeping well,Health_care_access_and_quality,0.6585068765308256
"I hope so because I feel great; sleeping well, eating (too) well",Symptoms,Sleeping well,Health_care_access_and_quality,0.5987080708637997
Have a good day.,signoff,have a good day,Connection,1.0000000000000002
Have a nice day!,signoff,Have a nice weekend,Connection,0.6635322678466244
Have a nice day!,signoff,Have a nice weekend,Connection,0.6635322678466244
Much appreciated!,Appreciation/gratitude,Much appreciated,signoff,1.0000000000000002
Sleeping well,Health_care_access_and_quality,"I hope so because I feel great; sleeping well, eating (too) well",Symptoms,0.5987080708637997
Best to you,signoff,Best to you,Connection,1.0000000000000002
Thanks,signoff,Thanks,Appreciation/gratitude,1.0
Thanks,signoff,Thanks,Appreciation/gratitude,1.0
Thanks,signoff,thanks,Appreciation/gratitude,1.0
Dear,salutation,My Dear Oncology Team,Connection,0.594548536489458
Please let me know about blood work,Diagnostics,Please let me know,active_participation_/involvement,0.6367177374683866
Please let me know about blood work,Diagnostics,Please let me know,active_participation_/involvement,0.6367177374683866
Please let me know about blood work,Diagnostics,Please let me know!!,active_participation_/involvement,0.6367177374683866
Please let me know about blood work,Diagnostics,Please let me know,active_participation_/involvement,0.6367177374683866
Please let me know about blood work,Diagnostics,Please let me know,active_participation_/involvement,0.6367177374683866
Please let me know about blood work,Diagnostics,Please let me know,active_participation_/involvement,0.6367177374683866
Please let me know about blood work,Diagnostics,Please let me know!!,active_participation_/involvement,0.6367177374683866
Please let me know about blood work,Diagnostics,Please let me know,active_participation_/involvement,0.6367177374683866
Than LOCATION so much,signoff,Person2Thanks so much!!,Appreciation/gratitude,0.5934891843564205
