label_A,label_B,count_lsa,avg_sim_lsa,n_A_lsa,n_B_lsa,ratio_A_lsa,ratio_B_lsa,count_sbert,avg_sim_sbert,n_A_sbert,n_B_sbert,ratio_A_sbert,ratio_B_sbert,count_tfidf,avg_sim_tfidf,n_A_tfidf,n_B_tfidf,ratio_A_tfidf,ratio_B_tfidf,count_sum_all_methods
Information-Giving,Information-Giving_SDOH,149,0.651,887,106,0.168,1.4057,250,0.6475,887,106,0.2818,2.3585,10.0,0.6448,887.0,106.0,0.0113,0.0943,409.0
Information-Giving,Information-Seeking,201,0.6557,887,148,0.2266,1.3581,428,0.6742,887,148,0.4825,2.8919,18.0,0.6057,887.0,148.0,0.0203,0.1216,647.0
Information-Giving,Information-Seeking_SDOH,18,0.6374,887,26,0.0203,0.6923,44,0.6395,887,26,0.0496,1.6923,,,,,,,62.0
Information-Giving,PATIENT_PARTNERSHIP,292,0.6588,887,789,0.3292,0.3701,631,0.6421,887,789,0.7114,0.7997,52.0,0.6673,887.0,789.0,0.0586,0.0659,975.0
Information-Giving,PATIENT_SHARED-DECISION_MAKING,32,0.6124,887,54,0.0361,0.5926,92,0.6293,887,54,0.1037,1.7037,4.0,0.596,887.0,54.0,0.0045,0.0741,128.0
Information-Giving,PROVIDER_PARTNERSHIP,155,0.6591,887,464,0.1747,0.3341,234,0.6595,887,464,0.2638,0.5043,37.0,0.6911,887.0,464.0,0.0417,0.0797,426.0
Information-Giving,PROVIDER_Shared-Decision_Making,69,0.6622,887,57,0.0778,1.2105,121,0.6633,887,57,0.1364,2.1228,6.0,0.7738,887.0,57.0,0.0068,0.1053,196.0
Information-Giving,Socioemotional_/_Empathy,59,0.6627,887,71,0.0665,0.831,62,0.6105,887,71,0.0699,0.8732,10.0,0.7621,887.0,71.0,0.0113,0.1408,131.0
Information-Giving_SDOH,Information-Seeking,19,0.6513,106,148,0.1792,0.1284,29,0.6682,106,148,0.2736,0.1959,2.0,0.557,106.0,148.0,0.0189,0.0135,50.0
Information-Giving_SDOH,Information-Seeking_SDOH,18,0.6506,106,26,0.1698,0.6923,43,0.6279,106,26,0.4057,1.6538,2.0,0.6228,106.0,26.0,0.0189,0.0769,63.0
Information-Giving_SDOH,PATIENT_PARTNERSHIP,26,0.6105,106,789,0.2453,0.033,47,0.6298,106,789,0.4434,0.0596,3.0,0.5729,106.0,789.0,0.0283,0.0038,76.0
Information-Giving_SDOH,PATIENT_SHARED-DECISION_MAKING,7,0.6157,106,54,0.066,0.1296,6,0.6445,106,54,0.0566,0.1111,,,,,,,13.0
Information-Giving_SDOH,PROVIDER_PARTNERSHIP,10,0.6926,106,464,0.0943,0.0216,19,0.6778,106,464,0.1792,0.0409,,,,,,,29.0
Information-Giving_SDOH,PROVIDER_Shared-Decision_Making,4,0.6304,106,57,0.0377,0.0702,3,0.6695,106,57,0.0283,0.0526,,,,,,,7.0
Information-Giving_SDOH,Socioemotional_/_Empathy,2,0.6289,106,71,0.0189,0.0282,1,0.6545,106,71,0.0094,0.0141,,,,,,,3.0
Information-Seeking,Information-Seeking_SDOH,2,0.6526,148,26,0.0135,0.0769,4,0.683,148,26,0.027,0.1538,,,,,,,6.0
Information-Seeking,PATIENT_PARTNERSHIP,114,0.6655,148,789,0.7703,0.1445,126,0.6526,148,789,0.8514,0.1597,22.0,0.6727,148.0,789.0,0.1486,0.0279,262.0
Information-Seeking,PATIENT_SHARED-DECISION_MAKING,8,0.6238,148,54,0.0541,0.1481,29,0.6507,148,54,0.1959,0.537,,,,,,,37.0
Information-Seeking,PROVIDER_PARTNERSHIP,13,0.6386,148,464,0.0878,0.028,36,0.6243,148,464,0.2432,0.0776,2.0,0.5564,148.0,464.0,0.0135,0.0043,51.0
Information-Seeking,PROVIDER_Shared-Decision_Making,6,0.7126,148,57,0.0405,0.1053,30,0.6711,148,57,0.2027,0.5263,2.0,0.7847,148.0,57.0,0.0135,0.0351,38.0
Information-Seeking,Socioemotional_/_Empathy,12,0.6503,148,71,0.0811,0.169,5,0.6154,148,71,0.0338,0.0704,2.0,0.6308,148.0,71.0,0.0135,0.0282,19.0
Information-Seeking_SDOH,PATIENT_PARTNERSHIP,6,0.5988,26,789,0.2308,0.0076,12,0.6439,26,789,0.4615,0.0152,,,,,,,18.0
Information-Seeking_SDOH,PROVIDER_PARTNERSHIP,2,0.6419,26,464,0.0769,0.0043,7,0.6485,26,464,0.2692,0.0151,,,,,,,9.0
PATIENT_PARTNERSHIP,PATIENT_SHARED-DECISION_MAKING,14,0.6336,789,54,0.0177,0.2593,48,0.6274,789,54,0.0608,0.8889,9.0,0.6278,789.0,54.0,0.0114,0.1667,71.0
PATIENT_PARTNERSHIP,PROVIDER_PARTNERSHIP,1690,0.95,789,464,2.142,3.6422,1873,0.9367,789,464,2.3739,4.0366,1616.0,0.9697,789.0,464.0,2.0482,3.4828,5179.0
PATIENT_PARTNERSHIP,PROVIDER_Shared-Decision_Making,16,0.7262,789,57,0.0203,0.2807,33,0.6758,789,57,0.0418,0.5789,2.0,1.0,789.0,57.0,0.0025,0.0351,51.0
PATIENT_PARTNERSHIP,Socioemotional_/_Empathy,55,0.6632,789,71,0.0697,0.7746,27,0.6072,789,71,0.0342,0.3803,6.0,0.6122,789.0,71.0,0.0076,0.0845,88.0
PATIENT_SHARED-DECISION_MAKING,PROVIDER_PARTNERSHIP,16,0.6723,54,464,0.2963,0.0345,8,0.682,54,464,0.1481,0.0172,4.0,0.6276,54.0,464.0,0.0741,0.0086,28.0
PATIENT_SHARED-DECISION_MAKING,PROVIDER_Shared-Decision_Making,3,0.6463,54,57,0.0556,0.0526,32,0.6798,54,57,0.5926,0.5614,,,,,,,35.0
PATIENT_SHARED-DECISION_MAKING,Socioemotional_/_Empathy,8,0.7455,54,71,0.1481,0.1127,7,0.6591,54,71,0.1296,0.0986,2.0,1.0,54.0,71.0,0.037,0.0282,17.0
