anchor_text,anchor_label,neighbor_text,neighbor_label,similarity,method,level,pair_key,example_hash
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
Hi,PATIENT_PARTNERSHIP,Hi,PROVIDER_PARTNERSHIP,1.0,lsa,code,PATIENT_PARTNERSHIP :: PROVIDER_PARTNERSHIP,01521959655193bdf14757178df2ee1eda5bb531
