pair_key,lsa,sbert,tfidf,total_all_methods
Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Care_Coordination,0,3,1,4
Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Diagnostics,1,1,0,2
Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Drugs,2,0,0,2
Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Scheduling_appt,0,1,0,1
Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Symptoms,0,0,1,1
Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||instruction,0,2,0,2
Information-Giving_SDOH||Health_care_access_and_quality :: Information-Seeking_SDOH||Health_care_access_and_quality,1,1,0,2
Information-Giving_SDOH||Health_care_access_and_quality :: Information-Seeking||Drugs,0,1,0,1
Information-Giving_SDOH||Health_care_access_and_quality :: Information-Seeking||Scheduling_appt,1,1,0,2
Information-Giving_SDOH||Health_care_access_and_quality :: PATIENT_PARTNERSHIP||active_participation_/involvement,0,3,0,3
Information-Giving_SDOH||Health_care_access_and_quality :: PATIENT_SHARED-DECISION_MAKING||Explore_options,1,1,0,2
Information-Giving_SDOH||Health_care_access_and_quality :: PROVIDER_PARTNERSHIP||Maintain_communication,1,0,0,1
Information-Giving_SDOH||Neighborhood_and_built_environment :: Information-Giving||Diagnostics,1,0,0,1
Information-Giving_SDOH||Neighborhood_and_built_environment :: Information-Giving||General_information,1,0,0,1
Information-Giving_SDOH||Neighborhood_and_built_environment :: PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,1,0,0,1
Information-Giving||Care_Coordination :: Information-Giving||Diagnostics,3,0,1,4
Information-Giving||Care_Coordination :: Information-Giving||Drugs,4,0,0,4
Information-Giving||Care_Coordination :: Information-Giving||General_information,0,2,0,2
Information-Giving||Care_Coordination :: Information-Giving||Scheduling_appt,0,1,0,1
Information-Giving||Care_Coordination :: Information-Seeking||Drugs,0,1,0,1
Information-Giving||Care_Coordination :: PATIENT_PARTNERSHIP||active_participation_/involvement,0,4,0,4
Information-Giving||Care_Coordination :: PATIENT_PARTNERSHIP||express_opinions,0,1,0,1
Information-Giving||Diagnostics :: Information-Giving||Care_Coordination,0,2,0,2
Information-Giving||Diagnostics :: Information-Giving||Drugs,1,0,1,2
Information-Giving||Diagnostics :: Information-Giving||General_information,2,0,1,3
Information-Giving||Diagnostics :: Information-Giving||Scheduling_appt,0,2,0,2
Information-Giving||Diagnostics :: Information-Seeking||Diagnostics,0,1,0,1
Information-Giving||Diagnostics :: Information-Seeking||Scheduling_appt,0,0,1,1
Information-Giving||Diagnostics :: PATIENT_PARTNERSHIP||Connection,0,0,1,1
Information-Giving||Diagnostics :: PATIENT_PARTNERSHIP||active_participation_/involvement,0,1,0,1
Information-Giving||Diagnostics :: PATIENT_PARTNERSHIP||state_preferences,0,0,1,1
Information-Giving||Diagnostics :: PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0,0,1,1
Information-Giving||Drugs :: Information-Giving_SDOH||Economic_stability,1,1,0,2
Information-Giving||Drugs :: Information-Giving_SDOH||Health_care_access_and_quality,0,1,0,1
Information-Giving||Drugs :: Information-Giving||Care_Coordination,3,9,0,12
Information-Giving||Drugs :: Information-Giving||Diagnostics,5,0,1,6
Information-Giving||Drugs :: Information-Giving||General_information,4,1,0,5
Information-Giving||Drugs :: Information-Giving||Symptoms,3,1,0,4
Information-Giving||Drugs :: Information-Giving||instruction,0,2,0,2
Information-Giving||Drugs :: Information-Seeking||Drugs,0,4,1,5
Information-Giving||Drugs :: Information-Seeking||Scheduling_appt,2,1,0,3
Information-Giving||Drugs :: PATIENT_PARTNERSHIP||Alignment,0,1,0,1
Information-Giving||Drugs :: PATIENT_PARTNERSHIP||Connection,0,0,1,1
Information-Giving||Drugs :: PATIENT_PARTNERSHIP||active_participation_/involvement,0,6,0,6
Information-Giving||Drugs :: PATIENT_PARTNERSHIP||express_opinions,1,1,0,2
Information-Giving||Drugs :: PATIENT_PARTNERSHIP||signoff,1,0,1,2
Information-Giving||Drugs :: PATIENT_PARTNERSHIP||state_preferences,1,0,1,2
Information-Giving||Drugs :: PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,0,1,0,1
Information-Giving||Drugs :: PROVIDER_PARTNERSHIP||Alignment,1,0,0,1
Information-Giving||Drugs :: PROVIDER_PARTNERSHIP||Connection,2,0,2,4
Information-Giving||Drugs :: PROVIDER_PARTNERSHIP||Maintain_communication,1,4,0,5
Information-Giving||Drugs :: PROVIDER_PARTNERSHIP||invite_collaboration,0,1,0,1
Information-Giving||Drugs :: PROVIDER_PARTNERSHIP||signoff,2,0,2,4
Information-Giving||Drugs :: PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0,2,0,2
Information-Giving||General_information :: Information-Giving_SDOH||Economic_stability,1,0,0,1
Information-Giving||General_information :: Information-Giving_SDOH||Health_care_access_and_quality,1,1,0,2
Information-Giving||General_information :: Information-Giving||Diagnostics,2,0,1,3
Information-Giving||General_information :: Information-Giving||Drugs,2,0,0,2
Information-Giving||General_information :: Information-Giving||Scheduling_appt,1,3,1,5
Information-Giving||General_information :: Information-Giving||Symptoms,1,0,0,1
Information-Giving||General_information :: Information-Giving||instruction,0,3,0,3
Information-Giving||General_information :: Information-Seeking||Drugs,1,0,0,1
Information-Giving||General_information :: Information-Seeking||Scheduling_appt,1,0,0,1
Information-Giving||General_information :: PATIENT_PARTNERSHIP||Alignment,0,1,0,1
Information-Giving||General_information :: PATIENT_PARTNERSHIP||Connection,0,2,1,3
Information-Giving||General_information :: PATIENT_PARTNERSHIP||active_participation_/involvement,1,1,0,2
Information-Giving||General_information :: PATIENT_PARTNERSHIP||state_preferences,3,0,0,3
Information-Giving||General_information :: PROVIDER_PARTNERSHIP||Connection,0,0,1,1
Information-Giving||General_information :: PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0,1,0,1
Information-Giving||General_information :: Socioemotional_/_Empathy||Acknowledge_Error,0,1,0,1
Information-Giving||Scheduling_appt :: Information-Giving_SDOH||Economic_stability,0,2,0,2
Information-Giving||Scheduling_appt :: Information-Giving_SDOH||Health_care_access_and_quality,2,1,0,3
Information-Giving||Scheduling_appt :: Information-Giving||Care_Coordination,2,6,0,8
Information-Giving||Scheduling_appt :: Information-Giving||Diagnostics,2,4,0,6
Information-Giving||Scheduling_appt :: Information-Giving||Drugs,5,2,0,7
Information-Giving||Scheduling_appt :: Information-Giving||General_information,4,4,0,8
Information-Giving||Scheduling_appt :: Information-Giving||Symptoms,3,0,0,3
Information-Giving||Scheduling_appt :: Information-Giving||instruction,0,2,0,2
Information-Giving||Scheduling_appt :: Information-Seeking||Diagnostics,1,0,1,2
Information-Giving||Scheduling_appt :: Information-Seeking||Drugs,0,1,0,1
Information-Giving||Scheduling_appt :: Information-Seeking||Scheduling_appt,1,0,0,1
Information-Giving||Scheduling_appt :: PATIENT_PARTNERSHIP||Alignment,0,2,0,2
Information-Giving||Scheduling_appt :: PATIENT_PARTNERSHIP||Connection,1,0,0,1
Information-Giving||Scheduling_appt :: PATIENT_PARTNERSHIP||active_participation_/involvement,0,3,0,3
Information-Giving||Scheduling_appt :: PATIENT_PARTNERSHIP||state_preferences,2,1,0,3
Information-Giving||Scheduling_appt :: PATIENT_SHARED-DECISION_MAKING||Explore_options,0,1,0,1
Information-Giving||Scheduling_appt :: PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,0,0,1,1
Information-Giving||Scheduling_appt :: PROVIDER_PARTNERSHIP||Alignment,0,1,0,1
Information-Giving||Scheduling_appt :: PROVIDER_PARTNERSHIP||Maintain_communication,0,1,0,1
Information-Giving||Scheduling_appt :: PROVIDER_PARTNERSHIP||invite_collaboration,0,1,0,1
Information-Giving||Scheduling_appt :: PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0,3,0,3
Information-Giving||Symptoms :: Information-Giving_SDOH||Health_care_access_and_quality,0,0,2,2
Information-Giving||Symptoms :: Information-Giving||Diagnostics,2,0,0,2
Information-Giving||Symptoms :: Information-Giving||Drugs,3,0,0,3
Information-Giving||Symptoms :: Information-Giving||General_information,2,0,0,2
Information-Giving||Symptoms :: Information-Giving||Scheduling_appt,1,0,0,1
Information-Giving||Symptoms :: Information-Seeking||Care_Coordination,0,1,0,1
Information-Giving||Symptoms :: Information-Seeking||Scheduling_appt,1,0,0,1
Information-Giving||Symptoms :: Information-Seeking||Symptoms,0,1,0,1
Information-Giving||Symptoms :: PATIENT_PARTNERSHIP||active_participation_/involvement,0,2,0,2
Information-Giving||Symptoms :: PATIENT_PARTNERSHIP||express_opinions,1,0,0,1
Information-Giving||Symptoms :: PATIENT_PARTNERSHIP||state_preferences,2,0,0,2
Information-Giving||Symptoms :: Socioemotional_/_Empathy||Express_concern/unease,1,0,0,1
Information-Giving||instruction :: Information-Giving||Care_Coordination,2,1,0,3
Information-Giving||instruction :: Information-Giving||General_information,0,1,0,1
Information-Giving||instruction :: PATIENT_PARTNERSHIP||active_participation_/involvement,1,0,0,1
Information-Giving||instruction :: PROVIDER_PARTNERSHIP||Maintain_communication,0,1,0,1
Information-Giving||instruction :: PROVIDER_PARTNERSHIP||invite_collaboration,1,0,0,1
Information-Seeking||Diagnostics :: Information-Giving||Diagnostics,1,0,0,1
Information-Seeking||Diagnostics :: PATIENT_PARTNERSHIP||active_participation_/involvement,0,0,3,3
Information-Seeking||Drugs :: Information-Giving||Care_Coordination,0,1,0,1
Information-Seeking||Drugs :: Information-Giving||Drugs,0,5,0,5
Information-Seeking||Drugs :: Information-Giving||General_information,1,0,0,1
Information-Seeking||Drugs :: Information-Giving||Scheduling_appt,0,1,0,1
Information-Seeking||Drugs :: Information-Seeking||Diagnostics,0,1,0,1
Information-Seeking||Drugs :: PATIENT_PARTNERSHIP||active_participation_/involvement,0,1,0,1
Information-Seeking||Drugs :: PATIENT_PARTNERSHIP||state_preferences,4,0,0,4
Information-Seeking||Drugs :: PROVIDER_PARTNERSHIP||Maintain_communication,0,1,0,1
Information-Seeking||Drugs :: PROVIDER_Shared-Decision_Making||Approval/Reinforcement,0,1,0,1
Information-Seeking||General_information :: PATIENT_PARTNERSHIP||active_participation_/involvement,0,3,0,3
Information-Seeking||General_information :: PATIENT_PARTNERSHIP||build_trust,0,1,0,1
Information-Seeking||General_information :: PATIENT_PARTNERSHIP||state_preferences,1,0,0,1
Information-Seeking||General_information :: PROVIDER_Shared-Decision_Making||Encourage_questions,0,1,0,1
Information-Seeking||Scheduling_appt :: PATIENT_PARTNERSHIP||active_participation_/involvement,3,0,0,3
PATIENT_PARTNERSHIP||Appreciation/gratitude :: Information-Giving||Drugs,2,0,0,2
PATIENT_PARTNERSHIP||Appreciation/gratitude :: PATIENT_PARTNERSHIP||Alignment,0,1,0,1
PATIENT_PARTNERSHIP||Appreciation/gratitude :: PATIENT_PARTNERSHIP||signoff,3,6,17,26
PATIENT_PARTNERSHIP||Appreciation/gratitude :: PROVIDER_PARTNERSHIP||Appreciation/gratitude,0,0,2,2
PATIENT_PARTNERSHIP||Appreciation/gratitude :: PROVIDER_PARTNERSHIP||Connection,0,1,0,1
PATIENT_PARTNERSHIP||Appreciation/gratitude :: PROVIDER_PARTNERSHIP||signoff,3,1,5,9
PATIENT_PARTNERSHIP||Connection :: PATIENT_PARTNERSHIP||signoff,0,0,1,1
PATIENT_PARTNERSHIP||Connection :: PROVIDER_PARTNERSHIP||Connection,1,0,0,1
PATIENT_PARTNERSHIP||Connection :: Socioemotional_/_Empathy||Sadness/fear,2,0,0,2
PATIENT_PARTNERSHIP||active_participation_/involvement :: Information-Seeking||Diagnostics,2,0,0,2
PATIENT_PARTNERSHIP||active_participation_/involvement :: Information-Seeking||General_information,1,0,0,1
PATIENT_PARTNERSHIP||active_participation_/involvement :: PATIENT_SHARED-DECISION_MAKING||Explore_options,0,1,0,1
PATIENT_PARTNERSHIP||active_participation_/involvement :: PROVIDER_PARTNERSHIP||Maintain_communication,2,2,1,5
PATIENT_PARTNERSHIP||express_opinions :: PATIENT_PARTNERSHIP||state_preferences,1,0,0,1
PATIENT_PARTNERSHIP||salutation :: PROVIDER_PARTNERSHIP||salutation,13,7,21,41
PATIENT_PARTNERSHIP||signoff :: PATIENT_PARTNERSHIP||Appreciation/gratitude,1,1,6,8
PATIENT_PARTNERSHIP||signoff :: PATIENT_PARTNERSHIP||Connection,0,0,3,3
PATIENT_PARTNERSHIP||signoff :: PROVIDER_PARTNERSHIP||Appreciation/gratitude,1,1,4,6
PATIENT_PARTNERSHIP||signoff :: PROVIDER_PARTNERSHIP||signoff,3,1,11,15
PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement :: Information-Giving_SDOH||Neighborhood_and_built_environment,1,0,0,1
PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement :: PATIENT_PARTNERSHIP||Alignment,3,1,5,9
PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement :: PATIENT_PARTNERSHIP||active_participation_/involvement,0,1,0,1
PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement :: PROVIDER_PARTNERSHIP||Alignment,2,0,0,2
PROVIDER_PARTNERSHIP||Appreciation/gratitude :: PATIENT_PARTNERSHIP||Appreciation/gratitude,8,5,7,20
PROVIDER_PARTNERSHIP||Appreciation/gratitude :: PATIENT_PARTNERSHIP||signoff,5,4,5,14
PROVIDER_PARTNERSHIP||Appreciation/gratitude :: PROVIDER_PARTNERSHIP||signoff,0,1,2,3
PROVIDER_PARTNERSHIP||Connection :: Information-Giving||Care_Coordination,1,0,1,2
PROVIDER_PARTNERSHIP||Connection :: PATIENT_PARTNERSHIP||Connection,1,1,0,2
PROVIDER_PARTNERSHIP||Connection :: PATIENT_PARTNERSHIP||active_participation_/involvement,1,0,0,1
PROVIDER_PARTNERSHIP||Connection :: PATIENT_PARTNERSHIP||signoff,1,1,3,5
PROVIDER_PARTNERSHIP||Connection :: PROVIDER_PARTNERSHIP||Alignment,2,2,0,4
PROVIDER_PARTNERSHIP||Connection :: PROVIDER_PARTNERSHIP||signoff,2,2,6,10
PROVIDER_PARTNERSHIP||Connection :: Socioemotional_/_Empathy||Reassurance,0,0,1,1
PROVIDER_PARTNERSHIP||Maintain_communication :: PROVIDER_Shared-Decision_Making||Encourage_questions,0,1,0,1
PROVIDER_PARTNERSHIP||invite_collaboration :: Information-Giving||Scheduling_appt,1,0,0,1
PROVIDER_PARTNERSHIP||invite_collaboration :: PROVIDER_PARTNERSHIP||Alignment,1,0,0,1
PROVIDER_PARTNERSHIP||invite_collaboration :: PROVIDER_PARTNERSHIP||Connection,1,0,0,1
PROVIDER_PARTNERSHIP||invite_collaboration :: PROVIDER_Shared-Decision_Making||Share_options,1,1,0,2
