anchor_text,anchor_label,neighbor_text,neighbor_label,similarity,method,level,pair_key,example_hash
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Information-Giving||Care_Coordination,0.793782114982605,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Care_Coordination,fb028afd99a344bf313d0ef75ef983cab558dfee
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,They have asked if we can send the PET report and scans to them beforehand,Information-Giving||Care_Coordination,0.6933441162109375,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Care_Coordination,a7adc34074985e8ca7c9677d85efd281965b5db4
have it a LOCATION,Information-Giving_SDOH||Health_care_access_and_quality,please have them send it to us at,Information-Giving||Care_Coordination,0.5614433884620667,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Care_Coordination,9596bd96e1f2c6cba6a1d4be49786c79a5230adb
", I am checking with Dr. Person2 on the vaccine",Information-Giving_SDOH||Health_care_access_and_quality,The schedulers were checking with Dr Person2 on MM/DD/YYYY,Information-Giving||Care_Coordination,0.6173776573234404,tfidf,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Care_Coordination,d46d6f23913258a315415611c0e36c1f4d425e54
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,I also think she put in an order for an ECHO,Information-Giving||Diagnostics,0.5580609572280655,lsa,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Diagnostics,983c4138af715af6b970817594f7ec6722c0ecef
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH||Health_care_access_and_quality,you have can labs drawn before seeing,Information-Giving||Diagnostics,0.6250007748603821,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Diagnostics,b11f0b95ab9c27a2d1e77cd50649391e441e0912
Person5 sent in pre-auth info to Cigna,Information-Giving_SDOH||Health_care_access_and_quality,Prednisone refill sent in,Information-Giving||Drugs,0.7271320925507138,lsa,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Drugs,6c246285d7889bf15043b0ccd0b7160b97a49235
Person5 sent in pre-auth info to Cigna,Information-Giving_SDOH||Health_care_access_and_quality,refill has been sent in,Information-Giving||Drugs,0.644827307722794,lsa,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Drugs,9c8ad4957a72ee8542b09993bbef5726e9edf14f
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH||Health_care_access_and_quality,"I have an appointment with Dr. Person2 next MM/DD/YYYY, the MM/DD/YYYY",Information-Giving||Scheduling_appt,0.5606768727302551,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Scheduling_appt,815ac9c1b730640442d6ac30a63e70b35be3e1b2
Sleeping well,Information-Giving_SDOH||Health_care_access_and_quality,"I hope so because I feel great; sleeping well, eating (too) well",Information-Giving||Symptoms,0.5987080708637997,tfidf,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||Symptoms,83f202f4b63878f7b4a10943d2fe3d7a24f5ece7
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,Please be sure to also send the disc of the PET scan images or bring them with you to your appointment,Information-Giving||instruction,0.7721730470657349,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||instruction,a0e511440d2d7d73f4015cc064a08db71e400e62
We need to make an office visit,Information-Giving_SDOH||Health_care_access_and_quality,if not reach out to our office!,Information-Giving||instruction,0.6119804382324219,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Giving||instruction,4a6d8334ed0ea44d83c337833ae692c9c5978571
have it a LOCATION,Information-Giving_SDOH||Health_care_access_and_quality,If it is ok can I have those shots at LOCATION,Information-Seeking_SDOH||Health_care_access_and_quality,0.5863918648396703,lsa,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Seeking_SDOH||Health_care_access_and_quality,e2ee87033f400db0e5ea857fe819a4300595dd93
We need to make an office visit,Information-Giving_SDOH||Health_care_access_and_quality,how can i get this form to your office?,Information-Seeking_SDOH||Health_care_access_and_quality,0.5642628073692322,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Seeking_SDOH||Health_care_access_and_quality,f2eebf4cc85ead9247b58a4f2ae2f960f1a77ffb
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,Do you know the reasoning you had this PET scan does and which doctor ordered it?,Information-Seeking||Drugs,0.6884222626686096,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Seeking||Drugs,9f38c39c9a22388d5b137fda8a8e0331066de69d
We need to make an office visit,Information-Giving_SDOH||Health_care_access_and_quality,Do I need to make an appointment,Information-Seeking||Scheduling_appt,0.7533059043795038,lsa,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Seeking||Scheduling_appt,fca81b12d4f6c182e901848ed8394c2845afb462
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH||Health_care_access_and_quality,"My  blood draw and appointment with Dr. Person1 will be in the Org2 office on MM/DD/YYYY, starting at 9:30 AM, correct?",Information-Seeking||Scheduling_appt,0.5986259579658508,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: Information-Seeking||Scheduling_appt,55d2680e9baa6c6e89f31bb6948be3c3e9668ffb
sent an order for a new PET scan,Information-Giving_SDOH||Health_care_access_and_quality,Could you please cancel my PET and CT scans ordered by Dr. Person2 for this week,PATIENT_PARTNERSHIP||active_participation_/involvement,0.694997251033783,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: PATIENT_PARTNERSHIP||active_participation_/involvement,f31e7ca4c183fa99eac91c1b129515086169ffdb
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH||Health_care_access_and_quality,Could you please send an order so I can have blood drawn on MM/DD/YYYY this week,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5658657550811768,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: PATIENT_PARTNERSHIP||active_participation_/involvement,2714abe779ad106217a678df619ad812f1b59593
You can have this drawn at any any of the L&M draw stations MM/DD/YYYY before your visit with Dr Person1,Information-Giving_SDOH||Health_care_access_and_quality,Could you please send an order so I can have blood drawn on MM/DD/YYYY this week,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5658656358718872,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: PATIENT_PARTNERSHIP||active_participation_/involvement,2714abe779ad106217a678df619ad812f1b59593
We need to make an office visit,Information-Giving_SDOH||Health_care_access_and_quality,Or no need for an office visit?,PATIENT_SHARED-DECISION_MAKING||Explore_options,0.6334205849627007,lsa,combined,Information-Giving_SDOH||Health_care_access_and_quality :: PATIENT_SHARED-DECISION_MAKING||Explore_options,e5262e13563e1d45ad4bff5c51a5729debaa2f86
We need to make an office visit,Information-Giving_SDOH||Health_care_access_and_quality,Or no need for an office visit?,PATIENT_SHARED-DECISION_MAKING||Explore_options,0.6821954846382141,sbert,combined,Information-Giving_SDOH||Health_care_access_and_quality :: PATIENT_SHARED-DECISION_MAKING||Explore_options,e5262e13563e1d45ad4bff5c51a5729debaa2f86
Person5 sent in pre-auth info to Cigna,Information-Giving_SDOH||Health_care_access_and_quality,Prescription has been sent in,PROVIDER_PARTNERSHIP||Maintain_communication,0.6405892887527307,lsa,combined,Information-Giving_SDOH||Health_care_access_and_quality :: PROVIDER_PARTNERSHIP||Maintain_communication,57024d6cc7ccb54a798073e7842ff4a0c2f5f7a1
considering how difficult it is for Person2 to travel,Information-Giving_SDOH||Neighborhood_and_built_environment,it is elevated,Information-Giving||Diagnostics,0.5711439637048018,lsa,combined,Information-Giving_SDOH||Neighborhood_and_built_environment :: Information-Giving||Diagnostics,8e5f995d84f0b7d746f8ca189e6f78ae62c433e2
considering how difficult it is for Person2 to travel,Information-Giving_SDOH||Neighborhood_and_built_environment,Here it is,Information-Giving||General_information,0.6138604617176129,lsa,combined,Information-Giving_SDOH||Neighborhood_and_built_environment :: Information-Giving||General_information,ee5f3625adf4964934f67d56f2d13328b6c5e31c
considering how difficult it is for Person2 to travel,Information-Giving_SDOH||Neighborhood_and_built_environment,it is a-okay for Person2 to have it done,PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,0.6712125213407162,lsa,combined,Information-Giving_SDOH||Neighborhood_and_built_environment :: PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,c365a4de06f7da4bfcba60e978d09c7d11aa6656
this was faxed,Information-Giving||Care_Coordination,This was either Dec. or Jan,Information-Giving||Diagnostics,0.7854871508067237,lsa,combined,Information-Giving||Care_Coordination :: Information-Giving||Diagnostics,fb07b31d3a8a93902bfca41878a5f0b3369a3741
this was faxed,Information-Giving||Care_Coordination,this was trending down.,Information-Giving||Diagnostics,0.7542115216570809,lsa,combined,Information-Giving||Care_Coordination :: Information-Giving||Diagnostics,4c8e9c1c056f6bd44c0b49a2f6db2aec9148478e
this was faxed,Information-Giving||Care_Coordination,to see that this was trending down,Information-Giving||Diagnostics,0.6376006079256578,lsa,combined,Information-Giving||Care_Coordination :: Information-Giving||Diagnostics,b8216450f5feddc9df9dd568fe8f98089ffa1a7e
this was faxed,Information-Giving||Care_Coordination,This was either Dec. or Jan,Information-Giving||Diagnostics,0.5871786512620115,tfidf,combined,Information-Giving||Care_Coordination :: Information-Giving||Diagnostics,fb07b31d3a8a93902bfca41878a5f0b3369a3741
I am on the lookout for the permission / patient approval document,Information-Giving||Care_Coordination,while I am on the medications,Information-Giving||Drugs,0.7979919051752011,lsa,combined,Information-Giving||Care_Coordination :: Information-Giving||Drugs,852d9352b5ec71cdcf1104e31209fa01588496a4
per Dr. Person2's desire and Dr. B agree to get Person3 off Oxy ext release,Information-Giving||Care_Coordination,I've already reduced lenvatinib to 5 days per dr Person2's instructions,Information-Giving||Drugs,0.6368791364953783,lsa,combined,Information-Giving||Care_Coordination :: Information-Giving||Drugs,fb7e4a3bd8677ffd6e1dccfc6d5594a2e8ae752a
give Dr. Person1 Dr. Person2 cell  phone,Information-Giving||Care_Coordination,Dr. B recommends Metamucil,Information-Giving||Drugs,0.6235458956356511,lsa,combined,Information-Giving||Care_Coordination :: Information-Giving||Drugs,225ff06c069c0d216fcf0b23c733d9ec09a05993
Dr. Person4 was speaking with Dr. Person5,Information-Giving||Care_Coordination,Dr. B recommends Metamucil,Information-Giving||Drugs,0.58609144979732,lsa,combined,Information-Giving||Care_Coordination :: Information-Giving||Drugs,fdf0cf0cb7b0ac3518c8d4aa24b276c8a656e7de
this was faxed,Information-Giving||Care_Coordination,Here is the fax number,Information-Giving||General_information,0.6251004338264465,sbert,combined,Information-Giving||Care_Coordination :: Information-Giving||General_information,01587183edda4d4a74fd775078a840b86e0ae688
I am on the lookout for the permission / patient approval document,Information-Giving||Care_Coordination,We have been directing patients to their PCP office or the Org2 website,Information-Giving||General_information,0.5519456267356873,sbert,combined,Information-Giving||Care_Coordination :: Information-Giving||General_information,ee7a16b7ff09e7aaa2fca48249de5c6dc0fd1894
Dr. Person4 was speaking with Dr. Person5,Information-Giving||Care_Coordination,I see Dr  Person1 on,Information-Giving||Scheduling_appt,0.6275184750556946,sbert,combined,Information-Giving||Care_Coordination :: Information-Giving||Scheduling_appt,20457d8881e1e885305d6bb3fffe0e1de5e88ffc
per Dr. Person2's desire and Dr. B agree to get Person3 off Oxy ext release,Information-Giving||Care_Coordination,Does Dr. Person3 want Person1 to continue on,Information-Seeking||Drugs,0.6329430341720581,sbert,combined,Information-Giving||Care_Coordination :: Information-Seeking||Drugs,68a945281b791d9dcb4c1f937bf723d4b859824c
give Dr. Person1 Dr. Person2 cell  phone,Information-Giving||Care_Coordination,I wanted to reach out to Dr. Person1,PATIENT_PARTNERSHIP||active_participation_/involvement,0.6623302102088928,sbert,combined,Information-Giving||Care_Coordination :: PATIENT_PARTNERSHIP||active_participation_/involvement,2b0f93fcff76884567a0d4cda0cec69285711925
give Dr. Person1 Dr. Person2 cell  phone,Information-Giving||Care_Coordination,Please let Person2 and I know if you are able to have Dr  Person5 do this for us,PATIENT_PARTNERSHIP||active_participation_/involvement,0.6585640907287598,sbert,combined,Information-Giving||Care_Coordination :: PATIENT_PARTNERSHIP||active_participation_/involvement,324d9e7eceaa8ebbe11db9a31d38c5b7b812e8f3
this was faxed,Information-Giving||Care_Coordination,Did you receive the fax from Dr. Person1?,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5654322504997253,sbert,combined,Information-Giving||Care_Coordination :: PATIENT_PARTNERSHIP||active_participation_/involvement,50a8ff88f987789f10d7e3e4e7c5c62c2f8d3233
per Dr. Person2's desire and Dr. B agree to get Person3 off Oxy ext release,Information-Giving||Care_Coordination,Can Dr  Person3 do that?,PATIENT_PARTNERSHIP||active_participation_/involvement,0.5649462342262268,sbert,combined,Information-Giving||Care_Coordination :: PATIENT_PARTNERSHIP||active_participation_/involvement,0412ea86b669418fd05938ac4df6c6a49a54c27e
Dr. Person4 was speaking with Dr. Person5,Information-Giving||Care_Coordination,Why did Dr. Person4  not see this,PATIENT_PARTNERSHIP||express_opinions,0.7702109813690186,sbert,combined,Information-Giving||Care_Coordination :: PATIENT_PARTNERSHIP||express_opinions,52fbe40eca466b281955d77df534113d4c2a01ee
send CT scan and report,Information-Giving||Diagnostics,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Information-Giving||Care_Coordination,0.6221028566360474,sbert,combined,Information-Giving||Diagnostics :: Information-Giving||Care_Coordination,a1b0835d037bd734f0b5b76c686c7ae3202c537e
not rec'd email message from blood testing lab,Information-Giving||Diagnostics,I sent the message to Dr. Person2 yesterday evening and have not gotten a response yet,Information-Giving||Care_Coordination,0.5674786567687988,sbert,combined,Information-Giving||Diagnostics :: Information-Giving||Care_Coordination,053effd8adeeba047fc1242823740865b98a4f95
he would order blood tests,Information-Giving||Diagnostics,he would take over this RX,Information-Giving||Drugs,0.5672132411609436,lsa,combined,Information-Giving||Diagnostics :: Information-Giving||Drugs,7e6a4ba93e2e23441acd15ea247ac23636214dee
I had my MM/DD/YYYY bloodwork done MM/DD/YYYY,Information-Giving||Diagnostics,"Trying to keep Oxy steady at MM/DD/YYYY, but MM/DD/YYYY had to go MM/DD/YYYY",Information-Giving||Drugs,0.5524894870095117,tfidf,combined,Information-Giving||Diagnostics :: Information-Giving||Drugs,4ed2a26db16a20fe33bbb803c7792a2e34fcd835
Orders have been entered into the Epic system for lab work,Information-Giving||Diagnostics,I have been at work daily,Information-Giving||General_information,0.6516389420905085,lsa,combined,Information-Giving||Diagnostics :: Information-Giving||General_information,1a6a36ba255a44940eb6ef54da69448a769500d5
Labs have been order,Information-Giving||Diagnostics,I have been at work daily,Information-Giving||General_information,0.638240580039215,lsa,combined,Information-Giving||Diagnostics :: Information-Giving||General_information,d92ab86001cc2f2d0d61a0b784b094ee277e2ea0
