anchor_text,anchor_label,neighbor_text,neighbor_label,similarity,method,level,pair_key,example_hash
"Thank you,",signoff,Thank you,Appreciation/gratitude,0.9999999999999998,lsa,subcode,signoff :: Appreciation/gratitude,09bc1852559880fc1326231ef28656ccbb071bb9
"Thank you,",signoff,Thank you,Appreciation/gratitude,0.9999999999999998,lsa,subcode,signoff :: Appreciation/gratitude,09bc1852559880fc1326231ef28656ccbb071bb9
"Thank you,",signoff,Thank you,Appreciation/gratitude,0.8059808015823364,sbert,subcode,signoff :: Appreciation/gratitude,09bc1852559880fc1326231ef28656ccbb071bb9
be happy to,Connection,I was happy,Alignment,0.6458970383851764,lsa,subcode,Connection :: Alignment,0ce46318a1eae3ca440440cd69cbee6b9d576c2d
be happy to,Connection,I was happy,Alignment,0.6458970383851764,lsa,subcode,Connection :: Alignment,0ce46318a1eae3ca440440cd69cbee6b9d576c2d
be happy to,Connection,I was happy,Alignment,0.5801900625228882,sbert,subcode,Connection :: Alignment,0ce46318a1eae3ca440440cd69cbee6b9d576c2d
be happy to,Connection,I was happy,Alignment,0.5801900625228882,sbert,subcode,Connection :: Alignment,0ce46318a1eae3ca440440cd69cbee6b9d576c2d
Thank you,Appreciation/gratitude,Thank you,signoff,0.9999999999999998,lsa,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,0.9999999999999998,lsa,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,0.9999999999999998,lsa,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,0.9999999999999998,lsa,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,0.9999999999999998,lsa,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,0.9999999999999998,lsa,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478,sbert,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478,sbert,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478,sbert,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478,sbert,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478,sbert,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478,sbert,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478,sbert,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478,sbert,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478,sbert,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000000000000002,tdidf,subcode,Appreciation/gratitude :: signoff,2646a9063538e026dd8e120c329ebe83355a699e
