label_A,label_B,count
PATIENT_PARTNERSHIP,PROVIDER_PARTNERSHIP,1873
Information-Giving,PATIENT_PARTNERSHIP,631
Information-Giving,Information-Seeking,428
Information-Giving,Information-Giving_SDOH,250
Information-Giving,PROVIDER_PARTNERSHIP,234
Information-Seeking,PATIENT_PARTNERSHIP,126
Information-Giving,PROVIDER_Shared-Decision_Making,121
Information-Giving,PATIENT_SHARED-DECISION_MAKING,92
Information-Giving,Socioemotional_/_Empathy,62
PATIENT_PARTNERSHIP,PATIENT_SHARED-DECISION_MAKING,48
Information-Giving_SDOH,PATIENT_PARTNERSHIP,47
Information-Giving,Information-Seeking_SDOH,44
Information-Giving_SDOH,Information-Seeking_SDOH,43
Information-Seeking,PROVIDER_PARTNERSHIP,36
PROVIDER_PARTNERSHIP,PROVIDER_Shared-Decision_Making,35
PATIENT_PARTNERSHIP,PROVIDER_Shared-Decision_Making,33
PATIENT_SHARED-DECISION_MAKING,PROVIDER_Shared-Decision_Making,32
Information-Seeking,PROVIDER_Shared-Decision_Making,30
Information-Giving_SDOH,Information-Seeking,29
Information-Seeking,PATIENT_SHARED-DECISION_MAKING,29
PATIENT_PARTNERSHIP,Socioemotional_/_Empathy,27
PROVIDER_PARTNERSHIP,Socioemotional_/_Empathy,19
Information-Giving_SDOH,PROVIDER_PARTNERSHIP,19
Information-Seeking_SDOH,PATIENT_PARTNERSHIP,12
PATIENT_SHARED-DECISION_MAKING,PROVIDER_PARTNERSHIP,8
PATIENT_SHARED-DECISION_MAKING,Socioemotional_/_Empathy,7
Information-Seeking_SDOH,PROVIDER_PARTNERSHIP,7
Information-Giving_SDOH,PATIENT_SHARED-DECISION_MAKING,6
Information-Seeking,Socioemotional_/_Empathy,5
PROVIDER_Shared-Decision_Making,Socioemotional_/_Empathy,5
Information-Seeking,Information-Seeking_SDOH,4
Information-Giving_SDOH,PROVIDER_Shared-Decision_Making,3
Information-Giving_SDOH,Socioemotional_/_Empathy,1
