label_A,label_B,count
PATIENT_PARTNERSHIP||salutation,PROVIDER_PARTNERSHIP||salutation,776
PATIENT_PARTNERSHIP||signoff,PROVIDER_PARTNERSHIP||signoff,372
PATIENT_PARTNERSHIP||Appreciation/gratitude,PATIENT_PARTNERSHIP||signoff,211
PATIENT_PARTNERSHIP||signoff,PROVIDER_PARTNERSHIP||Appreciation/gratitude,123
Information-Giving||Diagnostics,Information-Seeking||Diagnostics,122
PATIENT_PARTNERSHIP||Alignment,PROVIDER_PARTNERSHIP||Alignment,113
PATIENT_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||signoff,112
Information-Giving||Care_Coordination,PATIENT_PARTNERSHIP||active_participation_/involvement,102
Information-Giving||Care_Coordination,Information-Giving||Scheduling_appt,101
Information-Giving||Scheduling_appt,Information-Seeking||Scheduling_appt,90
PATIENT_PARTNERSHIP||Connection,PROVIDER_PARTNERSHIP||Connection,86
Information-Giving||Diagnostics,Information-Giving||Scheduling_appt,81
PATIENT_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||Appreciation/gratitude,77
Information-Giving||Scheduling_appt,PATIENT_PARTNERSHIP||active_participation_/involvement,74
Information-Giving||Diagnostics,PATIENT_PARTNERSHIP||active_participation_/involvement,71
Information-Giving||Care_Coordination,Information-Giving||General_information,69
Information-Giving||Drugs,Information-Seeking||Drugs,62
PATIENT_PARTNERSHIP||active_participation_/involvement,PROVIDER_PARTNERSHIP||Maintain_communication,60
PROVIDER_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||signoff,53
Information-Giving||Drugs,PATIENT_PARTNERSHIP||active_participation_/involvement,48
Information-Giving||Care_Coordination,PROVIDER_PARTNERSHIP||Maintain_communication,48
Information-Giving||Scheduling_appt,Information-Giving||instruction,43
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||Drugs,43
Information-Giving||General_information,PATIENT_PARTNERSHIP||active_participation_/involvement,42
Information-Giving||Care_Coordination,Information-Giving||Drugs,42
Information-Giving||Diagnostics,Information-Giving||instruction,41
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||Scheduling_appt,40
Information-Giving||Care_Coordination,Information-Giving||Diagnostics,39
Information-Seeking||Diagnostics,PATIENT_PARTNERSHIP||active_participation_/involvement,39
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||General_information,38
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||Care_Coordination,37
Information-Giving_SDOH||Health_care_access_and_quality,Information-Seeking_SDOH||Health_care_access_and_quality,33
Information-Giving||General_information,Information-Giving||instruction,32
Information-Giving||Scheduling_appt,PATIENT_PARTNERSHIP||state_preferences,32
Information-Giving||Drugs,PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,32
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||Diagnostics,31
PATIENT_PARTNERSHIP||active_participation_/involvement,PATIENT_PARTNERSHIP||state_preferences,31
Information-Giving||Care_Coordination,PATIENT_PARTNERSHIP||state_preferences,31
Information-Giving||Drugs,Information-Giving||Scheduling_appt,29
Information-Giving||Scheduling_appt,PROVIDER_PARTNERSHIP||Maintain_communication,29
PROVIDER_PARTNERSHIP||Connection,PROVIDER_PARTNERSHIP||signoff,26
Information-Giving_SDOH||Health_care_access_and_quality,PATIENT_PARTNERSHIP||active_participation_/involvement,26
Information-Giving||General_information,Information-Giving||Scheduling_appt,25
PATIENT_PARTNERSHIP||signoff,PROVIDER_PARTNERSHIP||Connection,22
Information-Giving||Drugs,PATIENT_PARTNERSHIP||express_opinions,21
Information-Giving||Diagnostics,PATIENT_PARTNERSHIP||express_opinions,21
Information-Giving||General_information,PROVIDER_PARTNERSHIP||Maintain_communication,21
PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,PROVIDER_Shared-Decision_Making||Approval/Reinforcement,20
Information-Giving_SDOH||Health_care_access_and_quality,Information-Seeking||Drugs,19
Information-Giving||Symptoms,Information-Seeking||Symptoms,19
PATIENT_PARTNERSHIP||active_participation_/involvement,PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,19
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||instruction,18
PROVIDER_PARTNERSHIP||Maintain_communication,PROVIDER_Shared-Decision_Making||Encourage_questions,18
Information-Giving||Scheduling_appt,PROVIDER_Shared-Decision_Making||Approval/Reinforcement,18
Information-Giving||Drugs,PROVIDER_Shared-Decision_Making||Approval/Reinforcement,18
Information-Giving||Diagnostics,Information-Seeking||Scheduling_appt,18
PATIENT_PARTNERSHIP||Alignment,PATIENT_PARTNERSHIP||Connection,18
Information-Giving||Symptoms,PATIENT_PARTNERSHIP||active_participation_/involvement,17
Information-Giving||Drugs,PROVIDER_PARTNERSHIP||Maintain_communication,17
Information-Giving||Care_Coordination,PATIENT_PARTNERSHIP||Connection,17
Information-Giving||Care_Coordination,Information-Giving||instruction,16
PATIENT_PARTNERSHIP||Alignment,PATIENT_PARTNERSHIP||active_participation_/involvement,16
Information-Giving||General_information,Information-Seeking||General_information,16
Information-Giving||Symptoms,PATIENT_PARTNERSHIP||express_opinions,16
Information-Seeking||Scheduling_appt,PATIENT_PARTNERSHIP||active_participation_/involvement,16
Information-Giving||Care_Coordination,Information-Seeking||Care_Coordination,16
PATIENT_PARTNERSHIP||Connection,PATIENT_PARTNERSHIP||signoff,15
Information-Giving||Diagnostics,PROVIDER_PARTNERSHIP||Maintain_communication,15
Information-Seeking||Scheduling_appt,PATIENT_PARTNERSHIP||state_preferences,15
PATIENT_PARTNERSHIP||Alignment,PROVIDER_PARTNERSHIP||Connection,15
Information-Giving||instruction,PROVIDER_PARTNERSHIP||Maintain_communication,14
Information-Giving||instruction,PATIENT_PARTNERSHIP||active_participation_/involvement,14
Information-Giving||Diagnostics,Information-Giving||Drugs,14
Information-Giving||Care_Coordination,Information-Seeking||Scheduling_appt,14
Information-Giving||General_information,Information-Giving||Symptoms,14
Information-Giving||General_information,PATIENT_PARTNERSHIP||express_opinions,14
Information-Giving||Care_Coordination,PATIENT_PARTNERSHIP||express_opinions,13
Information-Seeking||Drugs,PATIENT_SHARED-DECISION_MAKING||Seeking_Approval,13
