Format: CODE||SUBCODE
Information-Giving_SDOH||Economic_stability
Information-Giving_SDOH||Health_care_access_and_quality
Information-Giving_SDOH||Neighborhood_and_built_environment
Information-Giving||Care_Coordination
Information-Giving||Diagnostics
Information-Giving||Drugs
Information-Giving||General_information
Information-Giving||Prognosis
Information-Giving||Scheduling_appt
Information-Giving||Symptoms
Information-Giving||instruction
Information-Seeking_SDOH||Economic_stability
Information-Seeking_SDOH||Health_care_access_and_quality
Information-Seeking||Care_Coordination
Information-Seeking||Diagnostics
Information-Seeking||Drugs
Information-Seeking||General_information
Information-Seeking||Scheduling_appt
Information-Seeking||Symptoms
PATIENT_PARTNERSHIP||Alignment
PATIENT_PARTNERSHIP||Appreciation/gratitude
PATIENT_PARTNERSHIP||Connection
PATIENT_PARTNERSHIP||active_participation_/involvement
PATIENT_PARTNERSHIP||build_trust
PATIENT_PARTNERSHIP||express_opinions
PATIENT_PARTNERSHIP||salutation
PATIENT_PARTNERSHIP||signoff
PATIENT_PARTNERSHIP||state_preferences
PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement
PATIENT_SHARED-DECISION_MAKING||Explore_options
PATIENT_SHARED-DECISION_MAKING||Seeking_Approval
PROVIDER_PARTNERSHIP||Alignment
PROVIDER_PARTNERSHIP||Appreciation/gratitude
PROVIDER_PARTNERSHIP||Connection
PROVIDER_PARTNERSHIP||Maintain_communication
PROVIDER_PARTNERSHIP||build_trust
PROVIDER_PARTNERSHIP||checking_understanding/clarification
PROVIDER_PARTNERSHIP||invite_collaboration
PROVIDER_PARTNERSHIP||salutation
PROVIDER_PARTNERSHIP||signoff
PROVIDER_Shared-Decision_Making||Approval/Reinforcement
PROVIDER_Shared-Decision_Making||Encourage_questions
PROVIDER_Shared-Decision_Making||Making_decision_together
PROVIDER_Shared-Decision_Making||Share_options
PROVIDER_Shared-Decision_Making||Summarize_and_confirm_understanding
Socioemotional_/_Empathy||Acknowledge_Error
Socioemotional_/_Empathy||Express_concern/unease
Socioemotional_/_Empathy||Positive_Remarks/Reward
Socioemotional_/_Empathy||Reassurance
Socioemotional_/_Empathy||Sadness/fear
