label,n_items
Acknowledge_Error,16
Alignment,88
Appreciation/gratitude,121
Approval/Reinforcement,25
Care_Coordination,176
Connection,105
Diagnostics,205
Drugs,174
Economic_stability,25
Encourage_questions,2
Explore_options,18
Express_concern/unease,25
General_information,162
Health_care_access_and_quality,100
Maintain_communication,74
Making_decision_together,13
Neighborhood_and_built_environment,7
Positive_Remarks/Reward,6
Prognosis,6
Reassurance,14
Sadness/fear,10
Scheduling_appt,153
Seeking_Approval,29
Share_options,17
Summarize_and_confirm_understanding,7
Symptoms,115
active_participation_/involvement,146
build_trust,9
checking_understanding/clarification,20
express_opinions,52
instruction,44
invite_collaboration,11
salutation,333
signoff,249
state_preferences,45
