label_A,label_B,count,avg_similarity,n_A,n_B,ratio_A=count/n_A,ratio_B=count/n_B
PATIENT_PARTNERSHIP,PROVIDER_PARTNERSHIP,1873,0.9367,789,464,2.3739,4.0366
Information-Giving,PATIENT_PARTNERSHIP,631,0.6421,887,789,0.7114,0.7997
Information-Giving,Information-Seeking,428,0.6742,887,148,0.4825,2.8919
Information-Giving,Information-Giving_SDOH,250,0.6475,887,106,0.2818,2.3585
Information-Giving,PROVIDER_PARTNERSHIP,234,0.6595,887,464,0.2638,0.5043
Information-Seeking,PATIENT_PARTNERSHIP,126,0.6526,148,789,0.8514,0.1597
Information-Giving,PROVIDER_Shared-Decision_Making,121,0.6633,887,57,0.1364,2.1228
Information-Giving,PATIENT_SHARED-DECISION_MAKING,92,0.6293,887,54,0.1037,1.7037
Information-Giving,Socioemotional_/_Empathy,62,0.6105,887,71,0.0699,0.8732
PATIENT_PARTNERSHIP,PATIENT_SHARED-DECISION_MAKING,48,0.6274,789,54,0.0608,0.8889
Information-Giving_SDOH,PATIENT_PARTNERSHIP,47,0.6298,106,789,0.4434,0.0596
Information-Giving,Information-Seeking_SDOH,44,0.6395,887,26,0.0496,1.6923
Information-Giving_SDOH,Information-Seeking_SDOH,43,0.6279,106,26,0.4057,1.6538
Information-Seeking,PROVIDER_PARTNERSHIP,36,0.6243,148,464,0.2432,0.0776
PROVIDER_PARTNERSHIP,PROVIDER_Shared-Decision_Making,35,0.6523,464,57,0.0754,0.614
PATIENT_PARTNERSHIP,PROVIDER_Shared-Decision_Making,33,0.6758,789,57,0.0418,0.5789
PATIENT_SHARED-DECISION_MAKING,PROVIDER_Shared-Decision_Making,32,0.6798,54,57,0.5926,0.5614
Information-Seeking,PROVIDER_Shared-Decision_Making,30,0.6711,148,57,0.2027,0.5263
Information-Giving_SDOH,Information-Seeking,29,0.6682,106,148,0.2736,0.1959
Information-Seeking,PATIENT_SHARED-DECISION_MAKING,29,0.6507,148,54,0.1959,0.537
PATIENT_PARTNERSHIP,Socioemotional_/_Empathy,27,0.6072,789,71,0.0342,0.3803
PROVIDER_PARTNERSHIP,Socioemotional_/_Empathy,19,0.6936,464,71,0.0409,0.2676
Information-Giving_SDOH,PROVIDER_PARTNERSHIP,19,0.6778,106,464,0.1792,0.0409
Information-Seeking_SDOH,PATIENT_PARTNERSHIP,12,0.6439,26,789,0.4615,0.0152
PATIENT_SHARED-DECISION_MAKING,PROVIDER_PARTNERSHIP,8,0.682,54,464,0.1481,0.0172
PATIENT_SHARED-DECISION_MAKING,Socioemotional_/_Empathy,7,0.6591,54,71,0.1296,0.0986
Information-Seeking_SDOH,PROVIDER_PARTNERSHIP,7,0.6485,26,464,0.2692,0.0151
Information-Giving_SDOH,PATIENT_SHARED-DECISION_MAKING,6,0.6445,106,54,0.0566,0.1111
Information-Seeking,Socioemotional_/_Empathy,5,0.6154,148,71,0.0338,0.0704
PROVIDER_Shared-Decision_Making,Socioemotional_/_Empathy,5,0.5852,57,71,0.0877,0.0704
Information-Seeking,Information-Seeking_SDOH,4,0.683,148,26,0.027,0.1538
Information-Giving_SDOH,PROVIDER_Shared-Decision_Making,3,0.6695,106,57,0.0283,0.0526
Information-Giving_SDOH,Socioemotional_/_Empathy,1,0.6545,106,71,0.0094,0.0141
