label_A,label_B,count
Appreciation/gratitude,signoff,499
Care_Coordination,Scheduling_appt,115
Diagnostics,Scheduling_appt,113
Diagnostics,active_participation_/involvement,110
Care_Coordination,active_participation_/involvement,105
Scheduling_appt,active_participation_/involvement,90
Care_Coordination,General_information,80
Connection,signoff,76
Drugs,Health_care_access_and_quality,67
Maintain_communication,active_participation_/involvement,60
Drugs,active_participation_/involvement,60
Health_care_access_and_quality,Scheduling_appt,52
General_information,active_participation_/involvement,50
Care_Coordination,Drugs,49
Diagnostics,instruction,48
Care_Coordination,Maintain_communication,48
Scheduling_appt,state_preferences,47
Alignment,Connection,45
Care_Coordination,Health_care_access_and_quality,45
Drugs,Seeking_Approval,45
Scheduling_appt,instruction,44
General_information,Health_care_access_and_quality,43
Care_Coordination,Diagnostics,42
Drugs,Scheduling_appt,40
Diagnostics,Health_care_access_and_quality,38
Health_care_access_and_quality,active_participation_/involvement,36
Maintain_communication,Scheduling_appt,34
General_information,instruction,32
Care_Coordination,state_preferences,32
Diagnostics,express_opinions,31
active_participation_/involvement,state_preferences,31
General_information,Scheduling_appt,30
Approval/Reinforcement,Drugs,29
Diagnostics,Maintain_communication,26
Drugs,express_opinions,25
Care_Coordination,Connection,24
Health_care_access_and_quality,instruction,23
Drugs,Maintain_communication,22
General_information,Maintain_communication,22
Approval/Reinforcement,Scheduling_appt,21
Diagnostics,Drugs,21
Care_Coordination,instruction,20
Approval/Reinforcement,Seeking_Approval,20
Seeking_Approval,active_participation_/involvement,19
Encourage_questions,Maintain_communication,18
Alignment,active_participation_/involvement,18
Symptoms,active_participation_/involvement,17
Diagnostics,General_information,17
Symptoms,express_opinions,16
Care_Coordination,express_opinions,15
Care_Coordination,Symptoms,15
Scheduling_appt,express_opinions,15
Drugs,Explore_options,15
Maintain_communication,instruction,14
Connection,General_information,14
Drugs,General_information,14
active_participation_/involvement,instruction,14
General_information,Symptoms,14
General_information,express_opinions,14
Scheduling_appt,Seeking_Approval,14
Alignment,Scheduling_appt,13
Appreciation/gratitude,Connection,13
Health_care_access_and_quality,state_preferences,13
Explore_options,active_participation_/involvement,12
Connection,Reassurance,12
Approval/Reinforcement,Diagnostics,12
salutation,signoff,12
active_participation_/involvement,checking_understanding/clarification,12
Drugs,instruction,11
Diagnostics,checking_understanding/clarification,11
