anchor_text,anchor_label,neighbor_text,neighbor_label,similarity
In person or telemed?,invite_collaboration,We can either schedule for in person or via telehealth,Share_options,0.6036554574966431
be happy to,Connection,I was happy,Alignment,0.5801900625228882
be happy to,Connection,I was happy,Alignment,0.5801900625228882
We need to make an office visit,Health_care_access_and_quality,Or no need for an office visit?,Explore_options,0.6821954846382141
We need to make an office visit,Health_care_access_and_quality,if not reach out to our office!,instruction,0.6119804382324219
Please send to,instruction,I will also send it via email,Maintain_communication,0.6401464343070984
Please send to,instruction,please have them send it to us at,Care_Coordination,0.5937644243240356
Please send to,instruction,"You can send it to me in here or email, address@email.com",General_information,0.5513626933097839
this was faxed,Care_Coordination,Here is the fax number,General_information,0.6251004338264465
this was faxed,Care_Coordination,Did you receive the fax from Dr. Person1?,active_participation_/involvement,0.5654322504997253
Take care,Connection,Take care,signoff,1.0000003576278687
Take care,Connection,Take care,signoff,1.0000003576278687
Take care,Connection,Take care,signoff,1.0000001192092896
sent an order for a new PET scan,Health_care_access_and_quality,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Care_Coordination,0.793782114982605
sent an order for a new PET scan,Health_care_access_and_quality,Please be sure to also send the disc of the PET scan images or bring them with you to your appointment,instruction,0.7721730470657349
sent an order for a new PET scan,Health_care_access_and_quality,Could you please cancel my PET and CT scans ordered by Dr. Person2 for this week,active_participation_/involvement,0.694997251033783
sent an order for a new PET scan,Health_care_access_and_quality,They have asked if we can send the PET report and scans to them beforehand,Care_Coordination,0.6933441162109375
sent an order for a new PET scan,Health_care_access_and_quality,Do you know the reasoning you had this PET scan does and which doctor ordered it?,Drugs,0.6884222626686096
Please advise me how to submit this to,General_information,Please let me know when submitted,active_participation_/involvement,0.6247461438179016
if you can assist me in doing that,General_information,Let me know if I can help you with anything else,Encourage_questions,0.6114929914474487
This should ok,Approval/Reinforcement,That will work,Alignment,0.6012188792228699
This should ok,Approval/Reinforcement,Let me know if this will not work,active_participation_/involvement,0.5572013854980469
please call,General_information,Give  them a call,instruction,0.6478681564331055
please call,General_information,Give them a call,instruction,0.6478681564331055
please call,General_information,I completely forgot to let you know we wouldn't be calling,Acknowledge_Error,0.6067199110984802
please call,General_information,Would one of you be able to give me a call this morning?,active_participation_/involvement,0.6030635237693787
please call,General_information,so  you should be able to call tomorrow,instruction,0.5878742933273315
let them know that you have a prescription for a PET scan,Scheduling_appt,Please be sure to also send the disc of the PET scan images or bring them with you to your appointment,instruction,0.7347866296768188
let them know that you have a prescription for a PET scan,Scheduling_appt,They have asked if we can send the PET report and scans to them beforehand,Care_Coordination,0.7046020030975342
let them know that you have a prescription for a PET scan,Scheduling_appt,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Care_Coordination,0.6895427703857422
let them know that you have a prescription for a PET scan,Scheduling_appt,Do you know the reasoning you had this PET scan does and which doctor ordered it?,Drugs,0.6753873825073242
let them know that you have a prescription for a PET scan,Scheduling_appt,Should we bring forward the PET scans planned for MM/DD/YYYY or defer them until after the treatment has ended?,Explore_options,0.6316252946853638
have it a LOCATION,Health_care_access_and_quality,please have them send it to us at,Care_Coordination,0.5614433884620667
had an appt w,Scheduling_appt,Unfortunately I worked last night and came home this morning and fell asleep causing me to miss my appt today,Economic_stability,0.5766492486000061
he would order blood tests,Diagnostics,For my upcoming visit I don see any blood test required?,active_participation_/involvement,0.5521506667137146
send CT scan and report,Diagnostics,Also please call and get MM/DD/YYYY CT scan scheduled,Scheduling_appt,0.7502332329750061
send CT scan and report,Diagnostics,I was able to schedule the CT scans,Scheduling_appt,0.7014089226722717
send CT scan and report,Diagnostics,"Could you please send the pet scan report to Person1 , doctor Person2 assistant",Care_Coordination,0.6221028566360474
I will let you know once I have more information,Maintain_communication,Let me know if I can help you with anything else,Encourage_questions,0.5701795816421509
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478
Thank you,Appreciation/gratitude,thank you,signoff,1.0000005960464478
Thank you,Appreciation/gratitude,Thank you,signoff,1.0000005960464478
has done well managing pain,Symptoms,Would this treat the pain temporarily?,active_participation_/involvement,0.6197595596313477
has been taking Oxycodone,Drugs,I sent the prescription for oxycodone to Dr. Person1 to sign,Care_Coordination,0.5850875377655029
take care of these prescriptions,Drugs,They are ok to order but need your prescription,Care_Coordination,0.6845090985298157
take care of these prescriptions,Drugs,Prescription has been sent in,Maintain_communication,0.6179322004318237
take care of these prescriptions,Drugs,not sure if this is right section my husband picked up prescriptions,express_opinions,0.6049268245697021
give Dr. Person1 Dr. Person2 cell  phone,Care_Coordination,I wanted to reach out to Dr. Person1,active_participation_/involvement,0.6623302102088928
give Dr. Person1 Dr. Person2 cell  phone,Care_Coordination,Please let Person2 and I know if you are able to have Dr  Person5 do this for us,active_participation_/involvement,0.6585640907287598
is having a tough day with pain,Symptoms,Is there anything I can get to help with that pain?,active_participation_/involvement,0.6008086800575256
I am on the lookout for the permission / patient approval document,Care_Coordination,We have been directing patients to their PCP office or the Org2 website,General_information,0.5519456267356873
I'll let you know as soon as that is completed,active_participation_/involvement,I will let you know as soon as he answers me,Maintain_communication,0.5902190208435059
I'll let you know as soon as that is completed,active_participation_/involvement,I'll let you know when I  hear back,Maintain_communication,0.5817515850067139
