label_A,label_B,count,avg_similarity,n_A,n_B,ratio_A=count/n_A,ratio_B=count/n_B
PATIENT_PARTNERSHIP||salutation,PROVIDER_PARTNERSHIP||salutation,800,0.9984,179,154,4.4693,5.1948
PATIENT_PARTNERSHIP||Appreciation/gratitude,PATIENT_PARTNERSHIP||signoff,349,0.9841,99,156,3.5253,2.2372
PATIENT_PARTNERSHIP||signoff,PROVIDER_PARTNERSHIP||signoff,316,0.9952,156,93,2.0256,3.3978
PATIENT_PARTNERSHIP||Alignment,PROVIDER_PARTNERSHIP||Alignment,114,0.9775,47,41,2.4255,2.7805
PATIENT_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||signoff,111,0.9963,99,93,1.1212,1.1935
PATIENT_PARTNERSHIP||signoff,PROVIDER_PARTNERSHIP||Appreciation/gratitude,84,0.9866,156,22,0.5385,3.8182
PATIENT_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||Appreciation/gratitude,50,0.8161,99,22,0.5051,2.2727
PATIENT_PARTNERSHIP||Connection,PROVIDER_PARTNERSHIP||Connection,38,0.7294,60,45,0.6333,0.8444
PATIENT_PARTNERSHIP||active_participation_/involvement,PROVIDER_PARTNERSHIP||Maintain_communication,31,0.7093,146,74,0.2123,0.4189
PROVIDER_PARTNERSHIP||Appreciation/gratitude,PROVIDER_PARTNERSHIP||signoff,29,1.0,22,93,1.3182,0.3118
PROVIDER_PARTNERSHIP||Connection,PROVIDER_PARTNERSHIP||signoff,21,0.9625,45,93,0.4667,0.2258
PATIENT_PARTNERSHIP||Connection,PATIENT_PARTNERSHIP||signoff,14,0.7129,60,156,0.2333,0.0897
Information-Seeking||Diagnostics,PATIENT_PARTNERSHIP||active_participation_/involvement,14,0.6968,46,146,0.3043,0.0959
PATIENT_PARTNERSHIP||Connection,PROVIDER_PARTNERSHIP||signoff,14,0.6294,60,93,0.2333,0.1505
Information-Giving||General_information,PATIENT_PARTNERSHIP||active_participation_/involvement,13,0.6839,145,146,0.0897,0.089
PATIENT_PARTNERSHIP||Alignment,PATIENT_PARTNERSHIP||Connection,10,0.9116,47,60,0.2128,0.1667
PATIENT_PARTNERSHIP||Connection,PROVIDER_PARTNERSHIP||Alignment,10,0.9167,60,41,0.1667,0.2439
PATIENT_PARTNERSHIP||Alignment,PROVIDER_PARTNERSHIP||Connection,8,0.9435,47,45,0.1702,0.1778
PATIENT_PARTNERSHIP||salutation,PROVIDER_PARTNERSHIP||Connection,8,0.6066,179,45,0.0447,0.1778
Information-Giving||Scheduling_appt,Information-Giving||instruction,8,0.6924,120,44,0.0667,0.1818
PATIENT_PARTNERSHIP||signoff,PROVIDER_PARTNERSHIP||Connection,7,1.0,156,45,0.0449,0.1556
PROVIDER_PARTNERSHIP||Connection,Socioemotional_/_Empathy||Acknowledge_Error,6,0.7611,45,16,0.1333,0.375
Socioemotional_/_Empathy||Acknowledge_Error,Socioemotional_/_Empathy||Sadness/fear,6,0.787,16,10,0.375,0.6
PROVIDER_PARTNERSHIP||Maintain_communication,PROVIDER_Shared-Decision_Making||Encourage_questions,6,0.7477,74,2,0.0811,3.0
PATIENT_PARTNERSHIP||Alignment,PATIENT_PARTNERSHIP||active_participation_/involvement,6,0.8676,47,146,0.1277,0.0411
Information-Giving||Symptoms,PATIENT_PARTNERSHIP||express_opinions,6,0.7627,104,52,0.0577,0.1154
Information-Giving||General_information,PROVIDER_PARTNERSHIP||Alignment,6,0.5973,145,41,0.0414,0.1463
PATIENT_PARTNERSHIP||Alignment,PATIENT_SHARED-DECISION_MAKING||Approval/Reinforcement,5,0.6377,47,7,0.1064,0.7143
Information-Giving||General_information,Information-Giving||Scheduling_appt,5,0.5914,145,120,0.0345,0.0417
PATIENT_PARTNERSHIP||signoff,PROVIDER_PARTNERSHIP||salutation,5,1.0,156,154,0.0321,0.0325
Information-Giving||Care_Coordination,PROVIDER_PARTNERSHIP||Connection,4,0.5827,168,45,0.0238,0.0889
Information-Giving||Diagnostics,Information-Giving||Drugs,4,0.5716,159,141,0.0252,0.0284
PROVIDER_PARTNERSHIP||Connection,Socioemotional_/_Empathy||Reassurance,4,0.7996,45,14,0.0889,0.2857
Information-Giving_SDOH||Health_care_access_and_quality,Information-Giving||Symptoms,4,0.6286,81,104,0.0494,0.0385
