label,avg_cross_label_rate,n_items
Acknowledge_Error,0.19791666666666666,16
Alignment,0.14412878787878788,88
Appreciation/gratitude,0.5173553719008265,121
Approval/Reinforcement,0.2,25
Care_Coordination,0.07386363636363637,176
Connection,0.3092063492063492,105
Diagnostics,0.08585365853658537,205
Drugs,0.07183908045977011,174
Economic_stability,0.04,25
Encourage_questions,1.0,2
Explore_options,0.05555555555555555,18
Express_concern/unease,0.08,25
General_information,0.07716049382716049,162
Health_care_access_and_quality,0.04833333333333333,100
Maintain_communication,0.20202702702702702,74
Making_decision_together,0.07692307692307693,13
Neighborhood_and_built_environment,0.0,7
Positive_Remarks/Reward,0.5,6
Prognosis,0.16666666666666666,6
Reassurance,0.2857142857142857,14
Sadness/fear,0.13333333333333333,10
Scheduling_appt,0.07450980392156863,153
Seeking_Approval,0.08620689655172414,29
Share_options,0.029411764705882353,17
Summarize_and_confirm_understanding,0.0,7
Symptoms,0.09130434782608696,115
active_participation_/involvement,0.1476027397260274,146
build_trust,0.2222222222222222,9
checking_understanding/clarification,0.05,20
express_opinions,0.09615384615384616,52
instruction,0.06818181818181818,44
invite_collaboration,0.18181818181818182,11
salutation,0.012012012012012012,333
signoff,0.2626506024096385,249
state_preferences,0.06666666666666667,45
