label,neighbor_disagreement,neighbor_total,disagreement_rate
PartnershipPatient → salutation,752,1790,0.4201
PartnershipPatient → signoff,736,1560,0.4718
PartnershipProvider → salutation,730,1540,0.474
PartnershipPatient → Appreciation/Gratitude,595,990,0.601
PartnershipProvider → signoff,523,930,0.5624
InfoGive → SchedulingAppt,267,1200,0.2225
InfoGive → Diagnostics,257,1590,0.1616
InfoGive → Generalinformation,234,1450,0.1614
InfoGive → Drugs,226,1410,0.1603
PartnershipPatient → activeParticipation/involvement,223,1460,0.1527
PartnershipPatient → connection,199,600,0.3317
InfoGive → carecoordination,165,1680,0.0982
PartnershipProvider → Appreciation/Gratitude,164,220,0.7455
PartnershipProvider → connection,159,450,0.3533
PartnershipProvider → Alignment,141,410,0.3439
PartnershipProvider → maintainCommunication,136,740,0.1838
InfoGive → Symptoms,135,1040,0.1298
PartnershipPatient → Alignment,133,470,0.283
InfoGiveSDOH → HealthCareAccessAndQuality,122,810,0.1506
InfoSeek → Diagnostics,99,460,0.2152
InfoSeek → SchedulingAppt,71,330,0.2152
PartnershipPatient → statePreferences,56,450,0.1244
Socioemotional/Empathy → AcknowledgeError,56,160,0.35
InfoGive → Instruction,51,440,0.1159
InfoSeek → Drugs,47,330,0.1424
PartnershipPatient → expressOpinions,47,520,0.0904
SharedDecisionProvider → Approval/Reinforcement,35,180,0.1944
Socioemotional/Empathy → Reassurance,35,140,0.25
Socioemotional/Empathy → Sadness/fear,34,100,0.34
InfoGiveSDOH → EconomicStability,33,180,0.1833
SharedDecisionPatient → SeekingApproval,28,290,0.0966
Socioemotional/Empathy → ExpressConcern/unease,26,250,0.104
InfoSeek → Symptoms,22,110,0.2
InfoSeek → Generalinformation,21,170,0.1235
PartnershipProvider → inviteCollaboration,20,110,0.1818
SharedDecisionProvider → MakeDecision,20,130,0.1538
SharedDecisionProvider → EncourageQuestions,16,20,0.8
Socioemotional/Empathy → PositiveRemarks,16,60,0.2667
InfoSeekSDOH → HealthCareAccessAndQuality,15,190,0.0789
SharedDecisionPatient → ApprovalofDecision/Reinforcement,13,70,0.1857
SharedDecisionPatient → ExploreOptions,11,180,0.0611
InfoSeek → carecoordination,10,80,0.125
PartnershipProvider → build trust,9,40,0.225
SharedDecisionProvider → ShareOptions,9,170,0.0529
InfoGiveSDOH → NeighborhoodAndBuiltEnvironment,8,70,0.1143
PartnershipProvider → checkingUnderstanding/clarification,8,200,0.04
InfoSeekSDOH → EconomicStability,5,70,0.0714
PartnershipPatient → build trust,4,50,0.08
InfoGive → Prognosis,3,60,0.05
SharedDecisionProvider → SummarizeConfirmUnderstanding,2,70,0.0286
