method,pair,src_label,src_text,nbr_label,nbr_text,similarity
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.7954
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi there,PartnershipPatient → salutation,Hi,0.7954
sbert,PartnershipProvider → inviteCollaboration || SharedDecisionProvider → ShareOptions,PartnershipProvider → inviteCollaboration,In person or telemed?,SharedDecisionProvider → ShareOptions,We can either schedule for in person or via telehealth,0.6037
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
sbert,InfoGiveSDOH → HealthCareAccessAndQuality || SharedDecisionPatient → ExploreOptions,InfoGiveSDOH → HealthCareAccessAndQuality,We need to make an office visit,SharedDecisionPatient → ExploreOptions,Or no need for an office visit?,0.6822
sbert,InfoGive → Instruction || InfoGiveSDOH → HealthCareAccessAndQuality,InfoGiveSDOH → HealthCareAccessAndQuality,We need to make an office visit,InfoGive → Instruction,if not reach out to our office!,0.612
sbert,PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,Thank you,1.0
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
sbert,PartnershipProvider → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipProvider → Appreciation/Gratitude,Thank you,1.0
sbert,PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,Thank you,1.0
sbert,PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → signoff,Thank you,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Greetings,1.0
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
sbert,PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Greetings,PartnershipPatient → salutation,Hello,0.6996
