label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
PartnershipPatient → salutation,PartnershipProvider → salutation,1494,0.99,1.0,1.0,0.6996
PartnershipPatient → signoff,PartnershipProvider → signoff,659,0.9732,1.0,1.0,0.6288
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → signoff,609,0.9489,1.0,1.0,0.614
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → signoff,246,0.9975,1.0,1.0,0.7717
PartnershipPatient → signoff,PartnershipProvider → Appreciation/Gratitude,205,0.9778,1.0,1.0,0.607
InfoGive → Diagnostics,InfoSeek → Diagnostics,170,0.6751,0.6586,0.8308,0.6003
PartnershipPatient → Alignment,PartnershipProvider → Alignment,161,0.9644,1.0,1.0,0.64
InfoGive → SchedulingAppt,InfoGive → carecoordination,146,0.698,0.6871,0.9061,0.6021
InfoGive → carecoordination,PartnershipPatient → activeParticipation/involvement,136,0.6848,0.6836,0.8518,0.6015
InfoGive → SchedulingAppt,InfoSeek → SchedulingAppt,135,0.6989,0.6917,0.8266,0.601
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → Appreciation/Gratitude,132,0.9063,1.0,1.0,0.6048
PartnershipPatient → connection,PartnershipProvider → connection,108,0.7171,0.6905,1.0,0.6033
InfoGive → Diagnostics,InfoGive → SchedulingAppt,104,0.6774,0.6689,0.8021,0.6003
InfoGive → SchedulingAppt,PartnershipPatient → activeParticipation/involvement,99,0.6607,0.6573,0.8584,0.6004
InfoGive → Diagnostics,PartnershipPatient → activeParticipation/involvement,95,0.667,0.6596,0.8094,0.6019
InfoGive → Generalinformation,InfoGive → carecoordination,70,0.6884,0.6705,0.8293,0.6011
InfoGive → Drugs,InfoSeek → Drugs,67,0.6827,0.6622,0.8848,0.6011
InfoGive → carecoordination,PartnershipProvider → maintainCommunication,60,0.6988,0.6996,1.0,0.6052
PartnershipProvider → Appreciation/Gratitude,PartnershipProvider → signoff,56,1.0,1.0,1.0,1.0
InfoGive → SchedulingAppt,InfoGiveSDOH → HealthCareAccessAndQuality,51,0.6851,0.6808,0.8182,0.6041
InfoGive → Diagnostics,InfoGive → Instruction,47,0.6476,0.6362,0.7188,0.6011
InfoGive → carecoordination,InfoGiveSDOH → HealthCareAccessAndQuality,45,0.6666,0.6535,0.7938,0.6002
InfoSeek → Diagnostics,PartnershipPatient → activeParticipation/involvement,45,0.6833,0.6741,1.0,0.6002
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → maintainCommunication,45,0.6827,0.6464,0.8707,0.604
InfoGive → Drugs,InfoGiveSDOH → HealthCareAccessAndQuality,44,0.6515,0.6453,0.7341,0.6044
InfoGive → Diagnostics,InfoGiveSDOH → HealthCareAccessAndQuality,43,0.681,0.6679,0.8869,0.6053
InfoGive → SchedulingAppt,PartnershipProvider → maintainCommunication,41,0.6588,0.6407,0.7713,0.6038
InfoGive → Diagnostics,InfoGive → carecoordination,38,0.6523,0.6397,0.7202,0.6001
InfoGive → Instruction,InfoGive → SchedulingAppt,37,0.6775,0.6417,0.8906,0.6007
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → statePreferences,36,0.6591,0.6289,1.0,0.6017
InfoGive → Generalinformation,PartnershipPatient → activeParticipation/involvement,35,0.6845,0.6776,0.7928,0.6031
InfoGive → SchedulingAppt,PartnershipPatient → statePreferences,34,0.6315,0.6306,0.6642,0.6005
InfoGive → Drugs,PartnershipPatient → activeParticipation/involvement,33,0.6634,0.6599,0.7691,0.6053
PartnershipPatient → signoff,PartnershipProvider → connection,32,0.8044,0.752,1.0,0.6292
InfoGive → Drugs,SharedDecisionPatient → SeekingApproval,32,0.6726,0.6645,0.8073,0.62
InfoGive → Generalinformation,InfoGiveSDOH → HealthCareAccessAndQuality,32,0.6539,0.6578,0.7318,0.6002
InfoGive → Drugs,InfoGive → SchedulingAppt,28,0.6708,0.6534,0.7721,0.6026
InfoGive → carecoordination,PartnershipPatient → statePreferences,28,0.6579,0.6541,0.7621,0.6025
InfoGive → Diagnostics,PartnershipProvider → maintainCommunication,27,0.6269,0.611,0.6955,0.6005
InfoGive → Drugs,InfoGive → carecoordination,26,0.6349,0.629,0.6845,0.6039
PartnershipProvider → connection,PartnershipProvider → signoff,24,0.9052,1.0,1.0,0.6937
InfoGive → Drugs,PartnershipProvider → maintainCommunication,23,0.6477,0.6438,0.7092,0.6093
SharedDecisionPatient → SeekingApproval,SharedDecisionProvider → Approval/Reinforcement,23,0.6958,0.6729,0.869,0.6095
InfoSeek → SchedulingAppt,PartnershipPatient → activeParticipation/involvement,23,0.6703,0.6613,0.7307,0.6082
InfoGive → carecoordination,PartnershipProvider → Alignment,23,0.7532,0.7558,0.8299,0.6105
InfoGive → Instruction,InfoGiveSDOH → HealthCareAccessAndQuality,22,0.6569,0.6457,0.7722,0.602
InfoGive → Diagnostics,PartnershipPatient → expressOpinions,22,0.6721,0.6817,0.7235,0.6091
PartnershipPatient → Alignment,PartnershipProvider → connection,22,0.701,0.6754,1.0,0.6362
InfoGiveSDOH → HealthCareAccessAndQuality,PartnershipPatient → activeParticipation/involvement,21,0.6555,0.6437,0.7418,0.6051
InfoGive → Drugs,SharedDecisionProvider → Approval/Reinforcement,21,0.7304,0.7278,0.8741,0.6467
PartnershipPatient → Alignment,PartnershipPatient → connection,21,0.8064,0.7913,0.9452,0.6235
InfoGive → carecoordination,InfoSeek → SchedulingAppt,21,0.7409,0.7583,0.832,0.6098
InfoGive → Generalinformation,InfoGive → SchedulingAppt,20,0.6697,0.6518,0.7562,0.6071
InfoGive → Diagnostics,InfoSeek → SchedulingAppt,20,0.7039,0.7289,0.7513,0.6142
InfoGive → Instruction,PartnershipPatient → activeParticipation/involvement,20,0.636,0.6342,0.6811,0.6041
InfoGive → Drugs,PartnershipPatient → expressOpinions,18,0.6443,0.6258,0.7422,0.6049
PartnershipProvider → salutation,PartnershipProvider → signoff,18,0.6084,0.6084,0.6084,0.6084
PartnershipPatient → salutation,PartnershipProvider → signoff,18,0.6084,0.6084,0.6084,0.6084
InfoGive → Generalinformation,InfoGive → Instruction,17,0.645,0.6479,0.6834,0.6036
InfoGive → SchedulingAppt,SharedDecisionProvider → Approval/Reinforcement,17,0.677,0.6868,0.7271,0.6138
PartnershipPatient → connection,PartnershipPatient → signoff,17,0.761,0.7856,0.9266,0.6067
InfoGive → Generalinformation,PartnershipProvider → maintainCommunication,17,0.7097,0.7158,0.7703,0.6226
