level,index,label,llm_label_type,llm_explicitness,llm_target_level,needs_move,justification
code,1,Information-Giving_SDOH,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
code,2,Information-Giving,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
code,3,Information-Seeking_SDOH,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
code,4,Information-Seeking,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
code,5,PATIENT_PARTNERSHIP,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
code,6,PROVIDER_PARTNERSHIP,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
code,7,PATIENT_SHARED-DECISION_MAKING,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
code,8,PROVIDER_Shared-Decision_Making,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
code,9,Socioemotional_/_Empathy,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,1_1,Economic_stability,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,1_2,Education_access_and_quality,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,1_3,Health_care_access_and_quality,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,1_4,Neighborhood_and_built_environment,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,1_5,Social_and_community_context,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,2_1,Care_Coordination,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,2_2,Diagnostics,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,2_3,Drugs,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,2_4,General_information,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,2_5,Prognosis,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,2_6,Scheduling_appt,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,2_7,Symptoms,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,2_8,instruction,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,3_1,Economic_stability,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,3_2,Education_access_and_quality,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,3_3,Health_care_access_and_quality,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,3_4,Neighborhood_and_built_environment,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,3_5,Social_and_community_context,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,4_1,Care_Coordination,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,4_2,Diagnostics,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,4_3,Drugs,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,4_4,General_information,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,4_5,Prognosis,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,4_6,Scheduling_appt,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,4_7,Symptoms,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,5_1,Alignment,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,5_2,Appreciation/gratitude,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,5_3,Connection,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,5_4,active_participation_/involvement,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,5_5,build_trust,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,5_6,express_opinions,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,5_7,salutation,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,5_8,signoff,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,5_9,state_preferences,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,6_1,Alignment,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,6_2,Appreciation/gratitude,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
subcode,6_3,Build_Trust,LLM_ERROR,unknown,unchanged,False,LLM error: 'dict' object has no attribute 'target_level'
