phrase_text,phrase_type,label,doc_cofreq,pmi
the middle,NP,Scheduling_appt,1,2.585
his port,NP,Scheduling_appt,1,2.585
a MM/DD/YYYY morning,NP,Scheduling_appt,2,2.585
MM/DD/YYYY,NP,Scheduling_appt,17,1.213
of MM/DD/YYYY,PP,Scheduling_appt,1,1.585
you,NP,Scheduling_appt,19,1.078
an order,NP,Scheduling_appt,3,2.585
on a MM/DD/YYYY morning,PP,Scheduling_appt,2,2.585
Org3,NP,Scheduling_appt,1,1.0
Person2,NP,Scheduling_appt,2,1.263
for the middle,PP,Scheduling_appt,1,2.585
to have,VP,Scheduling_appt,1,1.585
flushed,VP,Scheduling_appt,1,2.585
in Org3,PP,Scheduling_appt,1,2.585
Can you put,VP,Scheduling_appt,1,2.585
to schedule,VP,Scheduling_appt,9,2.585
Thank,VP,Scheduling_appt,1,2.585
for your help,PP,Scheduling_appt,1,2.585
your help,NP,Scheduling_appt,1,2.585
So no need,NP,Scheduling_appt,1,2.585
with Dr Person2,PP,Scheduling_appt,2,2.585
besides the call,PP,Scheduling_appt,1,2.585
Dr Person2,NP,Scheduling_appt,2,1.0
So,ADVP,Scheduling_appt,1,2.585
the call,NP,Scheduling_appt,1,2.585
no need,NP,Scheduling_appt,1,2.585
anything,NP,Scheduling_appt,1,1.0
I,NP,Symptoms,21,-0.2224
doing,VP,Symptoms,1,1.0
to be done,VP,Scheduling_appt,1,2.585
I,NP,Scheduling_appt,25,0.0291
is,VP,Scheduling_appt,9,0.2313
be,VP,Scheduling_appt,1,0.585
Currently,ADVP,Scheduling_appt,1,2.585
see,VP,Scheduling_appt,4,1.585
my lab work,NP,Scheduling_appt,1,2.585
scheduled,VP,Scheduling_appt,8,2.415
on MM/DD/YYYY,PP,Scheduling_appt,8,1.337
was throwing,VP,Symptoms,1,2.585
was throwing up,VP,Symptoms,1,2.585
diarrhea,NP,Symptoms,2,2.585
got,VP,Symptoms,1,0.585
i,NP,Symptoms,1,-0.2224
is he taking,VP,Drugs,2,2.585
the Eliquis,NP,Drugs,1,2.585
he,NP,Drugs,4,1.263
in,ADVP,Care_Coordination,1,2.585
is,VP,Care_Coordination,6,-0.3536
referral,NP,Care_Coordination,1,2.585
Are you feeling,VP,Symptoms,1,2.585
you,NP,Symptoms,2,-2.1699
I,NP,Drugs,23,-0.0911
sometimes,ADVP,Drugs,1,1.0
Tums,NP,Drugs,1,2.585
take,VP,Drugs,2,2.0
with peroxide,PP,Drugs,1,2.585
happens,VP,Drugs,1,1.0
going,VP,Drugs,1,1.585
to clean,VP,Drugs,1,2.585
it,NP,Drugs,8,0.2996
see,VP,Drugs,2,0.585
peroxide,NP,Drugs,1,2.585
what,NP,Drugs,2,1.263
with your cardiologist,PP,Care_Coordination,1,2.585
your ankle,NP,Care_Coordination,1,2.585
your cardiologist,NP,Care_Coordination,1,2.585
you,NP,Care_Coordination,12,0.415
Have you checked,VP,Care_Coordination,1,2.585
swelling,VP,Care_Coordination,1,1.585
Dr. Person3,NP,Drugs,1,0.263
Person1,NP,Drugs,2,0.263
Does Dr. Person3 want,VP,Drugs,1,2.585
to continue,VP,Drugs,2,2.585
Someone,NP,Scheduling_appt,1,2.585
should call,VP,Scheduling_appt,1,2.585
the answer,NP,Symptoms,1,2.585
typically,ADVP,Symptoms,1,2.585
has been,VP,Symptoms,3,1.585
the test results,NP,Diagnostics,1,2.585
be,VP,Diagnostics,1,0.585
calls,VP,Diagnostics,1,2.585
Will that be covered,VP,Diagnostics,1,2.585
to discuss,VP,Diagnostics,1,2.585
Dr.  Person1,NP,Diagnostics,1,2.585
that,NP,Diagnostics,3,0.1699
me,NP,Diagnostics,5,0.3219
a very good marker,NP,Diagnostics,2,2.585
you,NP,Diagnostics,8,-0.1699
for you,PP,Diagnostics,2,1.585
very,ADVP,Diagnostics,2,1.263
the CA27.29,NP,Diagnostics,4,2.585
has been,VP,Diagnostics,3,1.585
agree,VP,Diagnostics,4,2.263
will get,VP,Scheduling_appt,1,2.585
the flu shot,NP,Scheduling_appt,1,2.585
come,VP,Scheduling_appt,2,2.585
you,NP,General_information,8,-0.1699
that,NP,General_information,4,0.585
doing,VP,General_information,2,2.0
can assist,VP,General_information,2,2.585
me,NP,General_information,4,0.0
did not receive,VP,Scheduling_appt,1,2.585
i,NP,Scheduling_appt,2,0.7776
any appointments,NP,Scheduling_appt,1,2.585
reminders,NP,Scheduling_appt,1,2.585
care,NP,Drugs,1,2.585
now,ADVP,Drugs,1,-0.585
these prescriptions,NP,Drugs,1,2.585
of these prescriptions,PP,Drugs,1,2.585
are following,VP,General_information,1,2.585
too,ADVP,General_information,1,1.585
we,NP,General_information,2,-0.1155
at this time,PP,General_information,1,2.585
this time,NP,General_information,1,2.585
