phrase_text,phrase_type,occurrences,doc_freq,avg_len_char,avg_len_tokens,top_label_by_PMI,top_label_PMI,label_purity,label_entropy,label_Care_Coordination_docfreq,label_Diagnostics_docfreq,label_Drugs_docfreq,label_General_information_docfreq,label_Scheduling_appt_docfreq,label_Symptoms_docfreq,label_Care_Coordination_PMI,label_Diagnostics_PMI,label_Drugs_PMI,label_General_information_PMI,label_Scheduling_appt_PMI,label_Symptoms_PMI
the middle,NP,2,1,10,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
of MM/DD/YYYY,PP,4,2,13,2,Scheduling_appt,1.585,0.5,1.0,0,0,0,0,1,1,,,,,1.585,1.585
MM/DD/YYYY,NP,84,44,10,1,Scheduling_appt,1.213,0.3864,2.308338,6,7,8,4,17,2,-0.2895,-0.0671,0.1255,-0.8745,1.213,-1.8745
in Org3,PP,2,1,7,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
Org3,NP,5,3,4,1,General_information,2.0,0.6667,0.918296,0,0,0,2,1,0,,,,2.0,1.0,
on a MM/DD/YYYY morning,PP,4,2,23,4,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
a MM/DD/YYYY morning,NP,4,2,20,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
Can you put,VP,1,1,11,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
you,NP,94,54,3,1,Scheduling_appt,1.078,0.3519,2.322669,12,8,5,8,19,2,0.415,-0.1699,-0.848,-0.1699,1.078,-2.1699
an order,NP,4,3,8,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,3,0,,,,,2.585,
Person2,NP,8,5,7,1,Scheduling_appt,1.263,0.4,1.921928,1,0,1,1,2,0,0.263,,0.263,0.263,1.263,
to have,VP,2,2,7,2,General_information,1.585,0.5,1.0,0,0,0,1,1,0,,,,1.585,1.585,
his port,NP,1,1,8,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
flushed,VP,1,1,7,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
for the middle,PP,1,1,14,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
So,ADVP,2,1,2,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
no need,NP,1,1,7,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
to schedule,VP,17,9,11,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,9,0,,,,,2.585,
anything,NP,6,3,8,1,General_information,1.0,0.3333,1.584963,0,0,0,1,1,1,,,,1.0,1.0,1.0
besides the call,PP,2,1,16,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
the call,NP,2,1,8,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
with Dr Person2,PP,4,2,15,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,2,0,,,,,2.585,
Dr Person2,NP,11,6,10,2,Care_Coordination,1.585,0.5,1.459148,3,0,0,1,2,0,1.585,,,0.0,1.0,
Thank,VP,1,1,5,1,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
for your help,PP,1,1,13,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
your help,NP,1,1,9,2,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
So no need,NP,1,1,10,3,Scheduling_appt,2.585,1.0,0.0,0,0,0,0,1,0,,,,,2.585,
I,NP,275,147,1,1,Care_Coordination,0.1926,0.1905,2.579037,28,24,23,26,25,21,0.1926,-0.0297,-0.0911,0.0857,0.0291,-0.2224
