Class,Support,Precision,Recall,F1 Score
AcknowledgeError,1.0,0.0,0.0,0.0
Alignment,4.0,0.0,0.0,0.0
Appreciation/Gratitude,5.0,0.0,0.0,0.0
Approval/Reinforcement,2.0,0.0,0.0,0.0
Diagnostics,10.0,0.0,0.0,0.0
Drugs,10.0,0.0,0.0,0.0
EconomicStability,2.0,0.0,0.0,0.0
EncourageQuestions,1.0,0.0,0.0,0.0
ExploreOptions,5.0,0.0,0.0,0.0
ExpressConcern/unease,2.0,0.0,0.0,0.0
Generalinformation,16.0,0.0,0.0,0.0
HealthCareAccessAndQuality,10.0,0.0,0.0,0.0
Instruction,8.0,0.0,0.0,0.0
MakeDecision,3.0,0.0,0.0,0.0
NeighborhoodAndBuiltEnvironment,2.0,0.0,0.0,0.0
PositiveRemarks,0.0,0.0,0.0,0.0
Reassurance,2.0,0.0,0.0,0.0
Sadness/fear,2.0,0.0,0.0,0.0
SchedulingAppt,13.0,0.0,0.0,0.0
SeekingApproval,2.0,0.0,0.0,0.0
ShareOptions,2.0,0.0,0.0,0.0
SummarizeConfirmUnderstanding,0.0,0.0,0.0,0.0
Symptoms,7.0,0.0,0.0,0.0
activeParticipation/involvement,10.0,0.0,0.0,0.0
carecoordination,18.0,0.0,0.0,0.0
checkingUnderstanding/clarification,4.0,0.0,0.0,0.0
connection,7.0,0.0,0.0,0.0
expressOpinions,9.0,0.0,0.0,0.0
inviteCollaboration,3.0,0.0,0.0,0.0
maintainCommunication,5.0,0.0,0.0,0.0
salutation,0.0,0.0,0.0,0.0
signoff,8.0,0.0,0.0,0.0
statePreferences,7.0,0.0,0.0,0.0
