Class,Support,Precision,Recall,F1 Score
AcknowledgeError,1.0,0.0,0.0,0.0
Alignment,4.0,0.0,0.0,0.0
Appreciation/Gratitude,3.0,0.0,0.0,0.0
Approval/Reinforcement,2.0,0.0,0.0,0.0
ApprovalofDecision/Reinforcement,1.0,0.0,0.0,0.0
Diagnostics,22.0,0.0,0.0,0.0
Drugs,21.0,0.0,0.0,0.0
EconomicStability,3.0,0.0,0.0,0.0
ExploreOptions,3.0,0.0,0.0,0.0
ExpressConcern/unease,3.0,0.0,0.0,0.0
Generalinformation,19.0,0.0,0.0,0.0
HealthCareAccessAndQuality,11.0,0.0,0.0,0.0
Instruction,5.0,0.0,0.0,0.0
MakeDecision,2.0,0.0,0.0,0.0
NeighborhoodAndBuiltEnvironment,1.0,0.0,0.0,0.0
PositiveRemarks,1.0,0.0,0.0,0.0
Reassurance,2.0,0.0,0.0,0.0
Sadness/fear,1.0,0.0,0.0,0.0
SchedulingAppt,13.0,0.0,0.0,0.0
SeekingApproval,5.0,0.0,0.0,0.0
ShareOptions,2.0,0.0,0.0,0.0
SummarizeConfirmUnderstanding,1.0,0.0,0.0,0.0
Symptoms,17.0,0.0,0.0,0.0
activeParticipation/involvement,20.0,0.0,0.0,0.0
build trust,1.0,0.0,0.0,0.0
carecoordination,23.0,0.0,0.0,0.0
checkingUnderstanding/clarification,2.0,0.0,0.0,0.0
connection,12.0,0.0,0.0,0.0
expressOpinions,7.0,0.0,0.0,0.0
inviteCollaboration,2.0,0.0,0.0,0.0
maintainCommunication,6.0,0.0,0.0,0.0
signoff,6.0,0.0,0.0,0.0
statePreferences,7.0,0.0,0.0,0.0
