method,pair,src_label,src_text,nbr_label,nbr_text,similarity
sbert,PartnershipPatient || PartnershipProvider,PartnershipPatient,leave me a message on my phone,PartnershipProvider,leave a message,0.8087
sbert,PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Can I get back on Adderall XR,PartnershipPatient,we can start over with Adderall XR 20mg,0.7119
sbert,PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Can I get back on Adderall XR,PartnershipPatient,will run out of my Adderall,0.699
sbert,PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Can I get back on Adderall XR,PartnershipPatient,Adderall refilled early,0.6514
sbert,PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Can I get back on Adderall XR,PartnershipPatient,refill for the Adderall,0.6001
sbert,PartnershipPatient || SDOH,SDOH,I canâ€™t sleep,PartnershipPatient,I canâ€™t seem,0.6483
sbert,PartnershipPatient || SDOH,PartnershipPatient,I have an appointment this,SDOH,I havent been able to get an appointment,0.7569
sbert,PartnershipPatient || PartnershipProvider,PartnershipPatient,to go over labs,PartnershipProvider,for follow up and labs,0.709
sbert,PartnershipPatient || SDOH,PartnershipPatient,to go over labs,SDOH,I've paid for my labs,0.6198
sbert,PartnershipPatient || SocioEmotionalBehaviour,PartnershipPatient,I was wondering,SocioEmotionalBehaviour,Was curious,0.6704
sbert,PartnershipPatient || SocioEmotionalBehaviour,PartnershipPatient,I was wondering,SocioEmotionalBehaviour,just curious,0.6612
sbert,PartnershipPatient || SharedDecisionPatient,PartnershipPatient,I could just get some filled,SharedDecisionPatient,Can it still be filled?,0.6039
sbert,PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Would it be best to reschedule,PartnershipPatient,to  reschedule,0.7738
sbert,PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Would it be best to reschedule,PartnershipPatient,I do need to reschedule,0.7457
sbert,PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Would it be best to reschedule,PartnershipPatient,Please reschedule me,0.6921
sbert,PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,thank you!,1.0
sbert,PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank You!,1.0
sbert,PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank you!,1.0
sbert,PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank You!,1.0
sbert,PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank You,0.8314
sbert,PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank You,0.8314
sbert,PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank you,0.8314
sbert,PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank you,0.8314
sbert,PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank You,0.8314
sbert,PartnershipPatient || PartnershipProvider,PartnershipPatient,my upcoming appointment information,PartnershipProvider,schedule that appointment,0.7181
sbert,PartnershipPatient || PartnershipProvider,PartnershipPatient,My original appointment: Date:,PartnershipProvider,schedule that appointment,0.7238
sbert,PartnershipPatient || SDOH,SDOH,I had a visitor,PartnershipPatient,I came in for my visit,0.6806
sbert,PartnershipPatient || SDOH,SDOH,I had a visitor,PartnershipPatient,I had a wonderful visit,0.6591
sbert,PartnershipPatient || PartnershipProvider,PartnershipPatient,have a great evening,PartnershipProvider,Have a good day,0.7185
sbert,CareCoordinationPatient || PartnershipPatient,CareCoordinationPatient,through dr  Person1 at my appointments,PartnershipPatient,just a consult type appointment,0.7108
sbert,CareCoordinationPatient || SharedDecisionPatient,CareCoordinationPatient,through dr  Person1 at my appointments,SharedDecisionPatient,Can you please ask Dr. Person1,0.6952
sbert,CareCoordinationPatient || PartnershipPatient,CareCoordinationPatient,through dr  Person1 at my appointments,PartnershipPatient,for appointment to see doctor,0.6861
sbert,CareCoordinationPatient || PartnershipPatient,CareCoordinationPatient,through dr  Person1 at my appointments,PartnershipPatient,appointment to see doctor,0.6651
sbert,CareCoordinationPatient || CareCoordinationProvider,CareCoordinationPatient,through dr  Person1 at my appointments,CareCoordinationProvider,I will send your message to Dr. Person1,0.6519
sbert,CareCoordinationPatient || PartnershipProvider,CareCoordinationPatient,through dr  Person1 at my appointments,PartnershipProvider,at your follow up appointment,0.6388
sbert,CareCoordinationPatient || SharedDecisionPatient,CareCoordinationPatient,through dr  Person1 at my appointments,SharedDecisionPatient,if Dr. Person1 or Dr. Person2 would be able to provide,0.6329
sbert,PartnershipPatient || SocioEmotionalBehaviour,PartnershipPatient,iâ€™ve ran out,SocioEmotionalBehaviour,Iâ€™m just scared,0.6205
sbert,PartnershipPatient || SDOH,PartnershipPatient,pain after I eat,SDOH,after I eat anything,0.6167
sbert,PartnershipPatient || SDOH,SDOH,after I eat anything,PartnershipPatient,pain after I eat,0.6167
sbert,PartnershipPatient || SDOH,SDOH,I can hardly sleep,PartnershipPatient,I can barely get out of bed,0.7746
sbert,PartnershipPatient || SDOH,SDOH,I can hardly sleep,PartnershipPatient,I'm tired all the time,0.6586
sbert,PartnershipPatient || SDOH,SDOH,I can hardly sleep,PartnershipPatient,am very tired and drowsy all day,0.6076
sbert,PartnershipPatient || PartnershipProvider,PartnershipPatient,Good Morning,PartnershipProvider,Good morning,1.0
sbert,CareCoordinationPatient || SharedDecisionPatient,SharedDecisionPatient,if Dr. Person1 or Dr. Person2 would be able to provide,CareCoordinationPatient,Dr. Person1 has requested,0.7825
sbert,CareCoordinationPatient || SharedDecisionPatient,SharedDecisionPatient,if Dr. Person1 or Dr. Person2 would be able to provide,CareCoordinationPatient,with Dr. Person1,0.6926
sbert,CareCoordinationPatient || SharedDecisionPatient,SharedDecisionPatient,if Dr. Person1 or Dr. Person2 would be able to provide,CareCoordinationPatient,letting Dr. Person1 know,0.6714
