label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
PartnershipPatient,SDOH,969,0.7146,0.6901,1.0,0.6002
PartnershipPatient,PartnershipProvider,628,0.8796,1.0,1.0,0.6007
PartnershipPatient,SocioEmotionalBehaviour,271,0.7338,0.704,1.0,0.6012
CareCoordinationPatient,PartnershipPatient,149,0.7154,0.7013,0.9709,0.6025
PartnershipPatient,SharedDecisionPatient,142,0.7113,0.6814,0.9069,0.6029
SDOH,SocioEmotionalBehaviour,117,0.7496,0.7246,1.0,0.6016
PartnershipProvider,SDOH,76,0.6883,0.6664,0.8732,0.6003
CareCoordinationPatient,SDOH,50,0.6769,0.6833,0.8044,0.6001
CareCoordinationPatient,CareCoordinationProvider,41,0.7213,0.6595,0.986,0.6108
CareCoordinationProvider,PartnershipPatient,32,0.7063,0.7223,0.8923,0.6024
SDOH,SharedDecisionPatient,18,0.7377,0.7804,0.8825,0.6189
CareCoordinationPatient,SharedDecisionPatient,16,0.6625,0.6602,0.7211,0.6081
PartnershipProvider,SocioEmotionalBehaviour,14,0.7289,0.7337,0.8687,0.6034
CareCoordinationProvider,SDOH,13,0.6822,0.6642,0.8477,0.621
PartnershipProvider,SharedDecisionPatient,13,0.6683,0.6603,0.7752,0.616
CareCoordinationPatient,PartnershipProvider,13,0.6885,0.6686,0.8092,0.6245
PartnershipPatient,SharedDecisionProvider,10,0.6875,0.6946,0.7434,0.6134
CareCoordinationProvider,PartnershipProvider,10,0.7533,0.7594,0.83,0.6711
SDOH,SharedDecisionProvider,6,0.6833,0.7044,0.7271,0.6183
CareCoordinationProvider,SocioEmotionalBehaviour,6,0.7287,0.7157,0.7546,0.7157
SharedDecisionProvider,SocioEmotionalBehaviour,4,0.7151,0.7151,0.8021,0.6281
SharedDecisionPatient,SharedDecisionProvider,4,0.6998,0.6998,0.7519,0.6477
PartnershipProvider,SharedDecisionProvider,4,0.7732,0.7732,0.9113,0.635
CareCoordinationPatient,SharedDecisionProvider,2,0.6127,0.6127,0.6239,0.6014
SharedDecisionPatient,SocioEmotionalBehaviour,2,0.6032,0.6032,0.6038,0.6025
