pair,src_label,src_text,nbr_label,nbr_text,similarity
PartnershipPatient || PartnershipProvider,PartnershipPatient,leave me a message on my phone,PartnershipProvider,leave a message,0.8087
PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Can I get back on Adderall XR,PartnershipPatient,we can start over with Adderall XR 20mg,0.7119
PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Can I get back on Adderall XR,PartnershipPatient,will run out of my Adderall,0.699
PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Can I get back on Adderall XR,PartnershipPatient,Adderall refilled early,0.6514
PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Can I get back on Adderall XR,PartnershipPatient,refill for the Adderall,0.6001
PartnershipPatient || SDOH,SDOH,I canâ€™t sleep,PartnershipPatient,I canâ€™t seem,0.6483
PartnershipPatient || SDOH,PartnershipPatient,I have an appointment this,SDOH,I havent been able to get an appointment,0.7569
PartnershipPatient || PartnershipProvider,PartnershipPatient,to go over labs,PartnershipProvider,for follow up and labs,0.709
PartnershipPatient || SDOH,PartnershipPatient,to go over labs,SDOH,I've paid for my labs,0.6198
PartnershipPatient || SocioEmotionalBehaviour,PartnershipPatient,I was wondering,SocioEmotionalBehaviour,Was curious,0.6704
PartnershipPatient || SocioEmotionalBehaviour,PartnershipPatient,I was wondering,SocioEmotionalBehaviour,just curious,0.6612
PartnershipPatient || SharedDecisionPatient,PartnershipPatient,I could just get some filled,SharedDecisionPatient,Can it still be filled?,0.6039
PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Would it be best to reschedule,PartnershipPatient,to  reschedule,0.7738
PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Would it be best to reschedule,PartnershipPatient,I do need to reschedule,0.7457
PartnershipPatient || SharedDecisionPatient,SharedDecisionPatient,Would it be best to reschedule,PartnershipPatient,Please reschedule me,0.6921
PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,thank you!,1.0
PartnershipPatient || PartnershipProvider,PartnershipProvider,Thank you!,PartnershipPatient,Thank You!,1.0
