label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
PartnershipPatient,PartnershipProvider,403,0.9432,1.0,1.0,0.6079
PartnershipPatient,SDOH,110,0.7393,0.6999,1.0,0.6001
PartnershipPatient,SocioEmotionalBehaviour,34,0.7296,0.7004,1.0,0.6264
PartnershipPatient,SharedDecisionPatient,30,0.6773,0.6674,0.8294,0.6032
CareCoordinationPatient,PartnershipPatient,30,0.6715,0.6363,0.9041,0.602
SDOH,SocioEmotionalBehaviour,25,0.7121,0.675,1.0,0.6129
SDOH,SharedDecisionPatient,10,0.7285,0.7388,0.7747,0.6902
PartnershipProvider,SDOH,8,0.6463,0.6466,0.6886,0.6032
CareCoordinationProvider,PartnershipPatient,6,0.6408,0.6513,0.6649,0.6062
PartnershipProvider,SharedDecisionPatient,4,0.6848,0.6848,0.7676,0.602
CareCoordinationPatient,SDOH,4,0.689,0.689,0.6983,0.6797
CareCoordinationPatient,CareCoordinationProvider,4,0.7956,0.7956,0.7956,0.7956
PartnershipProvider,SocioEmotionalBehaviour,2,0.6201,0.6201,0.6201,0.6201
PartnershipPatient,SharedDecisionProvider,2,0.6788,0.6788,0.6788,0.6788
SharedDecisionProvider,SocioEmotionalBehaviour,2,0.6788,0.6788,0.6788,0.6788
PartnershipProvider,SharedDecisionProvider,2,0.7161,0.7161,0.7161,0.7161
SharedDecisionPatient,SharedDecisionProvider,2,0.6225,0.6225,0.6225,0.6225
