method,pair,src_label,src_text,nbr_label,nbr_text,similarity
sbert,PartnershipPatient → Clinical care || PartnershipPatient → expressOpinions,PartnershipPatient → expressOpinions,might turn into a staff infection,PartnershipPatient → Clinical care,I have not had a staff infection,0.804
sbert,PartnershipPatient → Clinical care || PartnershipPatient → expressOpinions,PartnershipPatient → Clinical care,I have not had a staff infection,PartnershipPatient → expressOpinions,might turn into a staff infection,0.804
sbert,PartnershipPatient → activeParticipation/involvement || PartnershipProvider → inviteCollabration,PartnershipPatient → activeParticipation/involvement,leave me a message on my phone,PartnershipProvider → inviteCollabration,leave a message,0.8087
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you for your time,PartnershipPatient → Appreciation/Gratitude,Thank you so much for your time,0.8673
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you for your time,PartnershipPatient → Appreciation/Gratitude,thank you for your time and your assistance,0.7613
sbert,PartnershipPatient → Clinical care || SharedDecisionPatient → SeekingApproval,SharedDecisionPatient → SeekingApproval,Can I get back on Adderall XR,PartnershipPatient → Clinical care,we can start over with Adderall XR 20mg,0.7119
sbert,PartnershipPatient → Clinical care || SharedDecisionPatient → SeekingApproval,SharedDecisionPatient → SeekingApproval,Can I get back on Adderall XR,PartnershipPatient → Clinical care,will run out of my Adderall,0.699
sbert,PartnershipPatient → Clinical care || SharedDecisionPatient → SeekingApproval,SharedDecisionPatient → SeekingApproval,Can I get back on Adderall XR,PartnershipPatient → Clinical care,Adderall refilled early,0.6514
sbert,PartnershipPatient → Clinical care || SharedDecisionPatient → SeekingApproval,SharedDecisionPatient → SeekingApproval,Can I get back on Adderall XR,PartnershipPatient → Clinical care,refill for the Adderall,0.6001
sbert,PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
sbert,PartnershipPatient → expressOpinions || SDOH → HealthCareAccessAndQuality,SDOH → HealthCareAccessAndQuality,I canâ€™t sleep,PartnershipPatient → expressOpinions,I canâ€™t seem,0.6483
sbert,SDOH → EconomicStability || SDOH → HealthCareAccessAndQuality,SDOH → HealthCareAccessAndQuality,I canâ€™t sleep,SDOH → EconomicStability,I canâ€™t take off the time to come in,0.6321
sbert,SDOH → EconomicStability || SDOH → HealthCareAccessAndQuality,SDOH → HealthCareAccessAndQuality,I canâ€™t sleep,SDOH → EconomicStability,I canâ€™t afford,0.618
sbert,PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → Clinical care,I have an appointment this,PartnershipPatient → activeParticipation/involvement,I can call andake an appointment,0.7646
sbert,PartnershipPatient → Clinical care || SDOH → HealthCareAccessAndQuality,PartnershipPatient → Clinical care,I have an appointment this,SDOH → HealthCareAccessAndQuality,I havent been able to get an appointment,0.7569
sbert,PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → Clinical care,I have an appointment this,PartnershipPatient → activeParticipation/involvement,Need an appointment asap,0.7408
sbert,PartnershipPatient → Clinical care || PartnershipProvider → Clinical Care,PartnershipPatient → Clinical care,to go over labs,PartnershipProvider → Clinical Care,for follow up and labs,0.709
sbert,PartnershipPatient → Clinical care || SDOH → EconomicStability,PartnershipPatient → Clinical care,to go over labs,SDOH → EconomicStability,I've paid for my labs,0.6198
sbert,PartnershipPatient → activeParticipation/involvement || PartnershipPatient → statePreferences,PartnershipPatient → activeParticipation/involvement,I also need to go to get a refill,PartnershipPatient → statePreferences,refill asap,0.7562
sbert,PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → activeParticipation/involvement,I also need to go to get a refill,PartnershipPatient → Clinical care,if I can get refills,0.7447
sbert,PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → activeParticipation/involvement,I also need to go to get a refill,PartnershipPatient → Clinical care,to get a refill,0.7333
sbert,PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → activeParticipation/involvement,I also need to go to get a refill,PartnershipPatient → Clinical care,a visit to get a refill,0.7327
sbert,PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → activeParticipation/involvement,I also need to go to get a refill,PartnershipPatient → Clinical care,request a refill for my prescription,0.7152
sbert,PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → activeParticipation/involvement,I also need to go to get a refill,PartnershipPatient → Clinical care,Please send a refill prescription,0.7011
sbert,PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → activeParticipation/involvement,I also need to go to get a refill,PartnershipPatient → Clinical care,refill  Everything,0.6798
sbert,PartnershipPatient → activeParticipation/involvement || PartnershipPatient → expressOpinions,PartnershipPatient → expressOpinions,I was wondering,PartnershipPatient → activeParticipation/involvement,I wanted to know,0.721
sbert,PartnershipPatient → activeParticipation/involvement || PartnershipPatient → expressOpinions,PartnershipPatient → expressOpinions,I was wondering,PartnershipPatient → activeParticipation/involvement,I just wanted to ask,0.7039
sbert,PartnershipPatient → expressOpinions || SocioEmotionalBehaviour,PartnershipPatient → expressOpinions,I was wondering,SocioEmotionalBehaviour,Was curious,0.6704
sbert,PartnershipPatient → expressOpinions || SocioEmotionalBehaviour,PartnershipPatient → expressOpinions,I was wondering,SocioEmotionalBehaviour,just curious,0.6612
