method,label,neighbor_disagreement,neighbor_total,disagreement_rate
sbert,PartnershipPatient → activeParticipation/involvement,306,2390,0.128
sbert,PartnershipPatient → Clinical care,302,4020,0.0751
sbert,PartnershipPatient → Appreciation/Gratitude,150,330,0.4545
sbert,PartnershipPatient → signoff,104,540,0.1926
sbert,SDOH → HealthCareAccessAndQuality,97,1650,0.0588
sbert,SharedDecisionPatient → SeekingApproval,94,330,0.2848
sbert,CareCoordinationPatient,88,670,0.1313
sbert,PartnershipPatient → salutation,84,470,0.1787
sbert,PartnershipProvider → Clinical Care,83,340,0.2441
sbert,PartnershipProvider → signoff,79,110,0.7182
sbert,PartnershipPatient → expressOpinions,68,690,0.0986
sbert,CareCoordinationProvider,65,240,0.2708
sbert,PartnershipPatient → statePreferences,59,250,0.236
sbert,PartnershipProvider → salutation,53,70,0.7571
sbert,SocioEmotionalBehaviour,53,670,0.0791
sbert,PartnershipProvider → maintainCommunication,42,130,0.3231
sbert,SDOH → EconomicStability,38,1120,0.0339
sbert,SharedDecisionPatient → ExploreOptions,27,140,0.1929
sbert,PartnershipProvider → inviteCollabration,15,80,0.1875
sbert,PartnershipPatient → connection,11,100,0.11
sbert,PartnershipProvider → connection,10,40,0.25
sbert,PartnershipProvider → Appreciation/Gratitude,9,10,0.9
sbert,SDOH → NeighborhoodAndBuiltEnvironment,8,350,0.0229
sbert,SDOH → SocialAndCommunityContext,4,280,0.0143
sbert,SharedDecisionProvider → Approval/Reinforcement,3,10,0.3
sbert,PartnershipPatient → alignment,2,50,0.04
sbert,PartnershipProvider → checkingUnderstanding/clarification,2,70,0.0286
sbert,SharedDecisionPatient → ApprovalofDecision/Reinforcement,2,20,0.1
sbert,SharedDecisionProvider → ShareOptions,2,40,0.05
sbert,PartnershipPatient → build trust,1,120,0.0083
sbert,PartnershipProvider → alignment,1,30,0.0333
sbert,PartnershipProvider → requestsForOpinion,1,40,0.025
sbert,PartnershipProvider → build trust,0,10,0.0
sbert,SDOH → EducationAccessAndQuality,0,40,0.0
sbert,SharedDecisionProvider → MakeDecision,0,20,0.0
tfidf,PartnershipPatient → signoff,193,540,0.3574
tfidf,PartnershipPatient → Appreciation/Gratitude,121,330,0.3667
tfidf,PartnershipPatient → activeParticipation/involvement,105,2390,0.0439
tfidf,PartnershipPatient → Clinical care,103,4020,0.0256
tfidf,PartnershipProvider → signoff,67,110,0.6091
tfidf,PartnershipPatient → salutation,62,470,0.1319
tfidf,PartnershipProvider → salutation,54,70,0.7714
tfidf,SDOH → HealthCareAccessAndQuality,36,1650,0.0218
tfidf,SocioEmotionalBehaviour,35,670,0.0522
tfidf,SDOH → EconomicStability,33,1120,0.0295
tfidf,PartnershipProvider → maintainCommunication,26,130,0.2
tfidf,PartnershipPatient → expressOpinions,25,690,0.0362
tfidf,PartnershipPatient → statePreferences,25,250,0.1
tfidf,SDOH → SocialAndCommunityContext,24,280,0.0857
tfidf,CareCoordinationPatient,19,670,0.0284
tfidf,SharedDecisionPatient → SeekingApproval,15,330,0.0455
tfidf,SDOH → NeighborhoodAndBuiltEnvironment,14,350,0.04
tfidf,PartnershipProvider → Clinical Care,11,340,0.0324
tfidf,PartnershipProvider → Appreciation/Gratitude,9,10,0.9
tfidf,SharedDecisionPatient → ExploreOptions,7,140,0.05
tfidf,CareCoordinationProvider,5,240,0.0208
tfidf,PartnershipPatient → alignment,5,50,0.1
tfidf,PartnershipPatient → connection,4,100,0.04
tfidf,PartnershipProvider → checkingUnderstanding/clarification,4,70,0.0571
tfidf,PartnershipProvider → inviteCollabration,4,80,0.05
tfidf,PartnershipProvider → connection,3,40,0.075
tfidf,SharedDecisionProvider → ShareOptions,3,40,0.075
tfidf,PartnershipProvider → requestsForOpinion,2,40,0.05
tfidf,PartnershipPatient → build trust,1,120,0.0083
tfidf,PartnershipProvider → alignment,1,30,0.0333
tfidf,SharedDecisionPatient → ApprovalofDecision/Reinforcement,1,20,0.05
tfidf,SharedDecisionProvider → Approval/Reinforcement,1,10,0.1
tfidf,PartnershipProvider → build trust,0,10,0.0
tfidf,SDOH → EducationAccessAndQuality,0,40,0.0
tfidf,SharedDecisionProvider → MakeDecision,0,20,0.0
lsa,PartnershipPatient → Clinical care,738,4020,0.1836
lsa,PartnershipPatient → activeParticipation/involvement,487,2390,0.2038
lsa,SDOH → HealthCareAccessAndQuality,291,1650,0.1764
lsa,SDOH → EconomicStability,251,1120,0.2241
lsa,SocioEmotionalBehaviour,201,670,0.3
lsa,PartnershipPatient → signoff,172,540,0.3185
