pair,src_label,src_text,nbr_label,nbr_text,similarity
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you for your time,PartnershipPatient → Appreciation/Gratitude,thank you for your time and your assistance,0.7143
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you for your time,PartnershipPatient → Appreciation/Gratitude,Thank you so much for your time,0.7143
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you!,PartnershipPatient → signoff,Thank you!,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you!,PartnershipPatient → Appreciation/Gratitude,thank you!,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you!,PartnershipPatient → signoff,Thank You!,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you!,PartnershipPatient → signoff,Thank You!,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → statePreferences,PartnershipPatient → statePreferences,I want to change to,PartnershipPatient → activeParticipation/involvement,I want to change,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → statePreferences,PartnershipPatient → statePreferences,I want to change to,PartnershipPatient → activeParticipation/involvement,I want to see,0.6
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you so much,PartnershipPatient → signoff,Thank you very much,0.6
PartnershipPatient → Clinical care || SDOH → HealthCareAccessAndQuality,PartnershipPatient → Clinical care,pain after I eat,SDOH → HealthCareAccessAndQuality,after I eat anything,0.6
PartnershipPatient → Clinical care || SDOH → HealthCareAccessAndQuality,SDOH → HealthCareAccessAndQuality,after I eat anything,PartnershipPatient → Clinical care,pain after I eat,0.6
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Good Morning,PartnershipProvider → salutation,Good morning,1.0
CareCoordinationPatient || PartnershipPatient → Clinical care,CareCoordinationPatient,waiting for my rheumatologist appointment,PartnershipPatient → Clinical care,my appointment for,0.6
PartnershipPatient → connection || PartnershipProvider → connection,PartnershipPatient → connection,Have a wonderful day,PartnershipProvider → connection,Have a good day,0.6
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,Hi,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,HI,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipProvider → salutation,Hi,PartnershipPatient → salutation,hi,1.0
SDOH → NeighborhoodAndBuiltEnvironment || SDOH → SocialAndCommunityContext,SDOH → SocialAndCommunityContext,husband out of town,SDOH → NeighborhoodAndBuiltEnvironment,being out of town,0.6
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Hello,PartnershipProvider → salutation,Hello,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Hello,PartnershipProvider → salutation,Hello,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Hello,PartnershipProvider → salutation,Hello,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,Thanks!,PartnershipProvider → signoff,Thanks!,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → Appreciation/Gratitude,PartnershipPatient → Appreciation/Gratitude,Thanks!,PartnershipProvider → Appreciation/Gratitude,Thanks!,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thanks!,PartnershipPatient → signoff,Thanks!,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thanks!,PartnershipPatient → signoff,Thanks!,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thanks!,PartnershipPatient → signoff,Thanks!,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thanks!,PartnershipProvider → signoff,Thanks!,1.0
PartnershipPatient → signoff || PartnershipProvider → Appreciation/Gratitude,PartnershipPatient → signoff,Thanks!,PartnershipProvider → Appreciation/Gratitude,Thanks!,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thanks!,PartnershipPatient → Appreciation/Gratitude,Thanks!,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank You,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank You,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → signoff,Thank You,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Hello,PartnershipProvider → salutation,Hello,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Hello,PartnershipProvider → salutation,Hello,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Hello,PartnershipProvider → salutation,Hello,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank You,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipPatient → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipPatient → signoff,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Good morning,PartnershipProvider → salutation,Good morning,1.0
PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → activeParticipation/involvement,I have a question,PartnershipPatient → Clinical care,I have a cavity,0.6
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipPatient → activeParticipation/involvement,let me know,PartnershipProvider → maintainCommunication,Please let me know,0.75
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipPatient → activeParticipation/involvement,let me know,PartnershipProvider → maintainCommunication,Please let me know,0.75
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thanks!,PartnershipProvider → signoff,Thanks!,1.0
PartnershipPatient → signoff || PartnershipProvider → Appreciation/Gratitude,PartnershipPatient → signoff,Thanks!,PartnershipProvider → Appreciation/Gratitude,Thanks!,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Good morning,PartnershipProvider → salutation,Good morning,1.0
PartnershipPatient → connection || PartnershipProvider → connection,PartnershipProvider → connection,Have a good day,PartnershipPatient → connection,Have a wonderful day,0.6
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipProvider → maintainCommunication,I will call you back,PartnershipPatient → activeParticipation/involvement,I will call you asap,0.6667
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipProvider → maintainCommunication,I will call you back,PartnershipPatient → activeParticipation/involvement,I  will  call,0.6
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Sincerely,PartnershipPatient → signoff,Sincerely,1.0
PartnershipPatient → connection || PartnershipProvider → connection,PartnershipPatient → connection,Happy New Year,PartnershipProvider → connection,Happy New Year,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Good morning,PartnershipProvider → salutation,Good morning,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thanks!,PartnershipProvider → signoff,Thanks!,1.0
PartnershipPatient → signoff || PartnershipProvider → Appreciation/Gratitude,PartnershipPatient → signoff,Thanks!,PartnershipProvider → Appreciation/Gratitude,Thanks!,1.0
CareCoordinationPatient || PartnershipPatient → Clinical care,PartnershipPatient → Clinical care,my appointment for,CareCoordinationPatient,waiting for my rheumatologist appointment,0.6
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipPatient → activeParticipation/involvement,I  will  call,PartnershipProvider → maintainCommunication,I will call you back,0.6
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → statePreferences,PartnershipPatient → activeParticipation/involvement,I want to change,PartnershipPatient → statePreferences,I want to change to,1.0
PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → Clinical care,have not been taking it,PartnershipPatient → activeParticipation/involvement,have not been,0.6
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipProvider → signoff,Sincerely,PartnershipPatient → signoff,Sincerely,1.0
PartnershipPatient → Clinical care || PartnershipPatient → connection,PartnershipPatient → Clinical care,I had a visit las,PartnershipPatient → connection,I had a wonderful visit,0.6667
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Sincerely,PartnershipProvider → signoff,Sincerely,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Sincerely,PartnershipProvider → signoff,Sincerely,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Sincerely,PartnershipProvider → signoff,Sincerely,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Hello,PartnershipProvider → salutation,Hello,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Hello,PartnershipProvider → salutation,Hello,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Hello,PartnershipProvider → salutation,Hello,1.0
SDOH → NeighborhoodAndBuiltEnvironment || SDOH → SocialAndCommunityContext,SDOH → NeighborhoodAndBuiltEnvironment,being out of town,SDOH → SocialAndCommunityContext,husband out of town,0.6
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Hello,PartnershipProvider → salutation,Hello,1.0
PartnershipPatient → salutation || PartnershipProvider → salutation,PartnershipPatient → salutation,Hello,PartnershipProvider → salutation,Hello,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank You!,PartnershipProvider → signoff,Thank you!,1.0
PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → Clinical care,I have been taking Benadryl,PartnershipPatient → activeParticipation/involvement,I have been taking them,0.6667
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → activeParticipation/involvement,I did not get it,PartnershipPatient → Clinical care,I did not get hurt,0.6667
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → expressOpinions,PartnershipPatient → activeParticipation/involvement,I just need,PartnershipPatient → expressOpinions,I need,0.6667
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → statePreferences,PartnershipPatient → activeParticipation/involvement,I want to change,PartnershipPatient → statePreferences,I want to change to,1.0
PartnershipPatient → signoff || PartnershipProvider → signoff,PartnershipPatient → signoff,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipPatient → activeParticipation/involvement,please let me know,PartnershipProvider → maintainCommunication,Please let me know,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipPatient → activeParticipation/involvement,please let me know,PartnershipProvider → maintainCommunication,Please let me know,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → expressOpinions,PartnershipPatient → activeParticipation/involvement,I just need,PartnershipPatient → expressOpinions,I need,0.6667
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → statePreferences,PartnershipPatient → activeParticipation/involvement,I would like to see,PartnershipPatient → statePreferences,I would like to have,0.6667
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → expressOpinions,PartnershipPatient → activeParticipation/involvement,I would like to see,PartnershipPatient → expressOpinions,I would like,0.6
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → expressOpinions,PartnershipPatient → activeParticipation/involvement,I need to,PartnershipPatient → expressOpinions,I need,0.6667
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → expressOpinions,PartnershipPatient → activeParticipation/involvement,I need,PartnershipPatient → expressOpinions,I need,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,Thank you,PartnershipProvider → signoff,Thank you,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → statePreferences,PartnershipPatient → activeParticipation/involvement,I would like to,PartnershipPatient → statePreferences,I would like to have,0.8
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → expressOpinions,PartnershipPatient → activeParticipation/involvement,I would like to,PartnershipPatient → expressOpinions,I would like,0.75
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → connection,PartnershipPatient → connection,look forward to hearing from you,PartnershipPatient → activeParticipation/involvement,I look forward to hearing from you,0.8571
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipPatient → Appreciation/Gratitude,thank you,PartnershipProvider → signoff,Thank you,1.0
CareCoordinationPatient || CareCoordinationProvider,CareCoordinationProvider,I spoke with the provider,CareCoordinationPatient,I spoke with the nutritionist,0.6667
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipProvider → maintainCommunication,Please let me know,PartnershipPatient → activeParticipation/involvement,Please let me know,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipProvider → maintainCommunication,Please let me know,PartnershipPatient → activeParticipation/involvement,Please let me know,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipProvider → maintainCommunication,Please let me know,PartnershipPatient → activeParticipation/involvement,please let me know,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipProvider → maintainCommunication,Please let me know,PartnershipPatient → activeParticipation/involvement,Please let me know,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipProvider → maintainCommunication,Please let me know,PartnershipPatient → activeParticipation/involvement,let me know,0.75
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipProvider → maintainCommunication,Please let me know,PartnershipPatient → activeParticipation/involvement,Could you please let me know,0.6667
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → Appreciation/Gratitude || PartnershipProvider → signoff,PartnershipProvider → signoff,Thank you,PartnershipPatient → Appreciation/Gratitude,Thank you,1.0
PartnershipPatient → alignment || PartnershipProvider → alignment,PartnershipPatient → alignment,Yes,PartnershipProvider → alignment,Yes,1.0
CareCoordinationPatient || CareCoordinationProvider,CareCoordinationPatient,I spoke with the nutritionist,CareCoordinationProvider,I spoke with the provider,0.6667
CareCoordinationPatient || CareCoordinationProvider,CareCoordinationPatient,I spoke with the nutritionist,CareCoordinationProvider,I spoke with the provider,0.6667
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipPatient → activeParticipation/involvement,Please let me know,PartnershipProvider → maintainCommunication,Please let me know,1.0
PartnershipPatient → activeParticipation/involvement || PartnershipProvider → maintainCommunication,PartnershipPatient → activeParticipation/involvement,Please let me know,PartnershipProvider → maintainCommunication,Please let me know,1.0
PartnershipPatient → alignment || PartnershipProvider → alignment,PartnershipProvider → alignment,Yes,PartnershipPatient → alignment,Yes,1.0
PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → Clinical care,I did not get hurt,PartnershipPatient → activeParticipation/involvement,I did not get it,0.6667
CareCoordinationPatient || PartnershipPatient → expressOpinions,CareCoordinationPatient,I would like my neurologist,PartnershipPatient → expressOpinions,I would like,0.6
