label_a,label_b,conflict_count,mean_similarity,median_similarity,max_similarity,min_similarity
PartnershipPatient → Clinical care,PartnershipPatient → activeParticipation/involvement,288,0.7076,0.6891,1.0,0.6013
PartnershipPatient → Clinical care,SDOH → HealthCareAccessAndQuality,210,0.7113,0.6961,1.0,0.6002
PartnershipPatient → Clinical care,SDOH → EconomicStability,207,0.7249,0.702,1.0,0.6002
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → signoff,179,0.9351,1.0,1.0,0.6138
PartnershipPatient → Clinical care,SocioEmotionalBehaviour,163,0.7322,0.6977,1.0,0.6012
PartnershipPatient → signoff,PartnershipProvider → signoff,146,0.9908,1.0,1.0,0.8516
PartnershipPatient → Clinical care,SDOH → SocialAndCommunityContext,119,0.7427,0.7145,1.0,0.601
PartnershipPatient → salutation,PartnershipProvider → salutation,119,1.0,1.0,1.0,1.0
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → maintainCommunication,83,0.8145,0.796,1.0,0.6048
PartnershipPatient → activeParticipation/involvement,SDOH → HealthCareAccessAndQuality,83,0.6852,0.6742,0.89,0.6015
PartnershipPatient → Clinical care,PartnershipProvider → Clinical Care,82,0.7739,0.7461,0.9888,0.6193
PartnershipPatient → Clinical care,SDOH → NeighborhoodAndBuiltEnvironment,80,0.7138,0.6909,0.9271,0.6004
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → statePreferences,67,0.7399,0.7009,0.9825,0.6201
PartnershipPatient → activeParticipation/involvement,SDOH → EconomicStability,62,0.7207,0.687,0.9838,0.6029
PartnershipPatient → activeParticipation/involvement,SocioEmotionalBehaviour,61,0.7508,0.7243,1.0,0.6016
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → expressOpinions,54,0.73,0.6675,1.0,0.6148
PartnershipPatient → Clinical care,PartnershipPatient → expressOpinions,51,0.7085,0.718,0.8244,0.6059
SDOH → EconomicStability,SDOH → HealthCareAccessAndQuality,51,0.7067,0.7049,0.9146,0.6012
CareCoordinationPatient,PartnershipPatient → Clinical care,50,0.7099,0.7117,0.8883,0.6082
CareCoordinationPatient,PartnershipPatient → activeParticipation/involvement,50,0.6885,0.6622,0.9048,0.6025
PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → SeekingApproval,46,0.6935,0.6704,0.8591,0.6129
PartnershipPatient → Clinical care,SharedDecisionPatient → SeekingApproval,46,0.749,0.7662,0.9069,0.6088
SDOH → HealthCareAccessAndQuality,SocioEmotionalBehaviour,45,0.7129,0.7133,0.9888,0.6046
PartnershipPatient → expressOpinions,SDOH → HealthCareAccessAndQuality,42,0.6696,0.6349,0.8954,0.6039
CareCoordinationPatient,CareCoordinationProvider,41,0.7213,0.6595,0.986,0.6108
SDOH → EconomicStability,SocioEmotionalBehaviour,38,0.7921,0.8057,1.0,0.6122
PartnershipPatient → Appreciation/Gratitude,PartnershipProvider → signoff,38,0.9721,1.0,1.0,0.6464
SDOH → HealthCareAccessAndQuality,SDOH → NeighborhoodAndBuiltEnvironment,36,0.7154,0.6931,0.8687,0.6094
CareCoordinationPatient,SDOH → HealthCareAccessAndQuality,36,0.6696,0.6639,0.8044,0.6001
PartnershipPatient → activeParticipation/involvement,SDOH → SocialAndCommunityContext,35,0.7658,0.7355,1.0,0.6231
PartnershipPatient → activeParticipation/involvement,SDOH → NeighborhoodAndBuiltEnvironment,30,0.7135,0.6784,0.8712,0.6076
PartnershipPatient → expressOpinions,SocioEmotionalBehaviour,29,0.7288,0.7072,0.9821,0.6271
SDOH → EconomicStability,SDOH → NeighborhoodAndBuiltEnvironment,24,0.7207,0.6898,0.9917,0.6026
PartnershipPatient → expressOpinions,SDOH → EconomicStability,24,0.7202,0.7025,0.9346,0.6009
PartnershipPatient → expressOpinions,SDOH → NeighborhoodAndBuiltEnvironment,22,0.6514,0.6426,0.6995,0.6036
PartnershipPatient → Clinical care,SharedDecisionPatient → ExploreOptions,21,0.7226,0.707,0.895,0.6147
PartnershipPatient → expressOpinions,PartnershipPatient → statePreferences,21,0.7792,0.7787,1.0,0.6059
PartnershipPatient → Clinical care,PartnershipPatient → statePreferences,19,0.7574,0.7259,1.0,0.6094
CareCoordinationPatient,PartnershipPatient → statePreferences,19,0.7396,0.7013,0.9249,0.6597
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → inviteCollabration,18,0.7207,0.6775,0.9282,0.6325
SDOH → NeighborhoodAndBuiltEnvironment,SocioEmotionalBehaviour,18,0.7165,0.7046,0.8587,0.6158
PartnershipPatient → Appreciation/Gratitude,PartnershipPatient → Clinical care,18,0.7096,0.6994,0.8445,0.6232
SDOH → EconomicStability,SDOH → SocialAndCommunityContext,17,0.6952,0.682,0.7645,0.6295
PartnershipProvider → checkingUnderstanding/clarification,SDOH → EconomicStability,16,0.6983,0.6698,0.8194,0.6074
PartnershipProvider → maintainCommunication,SDOH → EconomicStability,16,0.6676,0.6664,0.7109,0.6093
SDOH → SocialAndCommunityContext,SocioEmotionalBehaviour,16,0.7891,0.7739,1.0,0.6016
SDOH → HealthCareAccessAndQuality,SDOH → SocialAndCommunityContext,16,0.6627,0.6659,0.7391,0.6007
CareCoordinationPatient,PartnershipPatient → expressOpinions,16,0.7398,0.7391,0.9249,0.6447
PartnershipPatient → Clinical care,PartnershipProvider → checkingUnderstanding/clarification,15,0.7213,0.6963,1.0,0.6375
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → Clinical Care,14,0.6783,0.6632,0.751,0.6302
PartnershipPatient → Clinical care,PartnershipPatient → connection,14,0.7666,0.7573,0.9657,0.6053
SDOH → NeighborhoodAndBuiltEnvironment,SDOH → SocialAndCommunityContext,13,0.7503,0.7103,0.9264,0.6017
CareCoordinationPatient,SDOH → EconomicStability,12,0.7043,0.7117,0.7624,0.6384
PartnershipPatient → signoff,PartnershipProvider → Appreciation/Gratitude,12,1.0,1.0,1.0,1.0
PartnershipPatient → activeParticipation/involvement,PartnershipPatient → build trust,12,0.7076,0.6922,0.8794,0.6312
PartnershipPatient → activeParticipation/involvement,SharedDecisionPatient → ExploreOptions,12,0.6935,0.662,0.8575,0.6202
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → requestsForOpinion,11,0.7126,0.7535,0.7866,0.6326
PartnershipPatient → build trust,PartnershipPatient → signoff,10,0.7469,0.7396,0.7953,0.7299
PartnershipPatient → connection,SDOH → HealthCareAccessAndQuality,10,0.6557,0.6548,0.7041,0.6164
PartnershipPatient → Appreciation/Gratitude,SocioEmotionalBehaviour,10,0.6617,0.6493,0.704,0.6256
CareCoordinationProvider,PartnershipPatient → activeParticipation/involvement,10,0.6636,0.6674,0.7477,0.6024
PartnershipPatient → connection,PartnershipProvider → connection,9,0.8177,0.7927,1.0,0.6948
CareCoordinationProvider,PartnershipPatient → statePreferences,9,0.7162,0.7324,0.7432,0.6431
PartnershipPatient → statePreferences,SDOH → HealthCareAccessAndQuality,9,0.6861,0.6376,0.7656,0.6021
CareCoordinationPatient,SharedDecisionPatient → SeekingApproval,9,0.6501,0.6563,0.6922,0.6093
PartnershipPatient → Clinical care,PartnershipPatient → salutation,9,1.0,1.0,1.0,1.0
SharedDecisionPatient → ExploreOptions,SharedDecisionPatient → SeekingApproval,8,0.6474,0.6446,0.6898,0.6104
PartnershipPatient → Clinical care,PartnershipPatient → alignment,8,0.7778,0.7647,0.8616,0.7202
PartnershipProvider → Clinical Care,SDOH → HealthCareAccessAndQuality,8,0.7435,0.7429,0.8198,0.6683
PartnershipPatient → Clinical care,PartnershipProvider → connection,8,0.758,0.7322,0.8678,0.6999
CareCoordinationProvider,PartnershipPatient → Clinical care,8,0.7332,0.6978,0.8923,0.645
PartnershipPatient → Clinical care,PartnershipPatient → signoff,8,0.7241,0.725,0.8196,0.627
PartnershipPatient → activeParticipation/involvement,PartnershipProvider → checkingUnderstanding/clarification,8,0.7182,0.6718,0.9238,0.6055
PartnershipPatient → statePreferences,PartnershipProvider → inviteCollabration,7,0.6983,0.7007,0.7335,0.6707
CareCoordinationProvider,SDOH → EconomicStability,6,0.6354,0.621,0.6642,0.621
