pair,src_label,src_text,nbr_label,nbr_text,similarity
PartnershipPatient → Clinical care || SDOH → SocialAndCommunityContext,PartnershipPatient → Clinical care,I have an ingrown hair right on top of my vaginal area,SDOH → SocialAndCommunityContext,recent passing of my brother,0.6262
PartnershipPatient → Clinical care || PartnershipPatient → statePreferences,PartnershipPatient → Clinical care,is draining,PartnershipPatient → statePreferences,Spanish is preferred,1.0
PartnershipPatient → Clinical care || SDOH → EconomicStability,PartnershipPatient → Clinical care,is draining,SDOH → EconomicStability,my occupation is,0.7791
PartnershipPatient → Clinical care || SocioEmotionalBehaviour,PartnershipPatient → Clinical care,is draining,SocioEmotionalBehaviour,my fear is that it is,0.7176
PartnershipPatient → Clinical care || PartnershipProvider → checkingUnderstanding/clarification,PartnershipPatient → Clinical care,is draining,PartnershipProvider → checkingUnderstanding/clarification,hydroxyzine is not habit forming,0.7003
PartnershipPatient → Clinical care || SDOH → HealthCareAccessAndQuality,PartnershipPatient → Clinical care,is draining,SDOH → HealthCareAccessAndQuality,your copay is 20.00,0.6177
PartnershipPatient → Clinical care || PartnershipProvider → requestsForOpinion,PartnershipPatient → Clinical care,is draining,PartnershipProvider → requestsForOpinion,is that ok,0.6172
PartnershipPatient → Clinical care || PartnershipPatient → expressOpinions,PartnershipPatient → Clinical care,is draining,PartnershipPatient → expressOpinions,it is impossible,0.6059
PartnershipPatient → Clinical care || SDOH → SocialAndCommunityContext,PartnershipPatient → Clinical care,is draining,SDOH → SocialAndCommunityContext,he is my support,0.6039
PartnershipPatient → Clinical care || PartnershipPatient → expressOpinions,PartnershipPatient → expressOpinions,I feel,PartnershipPatient → Clinical care,my eyes feel like they cross,0.6668
PartnershipPatient → activeParticipation/involvement || PartnershipPatient → expressOpinions,PartnershipPatient → expressOpinions,I feel,PartnershipPatient → activeParticipation/involvement,feel free to leave messages on my ph,0.6268
PartnershipPatient → Clinical care || SDOH → EconomicStability,PartnershipPatient → Clinical care,a knot behind the skin,SDOH → EconomicStability,avoid the high pricing,0.836
PartnershipPatient → Clinical care || SDOH → EconomicStability,PartnershipPatient → Clinical care,a knot behind the skin,SDOH → EconomicStability,doesn't cost the earth,0.8133
PartnershipPatient → Clinical care || PartnershipProvider → checkingUnderstanding/clarification,PartnershipPatient → Clinical care,a knot behind the skin,PartnershipProvider → checkingUnderstanding/clarification,The $427 is the whole price,0.761
PartnershipPatient → Clinical care || SDOH → HealthCareAccessAndQuality,PartnershipPatient → Clinical care,a knot behind the skin,SDOH → HealthCareAccessAndQuality,I woke up in the middle of the night,0.6285
PartnershipPatient → Clinical care || SDOH → EconomicStability,PartnershipPatient → Clinical care,a knot behind the skin,SDOH → EconomicStability,The building I work,0.6079
PartnershipPatient → Clinical care || PartnershipPatient → expressOpinions,PartnershipPatient → Clinical care,it is very tender to touch,PartnershipPatient → expressOpinions,it is impossible,0.7826
PartnershipPatient → Clinical care || PartnershipPatient → expressOpinions,PartnershipPatient → Clinical care,it is very tender to touch,PartnershipPatient → expressOpinions,It is my understanding,0.7063
PartnershipPatient → Clinical care || SDOH → HealthCareAccessAndQuality,PartnershipPatient → Clinical care,it is very tender to touch,SDOH → HealthCareAccessAndQuality,it is a assistance program,0.6989
PartnershipPatient → Clinical care || SocioEmotionalBehaviour,PartnershipPatient → Clinical care,it is very tender to touch,SocioEmotionalBehaviour,my fear is that it is,0.6337
PartnershipPatient → Clinical care || SDOH → HealthCareAccessAndQuality,PartnershipPatient → Clinical care,it is very tender to touch,SDOH → HealthCareAccessAndQuality,It is a program from the government,0.6125
PartnershipProvider → checkingUnderstanding/clarification || SDOH → EconomicStability,SDOH → EconomicStability,I can not get off work,PartnershipProvider → checkingUnderstanding/clarification,i can not guarantee,0.7716
PartnershipPatient → activeParticipation/involvement || SDOH → EconomicStability,SDOH → EconomicStability,I can not get off work,PartnershipPatient → activeParticipation/involvement,I can not monitor my sugar,0.7124
PartnershipPatient → expressOpinions || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipPatient → expressOpinions,It is my understanding,0.83
PartnershipPatient → expressOpinions || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipPatient → expressOpinions,it is impossible,0.8281
PartnershipProvider → requestsForOpinion || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipProvider → requestsForOpinion,is that ok,0.7702
PartnershipPatient → Clinical care || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipPatient → Clinical care,that is hurting,0.7418
PartnershipPatient → Clinical care || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipPatient → Clinical care,result is available,0.7179
PartnershipPatient → statePreferences || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipPatient → statePreferences,Spanish is preferred,0.7176
PartnershipPatient → Clinical care || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipPatient → Clinical care,is draining,0.7176
SDOH → EconomicStability || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,SDOH → EconomicStability,my occupation is,0.714
SDOH → HealthCareAccessAndQuality || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,SDOH → HealthCareAccessAndQuality,it is a assistance program,0.7063
PartnershipPatient → Clinical care || SocioEmotionalBehaviour,SocioEmotionalBehaviour,my fear is that it is,PartnershipPatient → Clinical care,it is medication related,0.6743
PartnershipPatient → Clinical care || PartnershipPatient → expressOpinions,PartnershipPatient → expressOpinions,might turn into a staff infection,PartnershipPatient → Clinical care,I have a yeast infection,0.7377
PartnershipPatient → Clinical care || PartnershipPatient → expressOpinions,PartnershipPatient → expressOpinions,might turn into a staff infection,PartnershipPatient → Clinical care,I have not had a staff infection,0.7092
PartnershipPatient → Clinical care || PartnershipPatient → expressOpinions,PartnershipPatient → Clinical care,I have not had a staff infection,PartnershipPatient → expressOpinions,might turn into a staff infection,0.7092
PartnershipPatient → activeParticipation/involvement || SharedDecisionPatient → SeekingApproval,SharedDecisionPatient → SeekingApproval,Is there any way that you could all in Bactrim DS,PartnershipPatient → activeParticipation/involvement,is there any possible way,0.7597
SharedDecisionPatient → ExploreOptions || SharedDecisionPatient → SeekingApproval,SharedDecisionPatient → SeekingApproval,Is there any way that you could all in Bactrim DS,SharedDecisionPatient → ExploreOptions,Is there any medication that would assist in this other than Benadryl?,0.6898
SharedDecisionPatient → ExploreOptions || SharedDecisionPatient → SeekingApproval,SharedDecisionPatient → SeekingApproval,Is there any way that you could all in Bactrim DS,SharedDecisionPatient → ExploreOptions,Is there any other medication,0.6618
PartnershipPatient → activeParticipation/involvement || SharedDecisionPatient → SeekingApproval,SharedDecisionPatient → SeekingApproval,Is there any way that you could all in Bactrim DS,PartnershipPatient → activeParticipation/involvement,Is there a cardiologist and nephrologist that you can refer me,0.6129
PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → Clinical care,to clear up any infection,PartnershipPatient → activeParticipation/involvement,I'm open to any suggestions,0.6833
PartnershipPatient → Clinical care || PartnershipPatient → activeParticipation/involvement,PartnershipPatient → Clinical care,Bactrim is the only antibotice that has worked,PartnershipPatient → activeParticipation/involvement,my only question is how is the screening different,0.6305
